hgnc_id,hgnc_symbol,con,go_con,gene_con,rel_go,frac_rel_go
3569,ACSL1,31,11,20,11,1.0
3571,ACSL4,34,14,20,10,0.714
3570,ACSL3,38,18,20,9,0.5
26060,ACSM5,21,5,16,5,1.0
10996,SLC27A2,37,21,16,19,0.905
18049,ACSM1,27,12,15,10,0.833
16496,ACSL6,23,9,14,9,1.0
10522,ACSM3,21,7,14,7,1.0
32016,ACSM4,19,5,14,5,1.0
31665,ACSM6,19,5,14,5,1.0
10999,SLC27A5,25,13,12,11,0.846
24174,ACSBG2,19,9,10,5,0.556
32017,ACSM2A,16,7,9,7,1.0
30931,ACSM2B,17,8,9,7,0.875
29567,ACSBG1,18,9,9,7,0.778
10997,SLC27A3,14,8,6,8,1.0
17450,CYP3A43,11,5,6,5,1.0
2637,CYP3A4,34,28,6,16,0.571
10998,SLC27A4,27,21,6,10,0.476
6936,MCCC1,11,6,5,5,0.833
11000,SLC27A6,6,2,4,2,1.0
2638,CYP3A5,15,13,2,7,0.538
4389,GNAO1,12,10,2,3,0.3
4043,FZD5,24,22,2,0,0.0
21207,LINGO2,3,2,1,2,1.0
17582,KAT6B,13,12,1,8,0.667
13013,KAT6A,23,22,1,9,0.409
26101,ACSF2,4,3,1,1,0.333
5033,HNRNPA2B1,21,20,1,6,0.3
13527,ATP6V1D,11,10,1,0,0.0
4800,HSD17B10,28,27,1,0,0.0
637,AQP4,14,13,1,0,0.0
14088,RGS17,2,1,1,0,0.0
21205,LINGO1,5,4,1,0,0.0
4504,LGR5,12,11,1,0,0.0
13299,LGR4,9,8,1,0,0.0
19409,LRRTM2,5,4,1,0,0.0
27288,ACSF3,9,9,0,6,0.667
29813,SAP130,3,3,0,2,0.667
17964,RDH11,6,6,0,2,0.333
6572,LGI1,5,5,0,1,0.2
25165,CHADL,6,6,0,1,0.167
11609,TBXAS1,6,6,0,0,0.0
30267,RAB11FIP4,12,12,0,0,0.0
14048,MRPS16,6,6,0,0,0.0
7716,NDUFV1,6,6,0,0,0.0
14583,VPS11,25,25,0,0,0.0
15578,REPS1,7,7,0,0,0.0
14471,SLC26A11,14,14,0,0,0.0
19420,STOML3,2,2,0,0,0.0
3383,STOM,14,14,0,0,0.0
35155,LRRC70,2,2,0,0,0.0
8082,NYX,3,3,0,0,0.0
31814,LINGO4,2,2,0,0,0.0
21206,LINGO3,2,2,0,0,0.0
31409,LRRC26,10,10,0,0,0.0
22200,TRIL,6,6,0,0,0.0
24783,LRIT3,1,1,0,0,0.0
30991,LRIG3,3,3,0,0,0.0
32156,LRRC52,7,7,0,0,0.0
33154,ELFN1,3,3,0,0,0.0
1909,CHAD,2,2,0,0,0.0
23404,LRIT1,1,1,0,0,0.0
18712,LGI4,1,1,0,0,0.0
29396,ELFN2,3,3,0,0,0.0
29480,LRG1,5,5,0,0,0.0
2313,CPN2,4,4,0,0,0.0
20889,LRIG2,3,3,0,0,0.0
19719,LGR6,8,8,0,0,0.0
28947,LRRC24,2,2,0,0,0.0
25954,ZCCHC10,1,1,0,0,0.0
14882,CRTAC1,2,2,0,0,0.0
17872,ARMT1,7,7,0,0,0.0
29511,CEP131,16,16,0,0,0.0
3573,FADD,30,30,0,0,0.0
10995,SLC27A1,30,30,0,0,0.0
29284,DIP2B,4,4,0,0,0.0
17217,DIP2A,4,4,0,0,0.0
