hgnc_id,hgnc_symbol,con,go_con,gene_con,rel_go,frac_rel_go
12010,TPM1,41,18,23,18,1.0
132,ACTB,72,50,22,41,0.82
12013,TPM4,30,10,20,10,1.0
12011,TPM2,26,6,20,6,1.0
12012,TPM3,28,9,19,9,1.0
11871,TMOD1,28,11,17,10,0.909
2063,CLIC2,28,11,17,9,0.818
7585,MYL4,21,6,15,6,1.0
11949,TNNT2,33,18,15,17,0.944
7576,MYH6,27,13,14,13,1.0
11946,TNNI2,23,9,14,9,1.0
7578,MYH8,21,7,14,7,1.0
7584,MYL3,21,7,14,7,1.0
7573,MYH3,20,6,14,6,1.0
11945,TNNI1,19,5,14,5,1.0
7582,MYL1,16,3,13,3,1.0
11947,TNNI3,32,19,13,16,0.842
7587,MYL6,17,6,11,6,1.0
12555,UGT8,12,2,10,2,1.0
10290,RPA2,33,25,8,25,1.0
40,ABCB1,37,30,7,30,1.0
29823,MYL6B,9,2,7,2,1.0
7568,MYH10,31,25,6,25,1.0
10426,RPS5,20,14,6,14,1.0
343,AHCY,11,5,6,5,1.0
10336,RPL32,11,5,6,5,1.0
2537,CTSL,33,28,5,28,1.0
10333,RPL30,19,14,5,14,1.0
10397,RPS17,13,8,5,8,1.0
10348,RPL37A,11,6,5,6,1.0
10340,RPL34,9,4,5,4,1.0
7461,MT-ND5,8,3,5,3,1.0
14085,RTN4,28,23,5,20,0.87
23987,NDUFA12,10,6,4,6,1.0
7702,NDUFB7,9,5,4,5,1.0
7704,NDUFB9,8,4,4,4,1.0
20372,NDUFB11,8,4,4,4,1.0
15906,MYH7B,5,1,4,1,1.0
7577,MYH7,21,17,4,16,0.941
11254,SPOP,11,8,3,8,1.0
10469,RTN3,10,7,3,7,1.0
12473,UBE2B,29,26,3,25,0.962
9901,RBM4,28,25,3,22,0.88
10252,ROCK2,42,39,3,0,0.0
15937,UBE2C,21,19,2,19,1.0
9839,RALA,21,19,2,19,1.0
2536,CTSK,17,15,2,15,1.0
16889,PSMD14,16,14,2,14,1.0
12530,UGT1A1,14,12,2,12,1.0
12535,UGT1A3,13,11,2,11,1.0
257,ADK,8,6,2,6,1.0
2538,CTSV,8,6,2,6,1.0
12546,UGT2B15,7,5,2,5,1.0
28528,UGT2A3,6,4,2,4,1.0
7574,MYH4,5,3,2,3,1.0
7567,MYH1,5,3,2,3,1.0
25097,CABLES1,4,2,2,2,1.0
14050,MRPS11,13,11,2,10,0.909
19986,CYCS,10,8,2,7,0.875
10467,RTN1,6,4,2,3,0.75
7572,MYH2,7,5,2,3,0.6
2528,CTSC,14,13,1,13,1.0
13479,UGT2B28,8,7,1,7,1.0
12545,UGT2B11,7,6,1,6,1.0
12554,UGT2B7,7,6,1,6,1.0
14483,MRPL27,6,5,1,5,1.0
12553,UGT2B4,6,5,1,5,1.0
12547,UGT2B17,6,5,1,5,1.0
30863,UQCR10,4,3,1,3,1.0
31073,MYH15,3,2,1,2,1.0
12544,UGT2B10,3,2,1,2,1.0
1856,CENPE,33,32,1,30,0.938
4658,GTF2H4,13,12,1,11,0.917
9491,PRSS8,7,6,1,4,0.667
2280,COX6B1,4,3,1,0,0.0
692,ARL1,14,13,1,0,0.0
2545,CTSS,23,23,0,23,1.0
2524,CTRL,5,5,0,5,1.0
6368,KLK7,5,5,0,5,1.0
31103,PFN4,3,3,0,3,1.0
7207,MPDU1,3,3,0,3,1.0
14118,TPSD1,3,3,0,3,1.0
24635,PRSS48,3,3,0,3,1.0
2522,CTRB2,2,2,0,2,1.0
30715,PRSS41,1,1,0,1,1.0
6826,MAN2B1,8,8,0,7,0.875
1692,CD63,23,23,0,19,0.826
9451,PROC,10,10,0,8,0.8
2672,DAP,8,8,0,6,0.75
14134,TPSG1,4,4,0,3,0.75
6891,MAPRE2,14,14,0,10,0.714
14368,PRSS22,5,5,0,3,0.6
16873,FIG4,4,4,0,2,0.5
1994,CKM,5,5,0,0,0.0
248,PLIN2,5,5,0,0,0.0
9989,RGN,4,4,0,0,0.0
4642,GSTT2,4,4,0,0,0.0
33437,GSTT2B,6,6,0,0,0.0
16753,PRDX6,21,21,0,0,0.0
17715,ACBD7,1,1,0,0,0.0
27607,PPP1R37,2,2,0,0,0.0
8965,PIGK,6,6,0,0,0.0
4892,HGD,6,6,0,0,0.0
24193,CALML6,3,3,0,0,0.0
26930,GSTT4,3,3,0,0,0.0
24662,EXOSC5,15,15,0,0,0.0
6096,AQP12B,2,2,0,0,0.0
19941,AQP12A,2,2,0,0,0.0
17017,LSM6,15,15,0,0,0.0
30405,PRSS33,5,5,0,0,0.0
12019,TPSAB1,8,8,0,0,0.0
9485,PRSS21,5,5,0,0,0.0
1247,C1S,5,5,0,0,0.0
