INFO: [2021-02-05 23:03:40] genewalk.resources - Using /Users/yizhouyu/genewalk/resources as resource folder.
WARNING: [2021-02-05 23:03:41] genewalk.gene_lists - Could not get HGNC name for ID "","HGNCID"
WARNING: [2021-02-05 23:03:41] genewalk.gene_lists - Could not get HGNC name for ID "1",7577
WARNING: [2021-02-05 23:03:42] genewalk.gene_lists - Could not get HGNC name for ID "2",7577
WARNING: [2021-02-05 23:03:42] genewalk.gene_lists - Could not get HGNC name for ID "3",7577
WARNING: [2021-02-05 23:03:43] genewalk.gene_lists - Could not get HGNC name for ID "4",7568
WARNING: [2021-02-05 23:03:44] genewalk.gene_lists - Could not get HGNC name for ID "5",1994
WARNING: [2021-02-05 23:03:45] genewalk.gene_lists - Could not get HGNC name for ID "6",1994
WARNING: [2021-02-05 23:03:45] genewalk.gene_lists - Could not get HGNC name for ID "7",7574
WARNING: [2021-02-05 23:03:46] genewalk.gene_lists - Could not get HGNC name for ID "8",7577
WARNING: [2021-02-05 23:03:46] genewalk.gene_lists - Could not get HGNC name for ID "9",7567
WARNING: [2021-02-05 23:03:47] genewalk.gene_lists - Could not get HGNC name for ID "10",15906
WARNING: [2021-02-05 23:03:48] genewalk.gene_lists - Could not get HGNC name for ID "11",7578
WARNING: [2021-02-05 23:03:48] genewalk.gene_lists - Could not get HGNC name for ID "12",7573
WARNING: [2021-02-05 23:03:49] genewalk.gene_lists - Could not get HGNC name for ID "13",31073
WARNING: [2021-02-05 23:03:50] genewalk.gene_lists - Could not get HGNC name for ID "14",7576
WARNING: [2021-02-05 23:03:50] genewalk.gene_lists - Could not get HGNC name for ID "15",7572
WARNING: [2021-02-05 23:03:51] genewalk.gene_lists - Could not get HGNC name for ID "16",132
WARNING: [2021-02-05 23:03:52] genewalk.gene_lists - Could not get HGNC name for ID "17",12012
WARNING: [2021-02-05 23:03:52] genewalk.gene_lists - Could not get HGNC name for ID "18",12010
WARNING: [2021-02-05 23:03:53] genewalk.gene_lists - Could not get HGNC name for ID "19",12011
WARNING: [2021-02-05 23:03:53] genewalk.gene_lists - Could not get HGNC name for ID "20",12013
WARNING: [2021-02-05 23:03:54] genewalk.gene_lists - Could not get HGNC name for ID "21",343
WARNING: [2021-02-05 23:03:55] genewalk.gene_lists - Could not get HGNC name for ID "22",248
WARNING: [2021-02-05 23:03:55] genewalk.gene_lists - Could not get HGNC name for ID "23",12010
WARNING: [2021-02-05 23:03:56] genewalk.gene_lists - Could not get HGNC name for ID "24",NA
WARNING: [2021-02-05 23:03:57] genewalk.gene_lists - Could not get HGNC name for ID "25",12010
WARNING: [2021-02-05 23:03:57] genewalk.gene_lists - Could not get HGNC name for ID "26",11949
WARNING: [2021-02-05 23:03:58] genewalk.gene_lists - Could not get HGNC name for ID "27",19986
WARNING: [2021-02-05 23:03:58] genewalk.gene_lists - Could not get HGNC name for ID "28",7574
WARNING: [2021-02-05 23:03:59] genewalk.gene_lists - Could not get HGNC name for ID "29",7577
WARNING: [2021-02-05 23:04:00] genewalk.gene_lists - Could not get HGNC name for ID "30",7567
WARNING: [2021-02-05 23:04:00] genewalk.gene_lists - Could not get HGNC name for ID "31",15906
WARNING: [2021-02-05 23:04:01] genewalk.gene_lists - Could not get HGNC name for ID "32",7578
WARNING: [2021-02-05 23:04:02] genewalk.gene_lists - Could not get HGNC name for ID "33",7573
WARNING: [2021-02-05 23:04:02] genewalk.gene_lists - Could not get HGNC name for ID "34",31073
WARNING: [2021-02-05 23:04:03] genewalk.gene_lists - Could not get HGNC name for ID "35",7576
WARNING: [2021-02-05 23:04:03] genewalk.gene_lists - Could not get HGNC name for ID "36",7572
WARNING: [2021-02-05 23:04:04] genewalk.gene_lists - Could not get HGNC name for ID "37",9989
WARNING: [2021-02-05 23:04:05] genewalk.gene_lists - Could not get HGNC name for ID "38",NA
WARNING: [2021-02-05 23:04:05] genewalk.gene_lists - Could not get HGNC name for ID "39",6826
WARNING: [2021-02-05 23:04:06] genewalk.gene_lists - Could not get HGNC name for ID "40",31103
WARNING: [2021-02-05 23:04:07] genewalk.gene_lists - Could not get HGNC name for ID "41",10426
WARNING: [2021-02-05 23:04:07] genewalk.gene_lists - Could not get HGNC name for ID "42",2280
WARNING: [2021-02-05 23:04:08] genewalk.gene_lists - Could not get HGNC name for ID "43",10426
WARNING: [2021-02-05 23:04:08] genewalk.gene_lists - Could not get HGNC name for ID "44",14085
WARNING: [2021-02-05 23:04:09] genewalk.gene_lists - Could not get HGNC name for ID "45",10469
WARNING: [2021-02-05 23:04:10] genewalk.gene_lists - Could not get HGNC name for ID "46",10467
WARNING: [2021-02-05 23:04:10] genewalk.gene_lists - Could not get HGNC name for ID "47",11946
WARNING: [2021-02-05 23:04:11] genewalk.gene_lists - Could not get HGNC name for ID "48",11945
WARNING: [2021-02-05 23:04:12] genewalk.gene_lists - Could not get HGNC name for ID "49",11947
WARNING: [2021-02-05 23:04:13] genewalk.gene_lists - Could not get HGNC name for ID "50",10336
WARNING: [2021-02-05 23:04:13] genewalk.gene_lists - Could not get HGNC name for ID "51",NA
WARNING: [2021-02-05 23:04:14] genewalk.gene_lists - Could not get HGNC name for ID "52",NA
WARNING: [2021-02-05 23:04:15] genewalk.gene_lists - Could not get HGNC name for ID "53",1094
WARNING: [2021-02-05 23:04:15] genewalk.gene_lists - Could not get HGNC name for ID "54",10333
WARNING: [2021-02-05 23:04:16] genewalk.gene_lists - Could not get HGNC name for ID "55",10397
WARNING: [2021-02-05 23:04:16] genewalk.gene_lists - Could not get HGNC name for ID "56",11946
WARNING: [2021-02-05 23:04:17] genewalk.gene_lists - Could not get HGNC name for ID "57",11945
WARNING: [2021-02-05 23:04:18] genewalk.gene_lists - Could not get HGNC name for ID "58",11947
WARNING: [2021-02-05 23:04:18] genewalk.gene_lists - Could not get HGNC name for ID "59",11871
WARNING: [2021-02-05 23:04:19] genewalk.gene_lists - Could not get HGNC name for ID "60",4642
WARNING: [2021-02-05 23:04:19] genewalk.gene_lists - Could not get HGNC name for ID "61",33437
WARNING: [2021-02-05 23:04:20] genewalk.gene_lists - Could not get HGNC name for ID "62",7704
WARNING: [2021-02-05 23:04:21] genewalk.gene_lists - Could not get HGNC name for ID "63",16753
WARNING: [2021-02-05 23:04:21] genewalk.gene_lists - Could not get HGNC name for ID "64",10290
WARNING: [2021-02-05 23:04:22] genewalk.gene_lists - Could not get HGNC name for ID "65",NA
WARNING: [2021-02-05 23:04:23] genewalk.gene_lists - Could not get HGNC name for ID "66",NA
WARNING: [2021-02-05 23:04:23] genewalk.gene_lists - Could not get HGNC name for ID "67",23987
WARNING: [2021-02-05 23:04:24] genewalk.gene_lists - Could not get HGNC name for ID "68",NA
WARNING: [2021-02-05 23:04:24] genewalk.gene_lists - Could not get HGNC name for ID "69",6891
WARNING: [2021-02-05 23:04:25] genewalk.gene_lists - Could not get HGNC name for ID "70",7702
WARNING: [2021-02-05 23:04:26] genewalk.gene_lists - Could not get HGNC name for ID "71",NA
WARNING: [2021-02-05 23:04:26] genewalk.gene_lists - Could not get HGNC name for ID "72",NA
WARNING: [2021-02-05 23:04:27] genewalk.gene_lists - Could not get HGNC name for ID "73",NA
WARNING: [2021-02-05 23:04:28] genewalk.gene_lists - Could not get HGNC name for ID "74",38825
WARNING: [2021-02-05 23:04:28] genewalk.gene_lists - Could not get HGNC name for ID "75",40
WARNING: [2021-02-05 23:04:29] genewalk.gene_lists - Could not get HGNC name for ID "76",7587
WARNING: [2021-02-05 23:04:29] genewalk.gene_lists - Could not get HGNC name for ID "77",7585
WARNING: [2021-02-05 23:04:30] genewalk.gene_lists - Could not get HGNC name for ID "78",29823
WARNING: [2021-02-05 23:04:31] genewalk.gene_lists - Could not get HGNC name for ID "79",7582
WARNING: [2021-02-05 23:04:31] genewalk.gene_lists - Could not get HGNC name for ID "80",7584
