hgnc_symbol,hgnc_id,go_name,go_id,go_domain,ncon_gene,ncon_go,global_padj,gene_padj,pval,sim,sem_sim,cilow_global_padj,ciupp_global_padj,cilow_gene_padj,ciupp_gene_padj,cilow_pval,ciupp_pval
MYH7,7577,actin-dependent ATPase activity,GO:0030898,molecular function,21,4,5.370e-02,3.737e-02,1.062e-02,9.100e-01,3.427e-03,5.015e-02,5.751e-02,3.501e-02,3.988e-02,9.447e-03,1.194e-02
MYH7,7577,cardiac muscle contraction,GO:0060048,biological process,21,9,5.370e-02,3.737e-02,1.099e-02,9.013e-01,1.546e-02,5.015e-02,5.751e-02,3.501e-02,3.988e-02,6.923e-03,1.746e-02
MYH7,7577,regulation of the force of heart contraction,GO:0002026,biological process,21,10,5.370e-02,3.737e-02,1.366e-02,8.816e-01,1.734e-02,5.015e-02,5.751e-02,3.501e-02,3.988e-02,8.883e-03,2.102e-02
MYH7,7577,striated muscle contraction,GO:0006941,biological process,21,6,5.370e-02,3.737e-02,1.530e-02,8.716e-01,1.805e-02,5.015e-02,5.751e-02,3.501e-02,3.988e-02,1.126e-02,2.080e-02
MYH7,7577,muscle filament sliding,GO:0030049,biological process,21,5,5.370e-02,3.737e-02,1.614e-02,8.658e-01,1.704e-02,5.015e-02,5.751e-02,3.501e-02,3.988e-02,1.230e-02,2.117e-02
MYH7,7577,microfilament motor activity,GO:0000146,molecular function,21,8,5.370e-02,3.737e-02,1.887e-02,8.449e-01,3.156e-03,5.015e-02,5.751e-02,3.501e-02,3.988e-02,1.808e-02,1.968e-02
MYH7,7577,regulation of heart rate,GO:0002027,biological process,21,10,5.374e-02,3.737e-02,1.875e-02,8.449e-01,1.511e-02,5.012e-02,5.761e-02,3.501e-02,3.988e-02,1.506e-02,2.335e-02
MYH7,7577,muscle contraction,GO:0006936,biological process,21,17,5.405e-02,3.787e-02,2.183e-02,8.200e-01,1.585e-02,4.986e-02,5.859e-02,3.577e-02,4.010e-02,1.747e-02,2.729e-02
MYH7,7577,ventricular cardiac muscle tissue morphogenesis,GO:0055010,biological process,21,11,5.417e-02,3.737e-02,1.963e-02,8.378e-01,1.939e-02,4.975e-02,5.899e-02,3.501e-02,3.988e-02,1.484e-02,2.597e-02
MYH7,7577,ATPase activity,GO:0016887,molecular function,21,25,5.424e-02,3.864e-02,2.439e-02,8.019e-01,1.661e-02,5.082e-02,5.789e-02,3.734e-02,3.997e-02,1.911e-02,3.111e-02
MYH7,7577,skeletal muscle contraction,GO:0003009,biological process,21,9,5.469e-02,3.920e-02,2.593e-02,7.921e-01,1.759e-02,4.931e-02,6.066e-02,3.470e-02,4.429e-02,1.989e-02,3.379e-02
MYH7,7577,myosin filament,GO:0032982,cellular component,21,4,5.599e-02,4.015e-02,2.935e-02,7.721e-01,1.349e-02,5.190e-02,6.042e-02,3.939e-02,4.092e-02,2.375e-02,3.628e-02
MYH7,7577,ATP metabolic process,GO:0046034,biological process,21,12,6.101e-02,4.559e-02,3.220e-02,7.610e-01,3.857e-02,5.158e-02,7.215e-02,3.446e-02,6.032e-02,1.775e-02,5.841e-02
MYH7,7577,adult heart development,GO:0007512,biological process,21,3,6.212e-02,4.652e-02,3.880e-02,7.305e-01,1.972e-02,5.353e-02,7.209e-02,3.597e-02,6.016e-02,2.808e-02,5.362e-02
MYH7,7577,regulation of the force of skeletal muscle contraction,GO:0014728,biological process,21,2,6.385e-02,4.917e-02,4.130e-02,7.216e-01,2.299e-02,5.014e-02,8.131e-02,3.663e-02,6.598e-02,2.831e-02,6.026e-02
MYH7,7577,protein binding,GO:0005515,molecular function,21,180,6.991e-02,5.369e-02,4.963e-02,6.948e-01,1.430e-02,5.947e-02,8.219e-02,4.142e-02,6.960e-02,3.907e-02,6.304e-02
MYH7,7577,regulation of slow-twitch skeletal muscle fiber contraction,GO:0031449,biological process,21,4,1.860e-01,1.604e-01,1.604e-01,4.517e-01,1.556e-01,4.309e-02,8.030e-01,3.213e-02,8.003e-01,3.213e-02,8.003e-01
MYH10,7568,cell cortex,GO:0005938,cellular component,31,4,5.370e-02,2.287e-02,1.276e-03,9.699e-01,5.170e-03,5.015e-02,5.751e-02,1.251e-02,4.182e-02,4.850e-04,3.355e-03
MYH10,7568,actomyosin,GO:0042641,cellular component,31,3,5.370e-02,3.216e-02,4.197e-03,9.423e-01,1.357e-02,5.015e-02,5.751e-02,2.944e-02,3.514e-02,1.497e-03,1.177e-02
MYH10,7568,RNA stem-loop binding,GO:0035613,molecular function,31,3,5.370e-02,3.226e-02,5.706e-03,9.364e-01,8.656e-03,5.015e-02,5.751e-02,2.949e-02,3.528e-02,2.991e-03,1.089e-02
MYH10,7568,stress fiber,GO:0001725,cellular component,31,6,5.370e-02,3.258e-02,8.386e-03,9.235e-01,3.005e-03,5.015e-02,5.751e-02,2.934e-02,3.619e-02,7.237e-03,9.718e-03
MYH10,7568,myosin II filament,GO:0097513,cellular component,31,2,5.370e-02,3.258e-02,9.862e-03,9.060e-01,1.855e-02,5.015e-02,5.751e-02,2.934e-02,3.619e-02,5.614e-03,1.732e-02
MYH10,7568,cleavage furrow,GO:0032154,cellular component,31,4,5.370e-02,3.258e-02,1.122e-02,9.058e-01,4.415e-03,5.015e-02,5.751e-02,2.934e-02,3.619e-02,9.723e-03,1.296e-02
MYH10,7568,actin-dependent ATPase activity,GO:0030898,molecular function,31,4,5.370e-02,3.258e-02,1.140e-02,8.961e-01,1.968e-02,5.015e-02,5.751e-02,2.934e-02,3.619e-02,6.912e-03,1.879e-02
MYH10,7568,midbody,GO:0030496,cellular component,31,3,5.370e-02,3.258e-02,1.323e-02,8.886e-01,1.192e-02,5.015e-02,5.751e-02,2.934e-02,3.619e-02,9.472e-03,1.849e-02
MYH10,7568,actin filament-based movement,GO:0030048,biological process,31,7,5.370e-02,3.258e-02,1.259e-02,8.828e-01,2.298e-02,5.015e-02,5.751e-02,2.934e-02,3.619e-02,6.602e-03,2.402e-02
MYH10,7568,actin filament binding,GO:0051015,molecular function,31,11,5.370e-02,3.258e-02,1.471e-02,8.807e-01,7.073e-03,5.015e-02,5.751e-02,2.934e-02,3.619e-02,1.258e-02,1.721e-02
MYH10,7568,ATP binding,GO:0005524,molecular function,31,5,5.370e-02,3.258e-02,1.706e-02,8.608e-01,9.102e-03,5.015e-02,5.751e-02,2.934e-02,3.619e-02,1.480e-02,1.966e-02
MYH10,7568,mRNA 5'-UTR binding,GO:0048027,molecular function,31,3,5.370e-02,3.282e-02,2.165e-02,8.207e-01,6.106e-03,5.015e-02,5.751e-02,2.948e-02,3.654e-02,1.990e-02,2.356e-02
