#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0044237	cellular metabolic process	115	3966	0.31	1.25e-14	7227.FBpp0070333,7227.FBpp0070658,7227.FBpp0070832,7227.FBpp0070877,7227.FBpp0070963,7227.FBpp0071184,7227.FBpp0071296,7227.FBpp0071449,7227.FBpp0071553,7227.FBpp0071587,7227.FBpp0071844,7227.FBpp0071993,7227.FBpp0072050,7227.FBpp0072168,7227.FBpp0072312,7227.FBpp0072341,7227.FBpp0072780,7227.FBpp0072801,7227.FBpp0072957,7227.FBpp0073777,7227.FBpp0073806,7227.FBpp0073844,7227.FBpp0073847,7227.FBpp0073949,7227.FBpp0074017,7227.FBpp0074812,7227.FBpp0075277,7227.FBpp0075629,7227.FBpp0075690,7227.FBpp0075764,7227.FBpp0076207,7227.FBpp0076270,7227.FBpp0076359,7227.FBpp0076555,7227.FBpp0076826,7227.FBpp0077141,7227.FBpp0077142,7227.FBpp0077537,7227.FBpp0077885,7227.FBpp0078371,7227.FBpp0078450,7227.FBpp0078490,7227.FBpp0078625,7227.FBpp0078664,7227.FBpp0078795,7227.FBpp0078893,7227.FBpp0078927,7227.FBpp0078996,7227.FBpp0079343,7227.FBpp0079344,7227.FBpp0079346,7227.FBpp0079565,7227.FBpp0079606,7227.FBpp0079641,7227.FBpp0079746,7227.FBpp0080051,7227.FBpp0080490,7227.FBpp0080967,7227.FBpp0081317,7227.FBpp0081380,7227.FBpp0081460,7227.FBpp0081527,7227.FBpp0081725,7227.FBpp0081780,7227.FBpp0081851,7227.FBpp0081899,7227.FBpp0082062,7227.FBpp0082465,7227.FBpp0082476,7227.FBpp0082511,7227.FBpp0082645,7227.FBpp0082932,7227.FBpp0083673,7227.FBpp0083860,7227.FBpp0083962,7227.FBpp0084666,7227.FBpp0084779,7227.FBpp0084959,7227.FBpp0085480,7227.FBpp0085585,7227.FBpp0085619,7227.FBpp0085703,7227.FBpp0085821,7227.FBpp0085855,7227.FBpp0086603,7227.FBpp0086628,7227.FBpp0086769,7227.FBpp0086974,7227.FBpp0087186,7227.FBpp0087605,7227.FBpp0087744,7227.FBpp0087828,7227.FBpp0087837,7227.FBpp0088015,7227.FBpp0088833,7227.FBpp0088926,7227.FBpp0091154,7227.FBpp0100178,7227.FBpp0100182,7227.FBpp0110210,7227.FBpp0110481,7227.FBpp0271901,7227.FBpp0289447,7227.FBpp0289513,7227.FBpp0291497,7227.FBpp0291653,7227.FBpp0297500,7227.FBpp0300203,7227.FBpp0300615,7227.FBpp0301731,7227.FBpp0302051,7227.FBpp0302939,7227.FBpp0305141,7227.FBpp0305216,7227.FBpp0305543	CG4406,Torsin,CG5941,RpL7A,CG4586,Sptr,Hex-A,CG9344,LSm1,CG10306,CG2852,mRpL43,Tal,cN-IIIB,RpL19,GstE12,yellow-g,RpL8,RpL28,ND-B18,CG14407,RpL37a,Ahcy13,ND-20,Cyp1,CG18135,POLD,AdenoK,vih,RpL10Ab,RpS17,Argk,RpL14,lark,Ppat-Dpck,mRpL27,RpL27A,Got2,mRpL15,Madm,CG11999,Ubc6,DhpD,Rpn11,obst-E,CG9547,CG11070,x16,CG9468,CG9466,CG9463,me31B,RpS27A,Cdk1,dUTPase,ND-B22,Prosbeta4,RPA2,Mcm2,mRpS18A,Aats-trp,RpL34b,Rrp46,Art1,Ugt35b,CG14715,Prosalpha2,RpS5b,smp-30,Caf1,ND-23,Pxt,Dph5,Rpn9,mRpS24,Gfat2,ligatin,RpL32,geminin,RpS18,PCNA,FK506-bp2,CG15093,GstE6,Rpn6,CG10131,CG6543,ox,wal,CG1814,PPO2,Mal-A5,Mal-A3,U2A,mRpS11,Sam-S,His4,mt:ATPase8,mt:ND5,Dhfr,CG40045,ND-B17.2,GstT3,Eb1,PPO1,RpL30,ND-15,CG2118,RpS3A,lwr,Vps28,ND-B14.5B,Rpn8,Acsl,Spn27A
GO:0008152	metabolic process	127	4926	0.26	2.82e-13	7227.FBpp0070333,7227.FBpp0070658,7227.FBpp0070832,7227.FBpp0070877,7227.FBpp0070963,7227.FBpp0071184,7227.FBpp0071296,7227.FBpp0071449,7227.FBpp0071553,7227.FBpp0071587,7227.FBpp0071844,7227.FBpp0071993,7227.FBpp0072004,7227.FBpp0072050,7227.FBpp0072168,7227.FBpp0072312,7227.FBpp0072341,7227.FBpp0072455,7227.FBpp0072460,7227.FBpp0072780,7227.FBpp0072801,7227.FBpp0072957,7227.FBpp0073777,7227.FBpp0073806,7227.FBpp0073844,7227.FBpp0073847,7227.FBpp0073949,7227.FBpp0074017,7227.FBpp0074425,7227.FBpp0074812,7227.FBpp0075277,7227.FBpp0075629,7227.FBpp0075690,7227.FBpp0075764,7227.FBpp0076207,7227.FBpp0076270,7227.FBpp0076359,7227.FBpp0076555,7227.FBpp0076771,7227.FBpp0076826,7227.FBpp0077141,7227.FBpp0077142,7227.FBpp0077221,7227.FBpp0077537,7227.FBpp0077885,7227.FBpp0078371,7227.FBpp0078450,7227.FBpp0078490,7227.FBpp0078625,7227.FBpp0078664,7227.FBpp0078795,7227.FBpp0078893,7227.FBpp0078927,7227.FBpp0078996,7227.FBpp0079139,7227.FBpp0079343,7227.FBpp0079344,7227.FBpp0079346,7227.FBpp0079565,7227.FBpp0079606,7227.FBpp0079641,7227.FBpp0079746,7227.FBpp0080051,7227.FBpp0080490,7227.FBpp0080967,7227.FBpp0081317,7227.FBpp0081380,7227.FBpp0081460,7227.FBpp0081507,7227.FBpp0081527,7227.FBpp0081725,7227.FBpp0081780,7227.FBpp0081851,7227.FBpp0081899,7227.FBpp0082062,7227.FBpp0082465,7227.FBpp0082476,7227.FBpp0082511,7227.FBpp0082645,7227.FBpp0082932,7227.FBpp0083673,7227.FBpp0083860,7227.FBpp0083962,7227.FBpp0084666,7227.FBpp0084779,7227.FBpp0084959,7227.FBpp0085480,7227.FBpp0085585,7227.FBpp0085611,7227.FBpp0085619,7227.FBpp0085703,7227.FBpp0085821,7227.FBpp0085855,7227.FBpp0086603,7227.FBpp0086628,7227.FBpp0086769,7227.FBpp0086974,7227.FBpp0087186,7227.FBpp0087406,7227.FBpp0087605,7227.FBpp0087744,7227.FBpp0087828,7227.FBpp0087837,7227.FBpp0088015,7227.FBpp0088126,7227.FBpp0088833,7227.FBpp0088926,7227.FBpp0091154,7227.FBpp0100178,7227.FBpp0100182,7227.FBpp0110210,7227.FBpp0110481,7227.FBpp0271901,7227.FBpp0289447,7227.FBpp0289513,7227.FBpp0290125,7227.FBpp0291497,7227.FBpp0291653,7227.FBpp0297500,7227.FBpp0300203,7227.FBpp0300615,7227.FBpp0301731,7227.FBpp0302051,7227.FBpp0302939,7227.FBpp0305141,7227.FBpp0305216,7227.FBpp0305543	CG4406,Torsin,CG5941,RpL7A,CG4586,Sptr,Hex-A,CG9344,LSm1,CG10306,CG2852,mRpL43,l(2)not,Tal,cN-IIIB,RpL19,GstE12,Gale,Reg-2,yellow-g,RpL8,RpL28,ND-B18,CG14407,RpL37a,Ahcy13,ND-20,Cyp1,CG7322,CG18135,POLD,AdenoK,vih,RpL10Ab,RpS17,Argk,RpL14,lark,CG10467,Ppat-Dpck,mRpL27,RpL27A,Dot,Got2,mRpL15,Madm,CG11999,Ubc6,DhpD,Rpn11,obst-E,CG9547,CG11070,x16,CG18585,CG9468,CG9466,CG9463,me31B,RpS27A,Cdk1,dUTPase,ND-B22,Prosbeta4,RPA2,Mcm2,mRpS18A,Aats-trp,CG8132,RpL34b,Rrp46,Art1,Ugt35b,CG14715,Prosalpha2,RpS5b,smp-30,Caf1,ND-23,Pxt,Dph5,Rpn9,mRpS24,Gfat2,ligatin,RpL32,geminin,RpS18,CG11200,PCNA,FK506-bp2,CG15093,GstE6,Rpn6,CG10131,CG6543,ox,wal,CG12896,CG1814,PPO2,Mal-A5,Mal-A3,U2A,Cyp9b2,mRpS11,Sam-S,His4,mt:ATPase8,mt:ND5,Dhfr,CG40045,ND-B17.2,GstT3,Eb1,CG18586,PPO1,RpL30,ND-15,CG2118,RpS3A,lwr,Vps28,ND-B14.5B,Rpn8,Acsl,Spn27A
GO:0009987	cellular process	153	6847	0.2	4.36e-13	7227.FBpp0070333,7227.FBpp0070355,7227.FBpp0070558,7227.FBpp0070658,7227.FBpp0070832,7227.FBpp0070877,7227.FBpp0070963,7227.FBpp0071150,7227.FBpp0071184,7227.FBpp0071296,7227.FBpp0071449,7227.FBpp0071553,7227.FBpp0071587,7227.FBpp0071844,7227.FBpp0071993,7227.FBpp0072050,7227.FBpp0072097,7227.FBpp0072168,7227.FBpp0072306,7227.FBpp0072312,7227.FBpp0072341,7227.FBpp0072746,7227.FBpp0072780,7227.FBpp0072801,7227.FBpp0072957,7227.FBpp0073069,7227.FBpp0073777,7227.FBpp0073806,7227.FBpp0073844,7227.FBpp0073847,7227.FBpp0073902,7227.FBpp0073949,7227.FBpp0074017,7227.FBpp0074715,7227.FBpp0074812,7227.FBpp0075272,7227.FBpp0075277,7227.FBpp0075297,7227.FBpp0075629,7227.FBpp0075690,7227.FBpp0075764,7227.FBpp0076156,7227.FBpp0076207,7227.FBpp0076270,7227.FBpp0076301,7227.FBpp0076359,7227.FBpp0076555,7227.FBpp0076826,7227.FBpp0077141,7227.FBpp0077142,7227.FBpp0077236,7227.FBpp0077537,7227.FBpp0077885,7227.FBpp0078371,7227.FBpp0078450,7227.FBpp0078490,7227.FBpp0078625,7227.FBpp0078664,7227.FBpp0078795,7227.FBpp0078893,7227.FBpp0078927,7227.FBpp0078996,7227.FBpp0079343,7227.FBpp0079344,7227.FBpp0079346,7227.FBpp0079565,7227.FBpp0079606,7227.FBpp0079641,7227.FBpp0079746,7227.FBpp0079992,7227.FBpp0080051,7227.FBpp0080146,7227.FBpp0080405,7227.FBpp0080490,7227.FBpp0080967,7227.FBpp0081317,7227.FBpp0081380,7227.FBpp0081401,7227.FBpp0081460,7227.FBpp0081527,7227.FBpp0081725,7227.FBpp0081780,7227.FBpp0081851,7227.FBpp0081899,7227.FBpp0082062,7227.FBpp0082465,7227.FBpp0082476,7227.FBpp0082511,7227.FBpp0082521,7227.FBpp0082645,7227.FBpp0082818,7227.FBpp0082932,7227.FBpp0083673,7227.FBpp0083683,7227.FBpp0083860,7227.FBpp0083891,7227.FBpp0083962,7227.FBpp0084666,7227.FBpp0084779,7227.FBpp0084831,7227.FBpp0084959,7227.FBpp0085195,7227.FBpp0085480,7227.FBpp0085503,7227.FBpp0085585,7227.FBpp0085619,7227.FBpp0085703,7227.FBpp0085821,7227.FBpp0085855,7227.FBpp0086603,7227.FBpp0086628,7227.FBpp0086769,7227.FBpp0086895,7227.FBpp0086974,7227.FBpp0087186,7227.FBpp0087252,7227.FBpp0087406,7227.FBpp0087605,7227.FBpp0087744,7227.FBpp0087764,7227.FBpp0087828,7227.FBpp0087837,7227.FBpp0088015,7227.FBpp0088363,7227.FBpp0088529,7227.FBpp0088833,7227.FBpp0088926,7227.FBpp0089196,7227.FBpp0091154,7227.FBpp0100178,7227.FBpp0100182,7227.FBpp0110210,7227.FBpp0110481,7227.FBpp0271716,7227.FBpp0271901,7227.FBpp0288463,7227.FBpp0289083,7227.FBpp0289184,7227.FBpp0289447,7227.FBpp0289513,7227.FBpp0289639,7227.FBpp0290753,7227.FBpp0291497,7227.FBpp0291653,7227.FBpp0297500,7227.FBpp0300203,7227.FBpp0300615,7227.FBpp0301731,7227.FBpp0302051,7227.FBpp0302939,7227.FBpp0305141,7227.FBpp0305216,7227.FBpp0305543	CG4406,deltaCOP,Rala,Torsin,CG5941,RpL7A,CG4586,Cp36,Sptr,Hex-A,CG9344,LSm1,CG10306,CG2852,mRpL43,Tal,tsr,cN-IIIB,zip,RpL19,GstE12,R,yellow-g,RpL8,RpL28,Akh,ND-B18,CG14407,RpL37a,Ahcy13,Tcp-1zeta,ND-20,Cyp1,asf1,CG18135,Arl1,POLD,fwe,AdenoK,vih,RpL10Ab,path,RpS17,Argk,Cp16,RpL14,lark,Ppat-Dpck,mRpL27,RpL27A,CG16713,Got2,mRpL15,Madm,CG11999,Ubc6,DhpD,Rpn11,obst-E,CG9547,CG11070,x16,CG9468,CG9466,CG9463,me31B,RpS27A,Cdk1,dUTPase,CG5525,ND-B22,Arpc1,cni,Prosbeta4,RPA2,Mcm2,mRpS18A,Tcp-1eta,Aats-trp,RpL34b,Rrp46,Art1,Ugt35b,CG14715,Prosalpha2,RpS5b,smp-30,Caf1,Set,ND-23,CG17556,Pxt,Dph5,T-cp1,Rpn9,Rab7,mRpS24,Gfat2,ligatin,Bub3,RpL32,CG1890,geminin,Tsp42Ea,RpS18,PCNA,FK506-bp2,CG15093,GstE6,Rpn6,CG10131,CG6543,bic,ox,wal,CG12384,CG12896,CG1814,PPO2,CG8258,Mal-A5,Mal-A3,U2A,Lsp2,Zasp66,mRpS11,Sam-S,chic,His4,mt:ATPase8,mt:ND5,Dhfr,CG40045,Fis1,ND-B17.2,CG7394,CG5189,Arf79F,GstT3,Eb1,Mapmodulin,Rtnl1,PPO1,RpL30,ND-15,CG2118,RpS3A,lwr,Vps28,ND-B14.5B,Rpn8,Acsl,Spn27A
GO:0071704	organic substance metabolic process	115	4432	0.26	1.90e-11	7227.FBpp0070333,7227.FBpp0070658,7227.FBpp0070832,7227.FBpp0070877,7227.FBpp0070963,7227.FBpp0071184,7227.FBpp0071296,7227.FBpp0071449,7227.FBpp0071553,7227.FBpp0071587,7227.FBpp0071844,7227.FBpp0071993,7227.FBpp0072050,7227.FBpp0072168,7227.FBpp0072312,7227.FBpp0072341,7227.FBpp0072455,7227.FBpp0072780,7227.FBpp0072801,7227.FBpp0072957,7227.FBpp0073777,7227.FBpp0073844,7227.FBpp0073847,7227.FBpp0073949,7227.FBpp0074017,7227.FBpp0074812,7227.FBpp0075277,7227.FBpp0075629,7227.FBpp0075690,7227.FBpp0075764,7227.FBpp0076207,7227.FBpp0076359,7227.FBpp0076555,7227.FBpp0076771,7227.FBpp0076826,7227.FBpp0077141,7227.FBpp0077142,7227.FBpp0077537,7227.FBpp0077885,7227.FBpp0078371,7227.FBpp0078450,7227.FBpp0078490,7227.FBpp0078625,7227.FBpp0078664,7227.FBpp0078795,7227.FBpp0078893,7227.FBpp0078927,7227.FBpp0078996,7227.FBpp0079139,7227.FBpp0079343,7227.FBpp0079344,7227.FBpp0079346,7227.FBpp0079565,7227.FBpp0079606,7227.FBpp0079641,7227.FBpp0079746,7227.FBpp0080051,7227.FBpp0080490,7227.FBpp0080967,7227.FBpp0081317,7227.FBpp0081380,7227.FBpp0081460,7227.FBpp0081527,7227.FBpp0081725,7227.FBpp0081780,7227.FBpp0081851,7227.FBpp0081899,7227.FBpp0082062,7227.FBpp0082465,7227.FBpp0082476,7227.FBpp0082511,7227.FBpp0082645,7227.FBpp0082932,7227.FBpp0083673,7227.FBpp0083860,7227.FBpp0083962,7227.FBpp0084666,7227.FBpp0084779,7227.FBpp0084959,7227.FBpp0085480,7227.FBpp0085585,7227.FBpp0085619,7227.FBpp0085703,7227.FBpp0085821,7227.FBpp0085855,7227.FBpp0086603,7227.FBpp0086628,7227.FBpp0086769,7227.FBpp0086974,7227.FBpp0087186,7227.FBpp0087744,7227.FBpp0087828,7227.FBpp0087837,7227.FBpp0088015,7227.FBpp0088833,7227.FBpp0088926,7227.FBpp0091154,7227.FBpp0100178,7227.FBpp0100182,7227.FBpp0110210,7227.FBpp0110481,7227.FBpp0271901,7227.FBpp0289447,7227.FBpp0289513,7227.FBpp0291497,7227.FBpp0291653,7227.FBpp0297500,7227.FBpp0300203,7227.FBpp0300615,7227.FBpp0301731,7227.FBpp0302051,7227.FBpp0302939,7227.FBpp0305141,7227.FBpp0305216,7227.FBpp0305543	CG4406,Torsin,CG5941,RpL7A,CG4586,Sptr,Hex-A,CG9344,LSm1,CG10306,CG2852,mRpL43,Tal,cN-IIIB,RpL19,GstE12,Gale,yellow-g,RpL8,RpL28,ND-B18,RpL37a,Ahcy13,ND-20,Cyp1,CG18135,POLD,AdenoK,vih,RpL10Ab,RpS17,RpL14,lark,CG10467,Ppat-Dpck,mRpL27,RpL27A,Got2,mRpL15,Madm,CG11999,Ubc6,DhpD,Rpn11,obst-E,CG9547,CG11070,x16,CG18585,CG9468,CG9466,CG9463,me31B,RpS27A,Cdk1,dUTPase,ND-B22,Prosbeta4,RPA2,Mcm2,mRpS18A,Aats-trp,RpL34b,Rrp46,Art1,Ugt35b,CG14715,Prosalpha2,RpS5b,smp-30,Caf1,ND-23,Pxt,Dph5,Rpn9,mRpS24,Gfat2,ligatin,RpL32,geminin,RpS18,PCNA,FK506-bp2,CG15093,GstE6,Rpn6,CG10131,CG6543,ox,wal,PPO2,Mal-A5,Mal-A3,U2A,mRpS11,Sam-S,His4,mt:ATPase8,mt:ND5,Dhfr,CG40045,ND-B17.2,GstT3,Eb1,PPO1,RpL30,ND-15,CG2118,RpS3A,lwr,Vps28,ND-B14.5B,Rpn8,Acsl,Spn27A
GO:0034641	cellular nitrogen compound metabolic process	70	1954	0.4	3.02e-11	7227.FBpp0070832,7227.FBpp0070877,7227.FBpp0071184,7227.FBpp0071296,7227.FBpp0071449,7227.FBpp0071553,7227.FBpp0071587,7227.FBpp0071993,7227.FBpp0072050,7227.FBpp0072168,7227.FBpp0072312,7227.FBpp0072341,7227.FBpp0072801,7227.FBpp0072957,7227.FBpp0073777,7227.FBpp0073844,7227.FBpp0073847,7227.FBpp0073949,7227.FBpp0075277,7227.FBpp0075629,7227.FBpp0075764,7227.FBpp0076207,7227.FBpp0076359,7227.FBpp0076555,7227.FBpp0076826,7227.FBpp0077141,7227.FBpp0077142,7227.FBpp0077885,7227.FBpp0078490,7227.FBpp0078625,7227.FBpp0078893,7227.FBpp0078996,7227.FBpp0079565,7227.FBpp0079606,7227.FBpp0079641,7227.FBpp0079746,7227.FBpp0080051,7227.FBpp0080967,7227.FBpp0081317,7227.FBpp0081380,7227.FBpp0081460,7227.FBpp0081527,7227.FBpp0081725,7227.FBpp0081851,7227.FBpp0082465,7227.FBpp0082511,7227.FBpp0082645,7227.FBpp0083962,7227.FBpp0084666,7227.FBpp0084779,7227.FBpp0084959,7227.FBpp0085480,7227.FBpp0085585,7227.FBpp0085619,7227.FBpp0085855,7227.FBpp0086974,7227.FBpp0087186,7227.FBpp0088015,7227.FBpp0088833,7227.FBpp0091154,7227.FBpp0100178,7227.FBpp0100182,7227.FBpp0110210,7227.FBpp0271901,7227.FBpp0289447,7227.FBpp0291653,7227.FBpp0297500,7227.FBpp0300615,7227.FBpp0302939,7227.FBpp0305216	CG5941,RpL7A,Sptr,Hex-A,CG9344,LSm1,CG10306,mRpL43,Tal,cN-IIIB,RpL19,GstE12,RpL8,RpL28,ND-B18,RpL37a,Ahcy13,ND-20,POLD,AdenoK,RpL10Ab,RpS17,RpL14,lark,Ppat-Dpck,mRpL27,RpL27A,mRpL15,Ubc6,DhpD,CG9547,x16,me31B,RpS27A,Cdk1,dUTPase,ND-B22,RPA2,Mcm2,mRpS18A,Aats-trp,RpL34b,Rrp46,Ugt35b,RpS5b,Caf1,ND-23,mRpS24,Gfat2,ligatin,RpL32,geminin,RpS18,PCNA,GstE6,ox,wal,U2A,mRpS11,His4,mt:ATPase8,mt:ND5,Dhfr,ND-B17.2,GstT3,RpL30,ND-15,RpS3A,ND-B14.5B,Acsl
GO:0002181	cytoplasmic translation	18	109	1.07	5.44e-11	7227.FBpp0070832,7227.FBpp0070877,7227.FBpp0072312,7227.FBpp0072801,7227.FBpp0072957,7227.FBpp0073844,7227.FBpp0075764,7227.FBpp0076207,7227.FBpp0076359,7227.FBpp0077142,7227.FBpp0079606,7227.FBpp0081527,7227.FBpp0082465,7227.FBpp0084779,7227.FBpp0084959,7227.FBpp0085585,7227.FBpp0291653,7227.FBpp0300615	CG5941,RpL7A,RpL19,RpL8,RpL28,RpL37a,RpL10Ab,RpS17,RpL14,RpL27A,RpS27A,RpL34b,RpS5b,ligatin,RpL32,RpS18,RpL30,RpS3A
GO:0043604	amide biosynthetic process	28	336	0.77	5.44e-11	7227.FBpp0070832,7227.FBpp0070877,7227.FBpp0071587,7227.FBpp0071993,7227.FBpp0072312,7227.FBpp0072801,7227.FBpp0072957,7227.FBpp0073844,7227.FBpp0075764,7227.FBpp0076207,7227.FBpp0076359,7227.FBpp0077141,7227.FBpp0077142,7227.FBpp0077885,7227.FBpp0079606,7227.FBpp0081380,7227.FBpp0081460,7227.FBpp0081527,7227.FBpp0082465,7227.FBpp0083962,7227.FBpp0084779,7227.FBpp0084959,7227.FBpp0085585,7227.FBpp0088833,7227.FBpp0110210,7227.FBpp0291653,7227.FBpp0300615,7227.FBpp0305216	CG5941,RpL7A,CG10306,mRpL43,RpL19,RpL8,RpL28,RpL37a,RpL10Ab,RpS17,RpL14,mRpL27,RpL27A,mRpL15,RpS27A,mRpS18A,Aats-trp,RpL34b,RpS5b,mRpS24,ligatin,RpL32,RpS18,mRpS11,Dhfr,RpL30,RpS3A,Acsl
GO:1901564	organonitrogen compound metabolic process	86	2860	0.33	1.13e-10	7227.FBpp0070333,7227.FBpp0070832,7227.FBpp0070877,7227.FBpp0071184,7227.FBpp0071296,7227.FBpp0071587,7227.FBpp0071844,7227.FBpp0071993,7227.FBpp0072050,7227.FBpp0072168,7227.FBpp0072312,7227.FBpp0072341,7227.FBpp0072801,7227.FBpp0072957,7227.FBpp0073777,7227.FBpp0073844,7227.FBpp0073847,7227.FBpp0073949,7227.FBpp0074017,7227.FBpp0075629,7227.FBpp0075690,7227.FBpp0075764,7227.FBpp0076207,7227.FBpp0076359,7227.FBpp0076826,7227.FBpp0077141,7227.FBpp0077142,7227.FBpp0077537,7227.FBpp0077885,7227.FBpp0078371,7227.FBpp0078450,7227.FBpp0078490,7227.FBpp0078625,7227.FBpp0078664,7227.FBpp0078795,7227.FBpp0078893,7227.FBpp0078927,7227.FBpp0079139,7227.FBpp0079343,7227.FBpp0079344,7227.FBpp0079346,7227.FBpp0079606,7227.FBpp0079641,7227.FBpp0079746,7227.FBpp0080051,7227.FBpp0080490,7227.FBpp0081380,7227.FBpp0081460,7227.FBpp0081527,7227.FBpp0081780,7227.FBpp0081899,7227.FBpp0082062,7227.FBpp0082465,7227.FBpp0082511,7227.FBpp0082645,7227.FBpp0083673,7227.FBpp0083860,7227.FBpp0083962,7227.FBpp0084666,7227.FBpp0084779,7227.FBpp0084959,7227.FBpp0085585,7227.FBpp0085703,7227.FBpp0085821,7227.FBpp0085855,7227.FBpp0086603,7227.FBpp0086974,7227.FBpp0087186,7227.FBpp0087744,7227.FBpp0088833,7227.FBpp0100178,7227.FBpp0100182,7227.FBpp0110210,7227.FBpp0110481,7227.FBpp0271901,7227.FBpp0289447,7227.FBpp0291497,7227.FBpp0291653,7227.FBpp0297500,7227.FBpp0300203,7227.FBpp0300615,7227.FBpp0301731,7227.FBpp0302051,7227.FBpp0302939,7227.FBpp0305141,7227.FBpp0305216	CG4406,CG5941,RpL7A,Sptr,Hex-A,CG10306,CG2852,mRpL43,Tal,cN-IIIB,RpL19,GstE12,RpL8,RpL28,ND-B18,RpL37a,Ahcy13,ND-20,Cyp1,AdenoK,vih,RpL10Ab,RpS17,RpL14,Ppat-Dpck,mRpL27,RpL27A,Got2,mRpL15,Madm,CG11999,Ubc6,DhpD,Rpn11,obst-E,CG9547,CG11070,CG18585,CG9468,CG9466,CG9463,RpS27A,Cdk1,dUTPase,ND-B22,Prosbeta4,mRpS18A,Aats-trp,RpL34b,Art1,CG14715,Prosalpha2,RpS5b,Caf1,ND-23,Dph5,Rpn9,mRpS24,Gfat2,ligatin,RpL32,RpS18,FK506-bp2,CG15093,GstE6,Rpn6,ox,wal,PPO2,mRpS11,mt:ATPase8,mt:ND5,Dhfr,CG40045,ND-B17.2,GstT3,PPO1,RpL30,ND-15,CG2118,RpS3A,lwr,Vps28,ND-B14.5B,Rpn8,Acsl
GO:0006412	translation	26	304	0.78	1.84e-10	7227.FBpp0070832,7227.FBpp0070877,7227.FBpp0071587,7227.FBpp0071993,7227.FBpp0072312,7227.FBpp0072801,7227.FBpp0072957,7227.FBpp0073844,7227.FBpp0075764,7227.FBpp0076207,7227.FBpp0076359,7227.FBpp0077141,7227.FBpp0077142,7227.FBpp0077885,7227.FBpp0079606,7227.FBpp0081380,7227.FBpp0081460,7227.FBpp0081527,7227.FBpp0082465,7227.FBpp0083962,7227.FBpp0084779,7227.FBpp0084959,7227.FBpp0085585,7227.FBpp0088833,7227.FBpp0291653,7227.FBpp0300615	CG5941,RpL7A,CG10306,mRpL43,RpL19,RpL8,RpL28,RpL37a,RpL10Ab,RpS17,RpL14,mRpL27,RpL27A,mRpL15,RpS27A,mRpS18A,Aats-trp,RpL34b,RpS5b,mRpS24,ligatin,RpL32,RpS18,mRpS11,RpL30,RpS3A
GO:0006518	peptide metabolic process	29	393	0.72	2.27e-10	7227.FBpp0070832,7227.FBpp0070877,7227.FBpp0071587,7227.FBpp0071993,7227.FBpp0072312,7227.FBpp0072341,7227.FBpp0072801,7227.FBpp0072957,7227.FBpp0073844,7227.FBpp0075764,7227.FBpp0076207,7227.FBpp0076359,7227.FBpp0077141,7227.FBpp0077142,7227.FBpp0077885,7227.FBpp0079606,7227.FBpp0081380,7227.FBpp0081460,7227.FBpp0081527,7227.FBpp0082465,7227.FBpp0083962,7227.FBpp0084779,7227.FBpp0084959,7227.FBpp0085585,7227.FBpp0085855,7227.FBpp0088833,7227.FBpp0289447,7227.FBpp0291653,7227.FBpp0300615	CG5941,RpL7A,CG10306,mRpL43,RpL19,GstE12,RpL8,RpL28,RpL37a,RpL10Ab,RpS17,RpL14,mRpL27,RpL27A,mRpL15,RpS27A,mRpS18A,Aats-trp,RpL34b,RpS5b,mRpS24,ligatin,RpL32,RpS18,GstE6,mRpS11,GstT3,RpL30,RpS3A
