#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0005737	cytoplasm	107	3684	0.31	9.79e-14	7227.FBpp0070333,7227.FBpp0070355,7227.FBpp0070658,7227.FBpp0070832,7227.FBpp0070877,7227.FBpp0070963,7227.FBpp0071296,7227.FBpp0071449,7227.FBpp0071553,7227.FBpp0071587,7227.FBpp0071993,7227.FBpp0072004,7227.FBpp0072050,7227.FBpp0072168,7227.FBpp0072306,7227.FBpp0072312,7227.FBpp0072341,7227.FBpp0072801,7227.FBpp0072957,7227.FBpp0073652,7227.FBpp0073777,7227.FBpp0073844,7227.FBpp0073847,7227.FBpp0073902,7227.FBpp0073949,7227.FBpp0074017,7227.FBpp0074034,7227.FBpp0075209,7227.FBpp0075272,7227.FBpp0075297,7227.FBpp0075690,7227.FBpp0075764,7227.FBpp0076156,7227.FBpp0076207,7227.FBpp0076359,7227.FBpp0076555,7227.FBpp0077141,7227.FBpp0077142,7227.FBpp0077537,7227.FBpp0077885,7227.FBpp0078371,7227.FBpp0078450,7227.FBpp0078490,7227.FBpp0078893,7227.FBpp0078927,7227.FBpp0079565,7227.FBpp0079606,7227.FBpp0079641,7227.FBpp0079746,7227.FBpp0079992,7227.FBpp0080051,7227.FBpp0080405,7227.FBpp0081380,7227.FBpp0081401,7227.FBpp0081460,7227.FBpp0081527,7227.FBpp0081725,7227.FBpp0081780,7227.FBpp0081899,7227.FBpp0082465,7227.FBpp0082476,7227.FBpp0082645,7227.FBpp0082818,7227.FBpp0083673,7227.FBpp0083683,7227.FBpp0083860,7227.FBpp0083891,7227.FBpp0083962,7227.FBpp0084585,7227.FBpp0084779,7227.FBpp0084959,7227.FBpp0085585,7227.FBpp0085703,7227.FBpp0085821,7227.FBpp0085855,7227.FBpp0086468,7227.FBpp0086769,7227.FBpp0086895,7227.FBpp0086974,7227.FBpp0087186,7227.FBpp0087406,7227.FBpp0087764,7227.FBpp0088529,7227.FBpp0088833,7227.FBpp0088926,7227.FBpp0089196,7227.FBpp0100178,7227.FBpp0110481,7227.FBpp0271716,7227.FBpp0271901,7227.FBpp0288463,7227.FBpp0289083,7227.FBpp0289184,7227.FBpp0289334,7227.FBpp0289447,7227.FBpp0289513,7227.FBpp0289639,7227.FBpp0290753,7227.FBpp0291653,7227.FBpp0297500,7227.FBpp0300203,7227.FBpp0300615,7227.FBpp0301731,7227.FBpp0302051,7227.FBpp0302939,7227.FBpp0305216,7227.FBpp0306023	CG4406,deltaCOP,Torsin,CG5941,RpL7A,CG4586,Hex-A,CG9344,LSm1,CG10306,mRpL43,l(2)not,Tal,cN-IIIB,zip,RpL19,GstE12,RpL8,RpL28,Yp3,ND-B18,RpL37a,Ahcy13,Tcp-1zeta,ND-20,Cyp1,Nipsnap,SsRbeta,Arl1,fwe,vih,RpL10Ab,path,RpS17,RpL14,lark,mRpL27,RpL27A,Got2,mRpL15,Madm,CG11999,Ubc6,CG9547,CG11070,me31B,RpS27A,Cdk1,dUTPase,CG5525,ND-B22,cni,mRpS18A,Tcp-1eta,Aats-trp,RpL34b,Rrp46,Art1,CG14715,RpS5b,smp-30,ND-23,CG17556,Dph5,T-cp1,Rpn9,Rab7,mRpS24,CG5590,ligatin,RpL32,RpS18,FK506-bp2,CG15093,GstE6,Vha36-1,CG6543,bic,ox,wal,CG12896,CG8258,Zasp66,mRpS11,Sam-S,chic,mt:ATPase8,CG40045,Fis1,ND-B17.2,CG7394,CG5189,Arf79F,CG32441,GstT3,Eb1,Mapmodulin,Rtnl1,RpL30,ND-15,CG2118,RpS3A,lwr,Vps28,ND-B14.5B,Acsl,SrpRbeta
GO:0044391	ribosomal subunit	23	179	0.96	1.20e-12	7227.FBpp0070832,7227.FBpp0070877,7227.FBpp0071993,7227.FBpp0072312,7227.FBpp0072801,7227.FBpp0072957,7227.FBpp0073844,7227.FBpp0075764,7227.FBpp0076207,7227.FBpp0076359,7227.FBpp0077141,7227.FBpp0077142,7227.FBpp0077885,7227.FBpp0079606,7227.FBpp0081380,7227.FBpp0081527,7227.FBpp0082465,7227.FBpp0083962,7227.FBpp0084959,7227.FBpp0085585,7227.FBpp0088833,7227.FBpp0291653,7227.FBpp0300615	CG5941,RpL7A,mRpL43,RpL19,RpL8,RpL28,RpL37a,RpL10Ab,RpS17,RpL14,mRpL27,RpL27A,mRpL15,RpS27A,mRpS18A,RpL34b,RpS5b,mRpS24,RpL32,RpS18,mRpS11,RpL30,RpS3A
GO:0022626	cytosolic ribosome	18	104	1.09	6.14e-12	7227.FBpp0070832,7227.FBpp0070877,7227.FBpp0072312,7227.FBpp0072801,7227.FBpp0072957,7227.FBpp0073844,7227.FBpp0075764,7227.FBpp0076207,7227.FBpp0076359,7227.FBpp0077142,7227.FBpp0079606,7227.FBpp0081380,7227.FBpp0081527,7227.FBpp0082465,7227.FBpp0084959,7227.FBpp0085585,7227.FBpp0291653,7227.FBpp0300615	CG5941,RpL7A,RpL19,RpL8,RpL28,RpL37a,RpL10Ab,RpS17,RpL14,RpL27A,RpS27A,mRpS18A,RpL34b,RpS5b,RpL32,RpS18,RpL30,RpS3A
GO:0005622	intracellular	132	5815	0.2	1.13e-10	7227.FBpp0070333,7227.FBpp0070355,7227.FBpp0070658,7227.FBpp0070832,7227.FBpp0070877,7227.FBpp0070963,7227.FBpp0071296,7227.FBpp0071449,7227.FBpp0071553,7227.FBpp0071587,7227.FBpp0071993,7227.FBpp0072004,7227.FBpp0072050,7227.FBpp0072097,7227.FBpp0072168,7227.FBpp0072306,7227.FBpp0072312,7227.FBpp0072341,7227.FBpp0072801,7227.FBpp0072957,7227.FBpp0073652,7227.FBpp0073777,7227.FBpp0073844,7227.FBpp0073847,7227.FBpp0073902,7227.FBpp0073949,7227.FBpp0074017,7227.FBpp0074034,7227.FBpp0074402,7227.FBpp0074715,7227.FBpp0075209,7227.FBpp0075272,7227.FBpp0075277,7227.FBpp0075297,7227.FBpp0075690,7227.FBpp0075764,7227.FBpp0076156,7227.FBpp0076207,7227.FBpp0076359,7227.FBpp0076407,7227.FBpp0076555,7227.FBpp0076918,7227.FBpp0077141,7227.FBpp0077142,7227.FBpp0077221,7227.FBpp0077537,7227.FBpp0077885,7227.FBpp0078371,7227.FBpp0078450,7227.FBpp0078490,7227.FBpp0078664,7227.FBpp0078893,7227.FBpp0078927,7227.FBpp0078996,7227.FBpp0079565,7227.FBpp0079606,7227.FBpp0079641,7227.FBpp0079746,7227.FBpp0079992,7227.FBpp0080051,7227.FBpp0080146,7227.FBpp0080405,7227.FBpp0080490,7227.FBpp0080967,7227.FBpp0081317,7227.FBpp0081380,7227.FBpp0081401,7227.FBpp0081460,7227.FBpp0081527,7227.FBpp0081725,7227.FBpp0081780,7227.FBpp0081851,7227.FBpp0081899,7227.FBpp0082062,7227.FBpp0082465,7227.FBpp0082476,7227.FBpp0082511,7227.FBpp0082521,7227.FBpp0082645,7227.FBpp0082818,7227.FBpp0083673,7227.FBpp0083683,7227.FBpp0083860,7227.FBpp0083891,7227.FBpp0083962,7227.FBpp0084585,7227.FBpp0084779,7227.FBpp0084831,7227.FBpp0084959,7227.FBpp0085480,7227.FBpp0085585,7227.FBpp0085619,7227.FBpp0085703,7227.FBpp0085821,7227.FBpp0085855,7227.FBpp0086468,7227.FBpp0086603,7227.FBpp0086769,7227.FBpp0086895,7227.FBpp0086974,7227.FBpp0087186,7227.FBpp0087406,7227.FBpp0087605,7227.FBpp0087764,7227.FBpp0088015,7227.FBpp0088529,7227.FBpp0088833,7227.FBpp0088926,7227.FBpp0089196,7227.FBpp0091154,7227.FBpp0100178,7227.FBpp0110481,7227.FBpp0271716,7227.FBpp0271901,7227.FBpp0288463,7227.FBpp0289083,7227.FBpp0289184,7227.FBpp0289334,7227.FBpp0289447,7227.FBpp0289513,7227.FBpp0289639,7227.FBpp0290753,7227.FBpp0291653,7227.FBpp0297500,7227.FBpp0300203,7227.FBpp0300615,7227.FBpp0301731,7227.FBpp0302051,7227.FBpp0302939,7227.FBpp0305141,7227.FBpp0305216,7227.FBpp0306023	CG4406,deltaCOP,Torsin,CG5941,RpL7A,CG4586,Hex-A,CG9344,LSm1,CG10306,mRpL43,l(2)not,Tal,tsr,cN-IIIB,zip,RpL19,GstE12,RpL8,RpL28,Yp3,ND-B18,RpL37a,Ahcy13,Tcp-1zeta,ND-20,Cyp1,Nipsnap,CG6891,asf1,SsRbeta,Arl1,POLD,fwe,vih,RpL10Ab,path,RpS17,RpL14,CG7927,lark,pen,mRpL27,RpL27A,Dot,Got2,mRpL15,Madm,CG11999,Ubc6,Rpn11,CG9547,CG11070,x16,me31B,RpS27A,Cdk1,dUTPase,CG5525,ND-B22,Arpc1,cni,Prosbeta4,RPA2,Mcm2,mRpS18A,Tcp-1eta,Aats-trp,RpL34b,Rrp46,Art1,Ugt35b,CG14715,Prosalpha2,RpS5b,smp-30,Caf1,Set,ND-23,CG17556,Dph5,T-cp1,Rpn9,Rab7,mRpS24,CG5590,ligatin,Bub3,RpL32,geminin,RpS18,PCNA,FK506-bp2,CG15093,GstE6,Vha36-1,Rpn6,CG6543,bic,ox,wal,CG12896,CG1814,CG8258,U2A,Zasp66,mRpS11,Sam-S,chic,His4,mt:ATPase8,CG40045,Fis1,ND-B17.2,CG7394,CG5189,Arf79F,CG32441,GstT3,Eb1,Mapmodulin,Rtnl1,RpL30,ND-15,CG2118,RpS3A,lwr,Vps28,ND-B14.5B,Rpn8,Acsl,SrpRbeta
GO:0005829	cytosol	32	495	0.66	1.13e-10	7227.FBpp0070832,7227.FBpp0070877,7227.FBpp0071296,7227.FBpp0072168,7227.FBpp0072312,7227.FBpp0072801,7227.FBpp0072957,7227.FBpp0073844,7227.FBpp0073847,7227.FBpp0073902,7227.FBpp0074017,7227.FBpp0075764,7227.FBpp0076207,7227.FBpp0076359,7227.FBpp0077142,7227.FBpp0078371,7227.FBpp0079606,7227.FBpp0079992,7227.FBpp0081380,7227.FBpp0081401,7227.FBpp0081527,7227.FBpp0081780,7227.FBpp0082465,7227.FBpp0082476,7227.FBpp0083683,7227.FBpp0083860,7227.FBpp0084959,7227.FBpp0085585,7227.FBpp0087764,7227.FBpp0088926,7227.FBpp0291653,7227.FBpp0300615	CG5941,RpL7A,Hex-A,cN-IIIB,RpL19,RpL8,RpL28,RpL37a,Ahcy13,Tcp-1zeta,Cyp1,RpL10Ab,RpS17,RpL14,RpL27A,Madm,RpS27A,CG5525,mRpS18A,Tcp-1eta,RpL34b,Art1,RpS5b,smp-30,T-cp1,Rpn9,RpL32,RpS18,CG8258,Sam-S,RpL30,RpS3A
GO:0032991	protein-containing complex	78	2565	0.33	2.98e-10	7227.FBpp0070333,7227.FBpp0070355,7227.FBpp0070832,7227.FBpp0070877,7227.FBpp0071449,7227.FBpp0071553,7227.FBpp0071587,7227.FBpp0071993,7227.FBpp0072306,7227.FBpp0072312,7227.FBpp0072801,7227.FBpp0072957,7227.FBpp0073652,7227.FBpp0073777,7227.FBpp0073844,7227.FBpp0073902,7227.FBpp0073949,7227.FBpp0074715,7227.FBpp0075209,7227.FBpp0075277,7227.FBpp0075690,7227.FBpp0075764,7227.FBpp0076207,7227.FBpp0076359,7227.FBpp0077141,7227.FBpp0077142,7227.FBpp0077885,7227.FBpp0078490,7227.FBpp0078664,7227.FBpp0078927,7227.FBpp0079565,7227.FBpp0079606,7227.FBpp0079992,7227.FBpp0080051,7227.FBpp0080146,7227.FBpp0080490,7227.FBpp0081317,7227.FBpp0081380,7227.FBpp0081401,7227.FBpp0081527,7227.FBpp0081725,7227.FBpp0082062,7227.FBpp0082465,7227.FBpp0082511,7227.FBpp0082645,7227.FBpp0082818,7227.FBpp0083683,7227.FBpp0083860,7227.FBpp0083962,7227.FBpp0084831,7227.FBpp0084959,7227.FBpp0085585,7227.FBpp0085619,7227.FBpp0086468,7227.FBpp0086603,7227.FBpp0086895,7227.FBpp0086974,7227.FBpp0087186,7227.FBpp0087764,7227.FBpp0088015,7227.FBpp0088363,7227.FBpp0088833,7227.FBpp0091154,7227.FBpp0100178,7227.FBpp0271901,7227.FBpp0288463,7227.FBpp0289083,7227.FBpp0289334,7227.FBpp0289513,7227.FBpp0289639,7227.FBpp0291653,7227.FBpp0297500,7227.FBpp0300615,7227.FBpp0301731,7227.FBpp0302051,7227.FBpp0302939,7227.FBpp0305141,7227.FBpp0306023	CG4406,deltaCOP,CG5941,RpL7A,CG9344,LSm1,CG10306,mRpL43,zip,RpL19,RpL8,RpL28,Yp3,ND-B18,RpL37a,Tcp-1zeta,ND-20,asf1,SsRbeta,POLD,vih,RpL10Ab,RpS17,RpL14,mRpL27,RpL27A,mRpL15,Ubc6,Rpn11,CG11070,me31B,RpS27A,CG5525,ND-B22,Arpc1,Prosbeta4,Mcm2,mRpS18A,Tcp-1eta,RpL34b,Rrp46,Prosalpha2,RpS5b,Caf1,ND-23,CG17556,T-cp1,Rpn9,mRpS24,Bub3,RpL32,RpS18,PCNA,Vha36-1,Rpn6,bic,ox,wal,CG8258,U2A,Lsp2,mRpS11,His4,mt:ATPase8,ND-B17.2,CG7394,CG5189,CG32441,Eb1,Mapmodulin,RpL30,ND-15,RpS3A,lwr,Vps28,ND-B14.5B,Rpn8,SrpRbeta
GO:1990904	ribonucleoprotein complex	29	491	0.62	6.99e-09	7227.FBpp0070832,7227.FBpp0070877,7227.FBpp0071449,7227.FBpp0071553,7227.FBpp0071993,7227.FBpp0072312,7227.FBpp0072801,7227.FBpp0072957,7227.FBpp0073652,7227.FBpp0073844,7227.FBpp0075209,7227.FBpp0075764,7227.FBpp0076207,7227.FBpp0076359,7227.FBpp0077141,7227.FBpp0077142,7227.FBpp0077885,7227.FBpp0079565,7227.FBpp0079606,7227.FBpp0081380,7227.FBpp0081527,7227.FBpp0082465,7227.FBpp0083962,7227.FBpp0084959,7227.FBpp0085585,7227.FBpp0088015,7227.FBpp0088833,7227.FBpp0291653,7227.FBpp0300615	CG5941,RpL7A,CG9344,LSm1,mRpL43,RpL19,RpL8,RpL28,Yp3,RpL37a,SsRbeta,RpL10Ab,RpS17,RpL14,mRpL27,RpL27A,mRpL15,me31B,RpS27A,mRpS18A,RpL34b,RpS5b,mRpS24,RpL32,RpS18,U2A,mRpS11,RpL30,RpS3A
GO:0005623	cell	138	6736	0.16	4.12e-08	7227.FBpp0070333,7227.FBpp0070355,7227.FBpp0070558,7227.FBpp0070658,7227.FBpp0070832,7227.FBpp0070877,7227.FBpp0070963,7227.FBpp0071150,7227.FBpp0071296,7227.FBpp0071449,7227.FBpp0071553,7227.FBpp0071587,7227.FBpp0071993,7227.FBpp0072004,7227.FBpp0072050,7227.FBpp0072097,7227.FBpp0072168,7227.FBpp0072306,7227.FBpp0072312,7227.FBpp0072341,7227.FBpp0072746,7227.FBpp0072801,7227.FBpp0072957,7227.FBpp0073652,7227.FBpp0073777,7227.FBpp0073844,7227.FBpp0073847,7227.FBpp0073902,7227.FBpp0073949,7227.FBpp0074017,7227.FBpp0074034,7227.FBpp0074402,7227.FBpp0074715,7227.FBpp0075209,7227.FBpp0075272,7227.FBpp0075277,7227.FBpp0075297,7227.FBpp0075690,7227.FBpp0075764,7227.FBpp0076156,7227.FBpp0076207,7227.FBpp0076299,7227.FBpp0076301,7227.FBpp0076359,7227.FBpp0076407,7227.FBpp0076555,7227.FBpp0076918,7227.FBpp0077141,7227.FBpp0077142,7227.FBpp0077221,7227.FBpp0077537,7227.FBpp0077885,7227.FBpp0078371,7227.FBpp0078450,7227.FBpp0078490,7227.FBpp0078664,7227.FBpp0078893,7227.FBpp0078927,7227.FBpp0078996,7227.FBpp0079565,7227.FBpp0079606,7227.FBpp0079641,7227.FBpp0079746,7227.FBpp0079992,7227.FBpp0080051,7227.FBpp0080146,7227.FBpp0080405,7227.FBpp0080490,7227.FBpp0080967,7227.FBpp0081317,7227.FBpp0081380,7227.FBpp0081401,7227.FBpp0081460,7227.FBpp0081527,7227.FBpp0081725,7227.FBpp0081780,7227.FBpp0081851,7227.FBpp0081899,7227.FBpp0082062,7227.FBpp0082465,7227.FBpp0082476,7227.FBpp0082511,7227.FBpp0082521,7227.FBpp0082645,7227.FBpp0082818,7227.FBpp0083673,7227.FBpp0083683,7227.FBpp0083860,7227.FBpp0083891,7227.FBpp0083962,7227.FBpp0084585,7227.FBpp0084779,7227.FBpp0084831,7227.FBpp0084959,7227.FBpp0085480,7227.FBpp0085503,7227.FBpp0085585,7227.FBpp0085619,7227.FBpp0085703,7227.FBpp0085821,7227.FBpp0085855,7227.FBpp0086468,7227.FBpp0086603,7227.FBpp0086769,7227.FBpp0086895,7227.FBpp0086974,7227.FBpp0087186,7227.FBpp0087406,7227.FBpp0087605,7227.FBpp0087764,7227.FBpp0088015,7227.FBpp0088529,7227.FBpp0088833,7227.FBpp0088926,7227.FBpp0089196,7227.FBpp0091154,7227.FBpp0100178,7227.FBpp0110481,7227.FBpp0271716,7227.FBpp0271901,7227.FBpp0288463,7227.FBpp0289083,7227.FBpp0289184,7227.FBpp0289334,7227.FBpp0289447,7227.FBpp0289513,7227.FBpp0289639,7227.FBpp0290753,7227.FBpp0291653,7227.FBpp0297500,7227.FBpp0300203,7227.FBpp0300615,7227.FBpp0301731,7227.FBpp0302051,7227.FBpp0302939,7227.FBpp0305141,7227.FBpp0305216,7227.FBpp0306023	CG4406,deltaCOP,Rala,Torsin,CG5941,RpL7A,CG4586,Cp36,Hex-A,CG9344,LSm1,CG10306,mRpL43,l(2)not,Tal,tsr,cN-IIIB,zip,RpL19,GstE12,R,RpL8,RpL28,Yp3,ND-B18,RpL37a,Ahcy13,Tcp-1zeta,ND-20,Cyp1,Nipsnap,CG6891,asf1,SsRbeta,Arl1,POLD,fwe,vih,RpL10Ab,path,RpS17,Cp15,Cp16,RpL14,CG7927,lark,pen,mRpL27,RpL27A,Dot,Got2,mRpL15,Madm,CG11999,Ubc6,Rpn11,CG9547,CG11070,x16,me31B,RpS27A,Cdk1,dUTPase,CG5525,ND-B22,Arpc1,cni,Prosbeta4,RPA2,Mcm2,mRpS18A,Tcp-1eta,Aats-trp,RpL34b,Rrp46,Art1,Ugt35b,CG14715,Prosalpha2,RpS5b,smp-30,Caf1,Set,ND-23,CG17556,Dph5,T-cp1,Rpn9,Rab7,mRpS24,CG5590,ligatin,Bub3,RpL32,geminin,Tsp42Ea,RpS18,PCNA,FK506-bp2,CG15093,GstE6,Vha36-1,Rpn6,CG6543,bic,ox,wal,CG12896,CG1814,CG8258,U2A,Zasp66,mRpS11,Sam-S,chic,His4,mt:ATPase8,CG40045,Fis1,ND-B17.2,CG7394,CG5189,Arf79F,CG32441,GstT3,Eb1,Mapmodulin,Rtnl1,RpL30,ND-15,CG2118,RpS3A,lwr,Vps28,ND-B14.5B,Rpn8,Acsl,SrpRbeta
GO:0015934	large ribosomal subunit	14	109	0.96	5.28e-08	7227.FBpp0070877,7227.FBpp0071993,7227.FBpp0072312,7227.FBpp0072801,7227.FBpp0072957,7227.FBpp0073844,7227.FBpp0075764,7227.FBpp0076359,7227.FBpp0077141,7227.FBpp0077142,7227.FBpp0077885,7227.FBpp0081527,7227.FBpp0084959,7227.FBpp0291653	RpL7A,mRpL43,RpL19,RpL8,RpL28,RpL37a,RpL10Ab,RpL14,mRpL27,RpL27A,mRpL15,RpL34b,RpL32,RpL30
GO:0022625	cytosolic large ribosomal subunit	11	59	1.12	8.71e-08	7227.FBpp0070877,7227.FBpp0072312,7227.FBpp0072801,7227.FBpp0072957,7227.FBpp0073844,7227.FBpp0075764,7227.FBpp0076359,7227.FBpp0077142,7227.FBpp0081527,7227.FBpp0084959,7227.FBpp0291653	RpL7A,RpL19,RpL8,RpL28,RpL37a,RpL10Ab,RpL14,RpL27A,RpL34b,RpL32,RpL30
