#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
IPR002194	Chaperonin TCP-1, conserved site	5	8	1.64	0.00023	7227.FBpp0073902,7227.FBpp0079992,7227.FBpp0081401,7227.FBpp0083683,7227.FBpp0087764	Tcp-1zeta,CG5525,Tcp-1eta,T-cp1,CG8258
IPR017998	Chaperone tailless complex polypeptide 1 (TCP-1)	5	8	1.64	0.00023	7227.FBpp0073902,7227.FBpp0079992,7227.FBpp0081401,7227.FBpp0083683,7227.FBpp0087764	Tcp-1zeta,CG5525,Tcp-1eta,T-cp1,CG8258
IPR002423	Chaperonin Cpn60/TCP-1 family	5	13	1.43	0.00035	7227.FBpp0073902,7227.FBpp0079992,7227.FBpp0081401,7227.FBpp0083683,7227.FBpp0087764	Tcp-1zeta,CG5525,Tcp-1eta,T-cp1,CG8258
IPR027409	GroEL-like apical domain superfamily	5	13	1.43	0.00035	7227.FBpp0073902,7227.FBpp0079992,7227.FBpp0081401,7227.FBpp0083683,7227.FBpp0087764	Tcp-1zeta,CG5525,Tcp-1eta,T-cp1,CG8258
IPR027410	TCP-1-like chaperonin intermediate domain superfamily	5	12	1.47	0.00035	7227.FBpp0073902,7227.FBpp0079992,7227.FBpp0081401,7227.FBpp0083683,7227.FBpp0087764	Tcp-1zeta,CG5525,Tcp-1eta,T-cp1,CG8258
IPR027413	GroEL-like equatorial domain superfamily	5	12	1.47	0.00035	7227.FBpp0073902,7227.FBpp0079992,7227.FBpp0081401,7227.FBpp0083683,7227.FBpp0087764	Tcp-1zeta,CG5525,Tcp-1eta,T-cp1,CG8258
IPR011013	Galactose mutarotase-like domain superfamily	4	15	1.27	0.0067	7227.FBpp0076771,7227.FBpp0079343,7227.FBpp0079344,7227.FBpp0079346	CG10467,CG9468,CG9466,CG9463
IPR041147	Glycosyl hydrolases family 38, C-terminal beta sandwich domain	3	6	1.55	0.0102	7227.FBpp0079343,7227.FBpp0079344,7227.FBpp0079346	CG9468,CG9466,CG9463
IPR004038	Ribosomal protein L7Ae/L30e/S12e/Gadd45	3	7	1.48	0.0129	7227.FBpp0070877,7227.FBpp0075612,7227.FBpp0291653	RpL7A,RpS12,RpL30
IPR023313	Ubiquitin-conjugating enzyme, active site	4	20	1.15	0.0129	7227.FBpp0075690,7227.FBpp0078490,7227.FBpp0110481,7227.FBpp0301731	vih,Ubc6,CG40045,lwr
IPR000602	Glycoside hydrolase family 38, N-terminal domain	3	8	1.42	0.0143	7227.FBpp0079343,7227.FBpp0079344,7227.FBpp0079346	CG9468,CG9466,CG9463
