#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
dme03010	Ribosome	21	133	1.05	2.37e-13	7227.FBpp0070877,7227.FBpp0072312,7227.FBpp0072801,7227.FBpp0072957,7227.FBpp0073844,7227.FBpp0075612,7227.FBpp0075764,7227.FBpp0076207,7227.FBpp0076359,7227.FBpp0077141,7227.FBpp0077142,7227.FBpp0077885,7227.FBpp0079606,7227.FBpp0081380,7227.FBpp0081527,7227.FBpp0082465,7227.FBpp0084959,7227.FBpp0085585,7227.FBpp0088833,7227.FBpp0291653,7227.FBpp0300615	RpL7A,RpL19,RpL8,RpL28,RpL37a,RpS12,RpL10Ab,RpS17,RpL14,mRpL27,RpL27A,mRpL15,RpS27A,mRpS18A,RpL34b,RpS5b,RpL32,RpS18,mRpS11,RpL30,RpS3A
dme01100	Metabolic pathways	41	994	0.46	3.31e-08	7227.FBpp0070333,7227.FBpp0070963,7227.FBpp0071184,7227.FBpp0071296,7227.FBpp0072004,7227.FBpp0072050,7227.FBpp0072168,7227.FBpp0072455,7227.FBpp0073777,7227.FBpp0073847,7227.FBpp0073949,7227.FBpp0074425,7227.FBpp0075277,7227.FBpp0075629,7227.FBpp0076771,7227.FBpp0076826,7227.FBpp0077221,7227.FBpp0077537,7227.FBpp0078625,7227.FBpp0078893,7227.FBpp0079746,7227.FBpp0080051,7227.FBpp0081851,7227.FBpp0082645,7227.FBpp0084666,7227.FBpp0085821,7227.FBpp0086468,7227.FBpp0086628,7227.FBpp0086769,7227.FBpp0086974,7227.FBpp0087837,7227.FBpp0088926,7227.FBpp0100178,7227.FBpp0100182,7227.FBpp0110210,7227.FBpp0271901,7227.FBpp0291497,7227.FBpp0297500,7227.FBpp0300203,7227.FBpp0302939,7227.FBpp0305216	CG4406,CG4586,Sptr,Hex-A,l(2)not,Tal,cN-IIIB,Gale,ND-B18,Ahcy13,ND-20,CG7322,POLD,AdenoK,CG10467,Ppat-Dpck,Dot,Got2,DhpD,CG9547,dUTPase,ND-B22,Ugt35b,ND-23,Gfat2,CG15093,Vha36-1,CG10131,CG6543,ox,Mal-A3,Sam-S,mt:ATPase8,mt:ND5,Dhfr,ND-B17.2,PPO1,ND-15,CG2118,ND-B14.5B,Acsl
dme00190	Oxidative phosphorylation	11	140	0.74	0.00022	7227.FBpp0073777,7227.FBpp0073949,7227.FBpp0080051,7227.FBpp0082645,7227.FBpp0086468,7227.FBpp0086974,7227.FBpp0100178,7227.FBpp0100182,7227.FBpp0271901,7227.FBpp0297500,7227.FBpp0302939	ND-B18,ND-20,ND-B22,ND-23,Vha36-1,ox,mt:ATPase8,mt:ND5,ND-B17.2,ND-15,ND-B14.5B
dme03050	Proteasome	6	51	0.92	0.0025	7227.FBpp0078664,7227.FBpp0080490,7227.FBpp0082062,7227.FBpp0083860,7227.FBpp0086603,7227.FBpp0305141	Rpn11,Prosbeta4,Prosalpha2,Rpn9,Rpn6,Rpn8
dme00071	Fatty acid degradation	4	33	0.93	0.0248	7227.FBpp0070963,7227.FBpp0078893,7227.FBpp0086769,7227.FBpp0305216	CG4586,CG9547,CG6543,Acsl
dme03030	DNA replication	4	35	0.91	0.0252	7227.FBpp0075277,7227.FBpp0080967,7227.FBpp0081317,7227.FBpp0085619	POLD,RPA2,Mcm2,PCNA
dme00052	Galactose metabolism	4	37	0.88	0.0260	7227.FBpp0071296,7227.FBpp0072455,7227.FBpp0076771,7227.FBpp0087837	Hex-A,Gale,CG10467,Mal-A3
dme00980	Metabolism of xenobiotics by cytochrome P450	5	68	0.71	0.0279	7227.FBpp0072341,7227.FBpp0077221,7227.FBpp0081851,7227.FBpp0085855,7227.FBpp0289447	GstE12,Dot,Ugt35b,GstE6,GstT3
dme00982	Drug metabolism - cytochrome P450	5	67	0.72	0.0279	7227.FBpp0072341,7227.FBpp0077221,7227.FBpp0081851,7227.FBpp0085855,7227.FBpp0289447	GstE12,Dot,Ugt35b,GstE6,GstT3
dme00983	Drug metabolism - other enzymes	6	96	0.64	0.0279	7227.FBpp0072341,7227.FBpp0077221,7227.FBpp0079746,7227.FBpp0081851,7227.FBpp0085855,7227.FBpp0289447	GstE12,Dot,dUTPase,Ugt35b,GstE6,GstT3
dme03430	Mismatch repair	3	20	1.02	0.0279	7227.FBpp0075277,7227.FBpp0080967,7227.FBpp0085619	POLD,RPA2,PCNA
dme00511	Other glycan degradation	3	22	0.98	0.0298	7227.FBpp0079343,7227.FBpp0079344,7227.FBpp0079346	CG9468,CG9466,CG9463
dme00040	Pentose and glucuronate interconversions	4	50	0.75	0.0379	7227.FBpp0074425,7227.FBpp0077221,7227.FBpp0081851,7227.FBpp0086628	CG7322,Dot,Ugt35b,CG10131
