#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
KW-0687	Ribonucleoprotein	26	209	0.94	4.47e-14	7227.FBpp0070877,7227.FBpp0071449,7227.FBpp0071553,7227.FBpp0071993,7227.FBpp0072312,7227.FBpp0072801,7227.FBpp0072957,7227.FBpp0073844,7227.FBpp0075612,7227.FBpp0075764,7227.FBpp0076207,7227.FBpp0076359,7227.FBpp0077141,7227.FBpp0077142,7227.FBpp0077885,7227.FBpp0079606,7227.FBpp0081380,7227.FBpp0081527,7227.FBpp0082465,7227.FBpp0083962,7227.FBpp0084959,7227.FBpp0085585,7227.FBpp0088015,7227.FBpp0088833,7227.FBpp0291653,7227.FBpp0300615	RpL7A,CG9344,LSm1,mRpL43,RpL19,RpL8,RpL28,RpL37a,RpS12,RpL10Ab,RpS17,RpL14,mRpL27,RpL27A,mRpL15,RpS27A,mRpS18A,RpL34b,RpS5b,mRpS24,RpL32,RpS18,U2A,mRpS11,RpL30,RpS3A
KW-0689	Ribosomal protein	23	169	0.98	2.30e-13	7227.FBpp0070877,7227.FBpp0071993,7227.FBpp0072312,7227.FBpp0072801,7227.FBpp0072957,7227.FBpp0073844,7227.FBpp0075612,7227.FBpp0075764,7227.FBpp0076207,7227.FBpp0076359,7227.FBpp0077141,7227.FBpp0077142,7227.FBpp0077885,7227.FBpp0079606,7227.FBpp0081380,7227.FBpp0081527,7227.FBpp0082465,7227.FBpp0083962,7227.FBpp0084959,7227.FBpp0085585,7227.FBpp0088833,7227.FBpp0291653,7227.FBpp0300615	RpL7A,mRpL43,RpL19,RpL8,RpL28,RpL37a,RpS12,RpL10Ab,RpS17,RpL14,mRpL27,RpL27A,mRpL15,RpS27A,mRpS18A,RpL34b,RpS5b,mRpS24,RpL32,RpS18,mRpS11,RpL30,RpS3A
KW-0143	Chaperone	9	60	1.02	2.73e-05	7227.FBpp0070658,7227.FBpp0073902,7227.FBpp0074715,7227.FBpp0079992,7227.FBpp0081401,7227.FBpp0083683,7227.FBpp0085195,7227.FBpp0087764,7227.FBpp0288463	Torsin,Tcp-1zeta,asf1,CG5525,Tcp-1eta,T-cp1,CG1890,CG8258,CG7394
KW-0963	Cytoplasm	29	736	0.44	4.04e-05	7227.FBpp0070355,7227.FBpp0070832,7227.FBpp0071553,7227.FBpp0071587,7227.FBpp0072050,7227.FBpp0072097,7227.FBpp0072801,7227.FBpp0073902,7227.FBpp0074017,7227.FBpp0075690,7227.FBpp0076156,7227.FBpp0076555,7227.FBpp0078371,7227.FBpp0079565,7227.FBpp0079606,7227.FBpp0079992,7227.FBpp0080146,7227.FBpp0080490,7227.FBpp0081401,7227.FBpp0082062,7227.FBpp0083683,7227.FBpp0085195,7227.FBpp0085585,7227.FBpp0085703,7227.FBpp0087764,7227.FBpp0089196,7227.FBpp0289184,7227.FBpp0289639,7227.FBpp0300615	deltaCOP,CG5941,LSm1,CG10306,Tal,tsr,RpL8,Tcp-1zeta,Cyp1,vih,path,lark,Madm,me31B,RpS27A,CG5525,Arpc1,Prosbeta4,Tcp-1eta,Prosalpha2,T-cp1,CG1890,RpS18,FK506-bp2,CG8258,chic,Arf79F,Mapmodulin,RpS3A
KW-0830	Ubiquinone	8	49	1.06	4.07e-05	7227.FBpp0073777,7227.FBpp0073949,7227.FBpp0080051,7227.FBpp0082645,7227.FBpp0100182,7227.FBpp0271901,7227.FBpp0297500,7227.FBpp0302939	ND-B18,ND-20,ND-B22,ND-23,mt:ND5,ND-B17.2,ND-15,ND-B14.5B
KW-0547	Nucleotide-binding	25	717	0.39	0.0012	7227.FBpp0070558,7227.FBpp0070658,7227.FBpp0071296,7227.FBpp0072168,7227.FBpp0072306,7227.FBpp0072746,7227.FBpp0073902,7227.FBpp0074800,7227.FBpp0075272,7227.FBpp0075690,7227.FBpp0076270,7227.FBpp0078490,7227.FBpp0079565,7227.FBpp0079641,7227.FBpp0079992,7227.FBpp0081317,7227.FBpp0081401,7227.FBpp0081460,7227.FBpp0083683,7227.FBpp0087764,7227.FBpp0088926,7227.FBpp0110481,7227.FBpp0289184,7227.FBpp0300203,7227.FBpp0301731	Rala,Torsin,Hex-A,cN-IIIB,zip,R,Tcp-1zeta,CG10424,Arl1,vih,Argk,Ubc6,me31B,Cdk1,CG5525,Mcm2,Tcp-1eta,Aats-trp,T-cp1,CG8258,Sam-S,CG40045,Arf79F,CG2118,lwr
KW-0560	Oxidoreductase	21	563	0.42	0.0018	7227.FBpp0070963,7227.FBpp0071184,7227.FBpp0073777,7227.FBpp0073949,7227.FBpp0074425,7227.FBpp0078893,7227.FBpp0080051,7227.FBpp0082645,7227.FBpp0082932,7227.FBpp0085611,7227.FBpp0085821,7227.FBpp0086628,7227.FBpp0087186,7227.FBpp0087406,7227.FBpp0087744,7227.FBpp0088126,7227.FBpp0110210,7227.FBpp0271901,7227.FBpp0291497,7227.FBpp0297500,7227.FBpp0302939	CG4586,Sptr,ND-B18,ND-20,CG7322,CG9547,ND-B22,ND-23,Pxt,CG11200,CG15093,CG10131,wal,CG12896,PPO2,Cyp9b2,Dhfr,ND-B17.2,PPO1,ND-15,ND-B14.5B
KW-0647	Proteasome	6	45	0.97	0.0018	7227.FBpp0078664,7227.FBpp0080490,7227.FBpp0082062,7227.FBpp0083860,7227.FBpp0086603,7227.FBpp0305141	Rpn11,Prosbeta4,Prosalpha2,Rpn9,Rpn6,Rpn8
KW-0067	ATP-binding	20	572	0.39	0.0047	7227.FBpp0070658,7227.FBpp0071296,7227.FBpp0072306,7227.FBpp0073902,7227.FBpp0074800,7227.FBpp0075690,7227.FBpp0076270,7227.FBpp0078490,7227.FBpp0079565,7227.FBpp0079641,7227.FBpp0079992,7227.FBpp0081317,7227.FBpp0081401,7227.FBpp0081460,7227.FBpp0083683,7227.FBpp0087764,7227.FBpp0088926,7227.FBpp0110481,7227.FBpp0300203,7227.FBpp0301731	Torsin,Hex-A,zip,Tcp-1zeta,CG10424,vih,Argk,Ubc6,me31B,Cdk1,CG5525,Mcm2,Tcp-1eta,Aats-trp,T-cp1,CG8258,Sam-S,CG40045,CG2118,lwr
KW-0697	Rotamase	4	21	1.13	0.0065	7227.FBpp0071844,7227.FBpp0074017,7227.FBpp0081899,7227.FBpp0085703	CG2852,Cyp1,CG14715,FK506-bp2
