#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
CL:473	SRP-dependent cotranslational protein targeting to membrane	17	80	1.17	1.28e-11	7227.FBpp0070877,7227.FBpp0072312,7227.FBpp0072801,7227.FBpp0072957,7227.FBpp0073844,7227.FBpp0075612,7227.FBpp0075764,7227.FBpp0076207,7227.FBpp0076359,7227.FBpp0077142,7227.FBpp0079606,7227.FBpp0081527,7227.FBpp0082465,7227.FBpp0084959,7227.FBpp0085585,7227.FBpp0291653,7227.FBpp0300615	RpL7A,RpL19,RpL8,RpL28,RpL37a,RpS12,RpL10Ab,RpS17,RpL14,RpL27A,RpS27A,RpL34b,RpS5b,RpL32,RpS18,RpL30,RpS3A
CL:459	Cap-dependent Translation Initiation, and nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	21	170	0.94	3.76e-11	7227.FBpp0070832,7227.FBpp0070877,7227.FBpp0071587,7227.FBpp0072312,7227.FBpp0072801,7227.FBpp0072957,7227.FBpp0073844,7227.FBpp0075612,7227.FBpp0075764,7227.FBpp0076207,7227.FBpp0076359,7227.FBpp0077142,7227.FBpp0079606,7227.FBpp0081527,7227.FBpp0082465,7227.FBpp0084779,7227.FBpp0084959,7227.FBpp0085585,7227.FBpp0086895,7227.FBpp0291653,7227.FBpp0300615	CG5941,RpL7A,CG10306,RpL19,RpL8,RpL28,RpL37a,RpS12,RpL10Ab,RpS17,RpL14,RpL27A,RpS27A,RpL34b,RpS5b,ligatin,RpL32,RpS18,bic,RpL30,RpS3A
CL:475	SRP-dependent cotranslational protein targeting to membrane	15	74	1.15	1.38e-10	7227.FBpp0070877,7227.FBpp0072312,7227.FBpp0072801,7227.FBpp0072957,7227.FBpp0073844,7227.FBpp0075612,7227.FBpp0075764,7227.FBpp0076207,7227.FBpp0076359,7227.FBpp0077142,7227.FBpp0079606,7227.FBpp0081527,7227.FBpp0084959,7227.FBpp0085585,7227.FBpp0300615	RpL7A,RpL19,RpL8,RpL28,RpL37a,RpS12,RpL10Ab,RpS17,RpL14,RpL27A,RpS27A,RpL34b,RpL32,RpS18,RpS3A
CL:465	GTP hydrolysis and joining of the 60S ribosomal subunit	18	130	0.99	2.09e-10	7227.FBpp0070877,7227.FBpp0071587,7227.FBpp0072312,7227.FBpp0072801,7227.FBpp0072957,7227.FBpp0073844,7227.FBpp0075612,7227.FBpp0075764,7227.FBpp0076207,7227.FBpp0076359,7227.FBpp0077142,7227.FBpp0079606,7227.FBpp0081527,7227.FBpp0082465,7227.FBpp0084959,7227.FBpp0085585,7227.FBpp0291653,7227.FBpp0300615	RpL7A,CG10306,RpL19,RpL8,RpL28,RpL37a,RpS12,RpL10Ab,RpS17,RpL14,RpL27A,RpS27A,RpL34b,RpS5b,RpL32,RpS18,RpL30,RpS3A
CL:461	GTP hydrolysis and joining of the 60S ribosomal subunit, and nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	19	156	0.93	3.24e-10	7227.FBpp0070877,7227.FBpp0071587,7227.FBpp0072312,7227.FBpp0072801,7227.FBpp0072957,7227.FBpp0073844,7227.FBpp0075612,7227.FBpp0075764,7227.FBpp0076207,7227.FBpp0076359,7227.FBpp0077142,7227.FBpp0079606,7227.FBpp0081527,7227.FBpp0082465,7227.FBpp0084959,7227.FBpp0085585,7227.FBpp0086895,7227.FBpp0291653,7227.FBpp0300615	RpL7A,CG10306,RpL19,RpL8,RpL28,RpL37a,RpS12,RpL10Ab,RpS17,RpL14,RpL27A,RpS27A,RpL34b,RpS5b,RpL32,RpS18,bic,RpL30,RpS3A
CL:476	SRP-dependent cotranslational protein targeting to membrane	11	51	1.18	4.10e-08	7227.FBpp0070877,7227.FBpp0072312,7227.FBpp0072957,7227.FBpp0073844,7227.FBpp0075612,7227.FBpp0075764,7227.FBpp0076359,7227.FBpp0077142,7227.FBpp0079606,7227.FBpp0081527,7227.FBpp0084959	RpL7A,RpL19,RpL28,RpL37a,RpS12,RpL10Ab,RpL14,RpL27A,RpS27A,RpL34b,RpL32
CL:477	SRP-dependent cotranslational protein targeting to membrane	9	37	1.23	5.48e-07	7227.FBpp0070877,7227.FBpp0072312,7227.FBpp0072957,7227.FBpp0075612,7227.FBpp0075764,7227.FBpp0076359,7227.FBpp0077142,7227.FBpp0079606,7227.FBpp0084959	RpL7A,RpL19,RpL28,RpS12,RpL10Ab,RpL14,RpL27A,RpS27A,RpL32
CL:3407	chaperonin-containing T-complex	5	8	1.64	2.51e-05	7227.FBpp0073902,7227.FBpp0079992,7227.FBpp0081401,7227.FBpp0083683,7227.FBpp0087764	Tcp-1zeta,CG5525,Tcp-1eta,T-cp1,CG8258
CL:7868	respirasome, and Complex I biogenesis	10	101	0.84	0.00014	7227.FBpp0073777,7227.FBpp0073949,7227.FBpp0080051,7227.FBpp0082645,7227.FBpp0086974,7227.FBpp0100178,7227.FBpp0100182,7227.FBpp0271901,7227.FBpp0297500,7227.FBpp0302939	ND-B18,ND-20,ND-B22,ND-23,ox,mt:ATPase8,mt:ND5,ND-B17.2,ND-15,ND-B14.5B
CL:3504	Rotamase	4	6	1.67	0.00025	7227.FBpp0071844,7227.FBpp0074017,7227.FBpp0081899,7227.FBpp0085703	CG2852,Cyp1,CG14715,FK506-bp2
CL:7883	mitochondrial electron transport, NADH to ubiquinone	5	18	1.29	0.00046	7227.FBpp0073777,7227.FBpp0073949,7227.FBpp0080051,7227.FBpp0082645,7227.FBpp0271901	ND-B18,ND-20,ND-B22,ND-23,ND-B17.2
CL:7866	Oxidative phosphorylation, and mitochondrial proton-transporting ATP synthase complex	11	162	0.68	0.00098	7227.FBpp0073777,7227.FBpp0073949,7227.FBpp0080051,7227.FBpp0082645,7227.FBpp0086468,7227.FBpp0086974,7227.FBpp0100178,7227.FBpp0100182,7227.FBpp0271901,7227.FBpp0297500,7227.FBpp0302939	ND-B18,ND-20,ND-B22,ND-23,Vha36-1,ox,mt:ATPase8,mt:ND5,ND-B17.2,ND-15,ND-B14.5B
CL:7873	mitochondrial electron transport, NADH to ubiquinone, and NADH dehydrogenase 1 beta subcomplex subunit 2	6	38	1.05	0.00098	7227.FBpp0073777,7227.FBpp0073949,7227.FBpp0080051,7227.FBpp0082645,7227.FBpp0271901,7227.FBpp0297500	ND-B18,ND-20,ND-B22,ND-23,ND-B17.2,ND-15
CL:478	SRP-dependent cotranslational protein targeting to membrane	5	24	1.17	0.0012	7227.FBpp0070877,7227.FBpp0072312,7227.FBpp0072957,7227.FBpp0075612,7227.FBpp0084959	RpL7A,RpL19,RpL28,RpS12,RpL32
CL:7869	mitochondrial respirasome, and Complex I biogenesis	8	87	0.81	0.0013	7227.FBpp0073777,7227.FBpp0073949,7227.FBpp0080051,7227.FBpp0082645,7227.FBpp0086974,7227.FBpp0271901,7227.FBpp0297500,7227.FBpp0302939	ND-B18,ND-20,ND-B22,ND-23,ox,ND-B17.2,ND-15,ND-B14.5B
CL:7870	mitochondrial respiratory chain complex I, and Complex I biogenesis	7	62	0.9	0.0013	7227.FBpp0073777,7227.FBpp0073949,7227.FBpp0080051,7227.FBpp0082645,7227.FBpp0271901,7227.FBpp0297500,7227.FBpp0302939	ND-B18,ND-20,ND-B22,ND-23,ND-B17.2,ND-15,ND-B14.5B
CL:525	SRP-dependent cotranslational protein targeting to membrane	4	13	1.34	0.0017	7227.FBpp0075764,7227.FBpp0076359,7227.FBpp0077142,7227.FBpp0079606	RpL10Ab,RpL14,RpL27A,RpS27A
CL:5848	Degradation of CLK	5	29	1.08	0.0020	7227.FBpp0078664,7227.FBpp0082062,7227.FBpp0083860,7227.FBpp0086603,7227.FBpp0305141	Rpn11,Prosalpha2,Rpn9,Rpn6,Rpn8
CL:21439	chorion, and Chorion S36/S38	5	31	1.05	0.0026	7227.FBpp0071150,7227.FBpp0072780,7227.FBpp0076299,7227.FBpp0076301,7227.FBpp0289676	Cp36,yellow-g,Cp15,Cp16,Cp38
CL:5837	Cross-presentation of soluble exogenous antigens (endosomes)	6	54	0.89	0.0033	7227.FBpp0078664,7227.FBpp0080490,7227.FBpp0082062,7227.FBpp0083860,7227.FBpp0086603,7227.FBpp0305141	Rpn11,Prosbeta4,Prosalpha2,Rpn9,Rpn6,Rpn8
CL:5850	Degradation of CLK	4	17	1.22	0.0033	7227.FBpp0078664,7227.FBpp0083860,7227.FBpp0086603,7227.FBpp0305141	Rpn11,Rpn9,Rpn6,Rpn8
CL:21477	mixed, incl. Chorion S36/S38, and Protein of unknown function DUF4744	3	6	1.55	0.0035	7227.FBpp0071150,7227.FBpp0072780,7227.FBpp0289676	Cp36,yellow-g,Cp38
CL:608	mixed, incl. Ribosomal_L31e, and Ribosomal protein S13	3	6	1.55	0.0035	7227.FBpp0072801,7227.FBpp0085585,7227.FBpp0300615	RpL8,RpS18,RpS3A
CL:578	cytosolic small ribosomal subunit, and cytosolic large ribosomal subunit	4	21	1.13	0.0053	7227.FBpp0072801,7227.FBpp0076207,7227.FBpp0085585,7227.FBpp0300615	RpL8,RpS17,RpS18,RpS3A
CL:809	Mitochondrial translation elongation	5	43	0.91	0.0070	7227.FBpp0071993,7227.FBpp0077141,7227.FBpp0077885,7227.FBpp0081380,7227.FBpp0088833	mRpL43,mRpL27,mRpL15,mRpS18A,mRpS11
CL:3100	mixed, incl. Protein processing in endoplasmic reticulum, and unfolded protein binding	10	195	0.56	0.0080	7227.FBpp0072004,7227.FBpp0073902,7227.FBpp0075209,7227.FBpp0078450,7227.FBpp0079992,7227.FBpp0081401,7227.FBpp0083683,7227.FBpp0087764,7227.FBpp0296963,7227.FBpp0306023	l(2)not,Tcp-1zeta,SsRbeta,CG11999,CG5525,Tcp-1eta,T-cp1,CG8258,Sgt,SrpRbeta
CL:5851	proteasome regulatory particle, lid subcomplex, and proteasome regulatory particle, base subcomplex	3	11	1.28	0.0105	7227.FBpp0078664,7227.FBpp0083860,7227.FBpp0305141	Rpn11,Rpn9,Rpn8
CL:7885	mitochondrial electron transport, NADH to ubiquinone	3	11	1.28	0.0105	7227.FBpp0073777,7227.FBpp0080051,7227.FBpp0271901	ND-B18,ND-B22,ND-B17.2
CL:4625	mixed, incl. DNA replication, and Fanconi anemia pathway	8	138	0.61	0.0114	7227.FBpp0074715,7227.FBpp0075277,7227.FBpp0080967,7227.FBpp0081317,7227.FBpp0085480,7227.FBpp0085619,7227.FBpp0289334,7227.FBpp0301016	asf1,POLD,RPA2,Mcm2,geminin,PCNA,CG32441,CG8223
CL:801	Mitochondrial translation	6	76	0.74	0.0114	7227.FBpp0071993,7227.FBpp0077141,7227.FBpp0077885,7227.FBpp0081380,7227.FBpp0083962,7227.FBpp0088833	mRpL43,mRpL27,mRpL15,mRpS18A,mRpS24,mRpS11
CL:812	Mitochondrial translation elongation	4	31	0.96	0.0144	7227.FBpp0071993,7227.FBpp0077141,7227.FBpp0077885,7227.FBpp0088833	mRpL43,mRpL27,mRpL15,mRpS11
CL:4629	Activation of the pre-replicative complex, and DNA strand elongation	5	55	0.81	0.0151	7227.FBpp0075277,7227.FBpp0081317,7227.FBpp0085480,7227.FBpp0085619,7227.FBpp0301016	POLD,Mcm2,geminin,PCNA,CG8223
CL:7580	peroxisome, and Fatty acid degradation	6	83	0.71	0.0154	7227.FBpp0070963,7227.FBpp0078893,7227.FBpp0084585,7227.FBpp0086769,7227.FBpp0087186,7227.FBpp0305216	CG4586,CG9547,CG5590,CG6543,wal,Acsl
CL:4624	mixed, incl. DNA replication, and sister chromatid segregation	9	188	0.53	0.0174	7227.FBpp0074715,7227.FBpp0075277,7227.FBpp0079641,7227.FBpp0080967,7227.FBpp0081317,7227.FBpp0085480,7227.FBpp0085619,7227.FBpp0289334,7227.FBpp0301016	asf1,POLD,Cdk1,RPA2,Mcm2,geminin,PCNA,CG32441,CG8223
CL:3101	mixed, incl. Protein processing in endoplasmic reticulum, and unfolded protein binding	9	190	0.52	0.0183	7227.FBpp0072004,7227.FBpp0073902,7227.FBpp0075209,7227.FBpp0078450,7227.FBpp0079992,7227.FBpp0081401,7227.FBpp0083683,7227.FBpp0087764,7227.FBpp0306023	l(2)not,Tcp-1zeta,SsRbeta,CG11999,CG5525,Tcp-1eta,T-cp1,CG8258,SrpRbeta
CL:4626	mixed, incl. DNA replication, and Fanconi anemia pathway	7	132	0.57	0.0278	7227.FBpp0075277,7227.FBpp0080967,7227.FBpp0081317,7227.FBpp0085480,7227.FBpp0085619,7227.FBpp0289334,7227.FBpp0301016	POLD,RPA2,Mcm2,geminin,PCNA,CG32441,CG8223
CL:6297	mixed, incl. nucleobase-containing small molecule biosynthetic process, and Amino sugar and nucleotide sugar metabolism	8	171	0.52	0.0299	7227.FBpp0071296,7227.FBpp0072050,7227.FBpp0072168,7227.FBpp0072455,7227.FBpp0074402,7227.FBpp0075629,7227.FBpp0079746,7227.FBpp0084666	Hex-A,Tal,cN-IIIB,Gale,CG6891,AdenoK,dUTPase,Gfat2
CL:21683	catechol oxidase activity, and regulation of melanization defense response	2	5	1.45	0.0309	7227.FBpp0087744,7227.FBpp0291497	PPO2,PPO1
CL:22572	Sulfation, and retinol binding	2	5	1.45	0.0309	7227.FBpp0071354,7227.FBpp0073652	Yp1,Yp3
CL:5852	mixed, incl. Rpn11/EIF3F, C-terminal, and Proteasome subunit beta 4	2	6	1.37	0.0387	7227.FBpp0078664,7227.FBpp0305141	Rpn11,Rpn8
CL:787	Uncharacterised domain CHP00451, and Hypusine synthesis from eIF5A-lysine	2	6	1.37	0.0387	7227.FBpp0070832,7227.FBpp0084779	CG5941,ligatin
CL:7886	mixed, incl. acyl binding, and Zinc-finger domain	2	6	1.37	0.0387	7227.FBpp0080051,7227.FBpp0271901	ND-B22,ND-B17.2
CL:4627	DNA replication, and Fanconi anemia pathway	6	113	0.57	0.0468	7227.FBpp0075277,7227.FBpp0080967,7227.FBpp0081317,7227.FBpp0085480,7227.FBpp0085619,7227.FBpp0301016	POLD,RPA2,Mcm2,geminin,PCNA,CG8223
CL:9412	mixed, incl. Guanine nucleotide exchange factor for Ras-like GTPases, and Ras-related protein Rap1	2	7	1.3	0.0468	7227.FBpp0070558,7227.FBpp0072746	Rala,R
