#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
PMID:29316439	(2018) Ribosomal Protein S12e Has a Distinct Function in Cell Competition.	7	23	1.33	0.0020	7227.FBpp0072312,7227.FBpp0075612,7227.FBpp0075764,7227.FBpp0076207,7227.FBpp0077142,7227.FBpp0085585,7227.FBpp0291653	RpL19,RpS12,RpL10Ab,RpS17,RpL27A,RpS18,RpL30
PMID:27485005	(2016) A proteomics approach reveals molecular manipulators of distinct cellular processes in the salivary glands of Glossina m. morsitans in response to Trypanosoma b. brucei infections.	8	38	1.17	0.0020	7227.FBpp0070558,7227.FBpp0076270,7227.FBpp0077537,7227.FBpp0078490,7227.FBpp0079606,7227.FBpp0079992,7227.FBpp0083683,7227.FBpp0291497	Rala,Argk,Got2,Ubc6,RpS27A,CG5525,T-cp1,PPO1
PMID:23637632	(2013) Identification of a tissue-selective heat shock response regulatory network.	7	22	1.35	0.0020	7227.FBpp0073902,7227.FBpp0078664,7227.FBpp0079992,7227.FBpp0081401,7227.FBpp0086603,7227.FBpp0087764,7227.FBpp0305141	Tcp-1zeta,Rpn11,CG5525,Tcp-1eta,Rpn6,CG8258,Rpn8
PMID:24002365	(2013) Reduced insulininsulin-like growth factor-1 signaling and dietary restriction inhibit translation but preserve muscle mass in Caenorhabditis elegans.	6	18	1.37	0.0034	7227.FBpp0071354,7227.FBpp0072306,7227.FBpp0073652,7227.FBpp0085821,7227.FBpp0088926,7227.FBpp0089196	Yp1,zip,Yp3,CG15093,Sam-S,chic
PMID:27973446	(2016) RNA Interference in Insect Vectors for Plant Viruses.	8	51	1.04	0.0055	7227.FBpp0070963,7227.FBpp0071354,7227.FBpp0073652,7227.FBpp0076270,7227.FBpp0082465,7227.FBpp0086879,7227.FBpp0289676,7227.FBpp0291497	CG4586,Yp1,Yp3,Argk,RpS5b,AQP,Cp38,PPO1
PMID:22049023	(2012) Analysis of model replication origins in Drosophila reveals new aspects of the chromatin landscape and its relationship to origin activity and the prereplicative complex.	6	21	1.3	0.0055	7227.FBpp0071150,7227.FBpp0076299,7227.FBpp0079641,7227.FBpp0085480,7227.FBpp0091154,7227.FBpp0289676	Cp36,Cp15,Cdk1,geminin,His4,Cp38
PMID:27242895	(2016) Functions of Ubiquitin and SUMO in DNA Replication and Replication Stress.	8	54	1.02	0.0058	7227.FBpp0074715,7227.FBpp0075277,7227.FBpp0075690,7227.FBpp0078490,7227.FBpp0079641,7227.FBpp0081317,7227.FBpp0085480,7227.FBpp0301731	asf1,POLD,vih,Ubc6,Cdk1,Mcm2,geminin,lwr
PMID:29357069	(2017) Regulation of Mammalian DNA Replication via the Ubiquitin-Proteasome System.	7	39	1.1	0.0071	7227.FBpp0075277,7227.FBpp0078490,7227.FBpp0079641,7227.FBpp0081317,7227.FBpp0085480,7227.FBpp0088363,7227.FBpp0091154	POLD,Ubc6,Cdk1,Mcm2,geminin,Lsp2,His4
PMID:28826469	(2017) Regulation of life span by the gut microbiota in the short-lived African turquoise killifish.	5	13	1.43	0.0075	7227.FBpp0070877,7227.FBpp0072801,7227.FBpp0073844,7227.FBpp0076359,7227.FBpp0300615	RpL7A,RpL8,RpL37a,RpL14,RpS3A
PMID:19463195	(2009) Gene expression during Drosophila melanogaster egg development before and after reproductive diapause.	6	27	1.19	0.0101	7227.FBpp0071150,7227.FBpp0071354,7227.FBpp0073652,7227.FBpp0076299,7227.FBpp0076301,7227.FBpp0289676	Cp36,Yp1,Yp3,Cp15,Cp16,Cp38
