#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
PF00118	TCP-1/cpn60 chaperonin family	5	13	1.43	0.00078	7227.FBpp0073902,7227.FBpp0079992,7227.FBpp0081401,7227.FBpp0083683,7227.FBpp0087764	Tcp-1zeta,CG5525,Tcp-1eta,T-cp1,CG8258
PF00025	ADP-ribosylation factor family	6	81	0.72	0.0312	7227.FBpp0070558,7227.FBpp0072746,7227.FBpp0075272,7227.FBpp0083891,7227.FBpp0289184,7227.FBpp0306023	Rala,R,Arl1,Rab7,Arf79F,SrpRbeta
PF00106	short chain dehydrogenase	5	58	0.78	0.0312	7227.FBpp0071184,7227.FBpp0072455,7227.FBpp0074425,7227.FBpp0084585,7227.FBpp0085611	Sptr,Gale,CG7322,CG5590,CG11200
PF00179	Ubiquitin-conjugating enzyme	4	32	0.94	0.0312	7227.FBpp0075690,7227.FBpp0078490,7227.FBpp0110481,7227.FBpp0301731	vih,Ubc6,CG40045,lwr
PF00264	Common central domain of tyrosinase	2	3	1.67	0.0312	7227.FBpp0087744,7227.FBpp0291497	PPO2,PPO1
PF00372	Hemocyanin, copper containing domain	3	8	1.42	0.0312	7227.FBpp0087744,7227.FBpp0088363,7227.FBpp0291497	PPO2,Lsp2,PPO1
PF00828	Ribosomal proteins 50S-L15, 50S-L18e, 60S-L27A	2	2	1.85	0.0312	7227.FBpp0077142,7227.FBpp0077885	RpL27A,mRpL15
PF01074	Glycosyl hydrolases family 38 N-terminal domain	3	8	1.42	0.0312	7227.FBpp0079343,7227.FBpp0079344,7227.FBpp0079346	CG9468,CG9466,CG9463
PF01248	Ribosomal protein L7Ae/L30e/S12e/Gadd45 family	3	7	1.48	0.0312	7227.FBpp0070877,7227.FBpp0075612,7227.FBpp0291653	RpL7A,RpS12,RpL30
PF03722	Hemocyanin, all-alpha domain	3	10	1.32	0.0312	7227.FBpp0087744,7227.FBpp0088363,7227.FBpp0291497	PPO2,Lsp2,PPO1
PF03723	Hemocyanin, ig-like domain	3	10	1.32	0.0312	7227.FBpp0087744,7227.FBpp0088363,7227.FBpp0291497	PPO2,Lsp2,PPO1
PF05387	Chorion family 3	2	2	1.85	0.0312	7227.FBpp0071150,7227.FBpp0289676	Cp36,Cp38
PF07748	Glycosyl hydrolases family 38 C-terminal domain	3	8	1.42	0.0312	7227.FBpp0079343,7227.FBpp0079344,7227.FBpp0079346	CG9468,CG9466,CG9463
PF09261	Alpha mannosidase middle domain	3	8	1.42	0.0312	7227.FBpp0079343,7227.FBpp0079344,7227.FBpp0079346	CG9468,CG9466,CG9463
