#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
DME-392499	Metabolism of proteins	47	927	0.55	1.68e-11	7227.FBpp0070355,7227.FBpp0070877,7227.FBpp0071587,7227.FBpp0071993,7227.FBpp0072004,7227.FBpp0072312,7227.FBpp0072801,7227.FBpp0072957,7227.FBpp0073844,7227.FBpp0073902,7227.FBpp0075612,7227.FBpp0075690,7227.FBpp0075764,7227.FBpp0076359,7227.FBpp0077141,7227.FBpp0077142,7227.FBpp0077885,7227.FBpp0078490,7227.FBpp0078664,7227.FBpp0079606,7227.FBpp0079992,7227.FBpp0080405,7227.FBpp0080490,7227.FBpp0081380,7227.FBpp0081401,7227.FBpp0081527,7227.FBpp0082062,7227.FBpp0082465,7227.FBpp0082511,7227.FBpp0083673,7227.FBpp0083683,7227.FBpp0083860,7227.FBpp0083891,7227.FBpp0083962,7227.FBpp0084666,7227.FBpp0084959,7227.FBpp0085585,7227.FBpp0086603,7227.FBpp0087764,7227.FBpp0088833,7227.FBpp0091154,7227.FBpp0110481,7227.FBpp0291653,7227.FBpp0300203,7227.FBpp0300615,7227.FBpp0301731,7227.FBpp0305141	deltaCOP,RpL7A,CG10306,mRpL43,l(2)not,RpL19,RpL8,RpL28,RpL37a,Tcp-1zeta,RpS12,vih,RpL10Ab,RpL14,mRpL27,RpL27A,mRpL15,Ubc6,Rpn11,RpS27A,CG5525,cni,Prosbeta4,mRpS18A,Tcp-1eta,RpL34b,Prosalpha2,RpS5b,Caf1,Dph5,T-cp1,Rpn9,Rab7,mRpS24,Gfat2,RpL32,RpS18,Rpn6,CG8258,mRpS11,His4,CG40045,RpL30,CG2118,RpS3A,lwr,Rpn8
DME-72766	Translation	23	209	0.89	4.17e-11	7227.FBpp0070877,7227.FBpp0071587,7227.FBpp0071993,7227.FBpp0072312,7227.FBpp0072801,7227.FBpp0072957,7227.FBpp0073844,7227.FBpp0075612,7227.FBpp0075764,7227.FBpp0076359,7227.FBpp0077141,7227.FBpp0077142,7227.FBpp0077885,7227.FBpp0079606,7227.FBpp0081380,7227.FBpp0081527,7227.FBpp0082465,7227.FBpp0083962,7227.FBpp0084959,7227.FBpp0085585,7227.FBpp0088833,7227.FBpp0291653,7227.FBpp0300615	RpL7A,CG10306,mRpL43,RpL19,RpL8,RpL28,RpL37a,RpS12,RpL10Ab,RpL14,mRpL27,RpL27A,mRpL15,RpS27A,mRpS18A,RpL34b,RpS5b,mRpS24,RpL32,RpS18,mRpS11,RpL30,RpS3A
DME-72689	Formation of a pool of free 40S subunits	17	101	1.07	1.07e-10	7227.FBpp0070877,7227.FBpp0071587,7227.FBpp0072312,7227.FBpp0072801,7227.FBpp0072957,7227.FBpp0073844,7227.FBpp0075612,7227.FBpp0075764,7227.FBpp0076359,7227.FBpp0077142,7227.FBpp0079606,7227.FBpp0081527,7227.FBpp0082465,7227.FBpp0084959,7227.FBpp0085585,7227.FBpp0291653,7227.FBpp0300615	RpL7A,CG10306,RpL19,RpL8,RpL28,RpL37a,RpS12,RpL10Ab,RpL14,RpL27A,RpS27A,RpL34b,RpS5b,RpL32,RpS18,RpL30,RpS3A
DME-1799339	SRP-dependent cotranslational protein targeting to membrane	16	90	1.1	1.87e-10	7227.FBpp0070877,7227.FBpp0072312,7227.FBpp0072801,7227.FBpp0072957,7227.FBpp0073844,7227.FBpp0075612,7227.FBpp0075764,7227.FBpp0076359,7227.FBpp0077142,7227.FBpp0079606,7227.FBpp0081527,7227.FBpp0082465,7227.FBpp0084959,7227.FBpp0085585,7227.FBpp0291653,7227.FBpp0300615	RpL7A,RpL19,RpL8,RpL28,RpL37a,RpS12,RpL10Ab,RpL14,RpL27A,RpS27A,RpL34b,RpS5b,RpL32,RpS18,RpL30,RpS3A
DME-975956	Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)	16	91	1.09	1.87e-10	7227.FBpp0070877,7227.FBpp0072312,7227.FBpp0072801,7227.FBpp0072957,7227.FBpp0073844,7227.FBpp0075612,7227.FBpp0075764,7227.FBpp0076359,7227.FBpp0077142,7227.FBpp0079606,7227.FBpp0081527,7227.FBpp0082465,7227.FBpp0084959,7227.FBpp0085585,7227.FBpp0291653,7227.FBpp0300615	RpL7A,RpL19,RpL8,RpL28,RpL37a,RpS12,RpL10Ab,RpL14,RpL27A,RpS27A,RpL34b,RpS5b,RpL32,RpS18,RpL30,RpS3A
DME-156827	L13a-mediated translational silencing of Ceruloplasmin expression	17	116	1.01	3.92e-10	7227.FBpp0070877,7227.FBpp0071587,7227.FBpp0072312,7227.FBpp0072801,7227.FBpp0072957,7227.FBpp0073844,7227.FBpp0075612,7227.FBpp0075764,7227.FBpp0076359,7227.FBpp0077142,7227.FBpp0079606,7227.FBpp0081527,7227.FBpp0082465,7227.FBpp0084959,7227.FBpp0085585,7227.FBpp0291653,7227.FBpp0300615	RpL7A,CG10306,RpL19,RpL8,RpL28,RpL37a,RpS12,RpL10Ab,RpL14,RpL27A,RpS27A,RpL34b,RpS5b,RpL32,RpS18,RpL30,RpS3A
DME-72706	GTP hydrolysis and joining of the 60S ribosomal subunit	17	118	1.01	4.30e-10	7227.FBpp0070877,7227.FBpp0071587,7227.FBpp0072312,7227.FBpp0072801,7227.FBpp0072957,7227.FBpp0073844,7227.FBpp0075612,7227.FBpp0075764,7227.FBpp0076359,7227.FBpp0077142,7227.FBpp0079606,7227.FBpp0081527,7227.FBpp0082465,7227.FBpp0084959,7227.FBpp0085585,7227.FBpp0291653,7227.FBpp0300615	RpL7A,CG10306,RpL19,RpL8,RpL28,RpL37a,RpS12,RpL10Ab,RpL14,RpL27A,RpS27A,RpL34b,RpS5b,RpL32,RpS18,RpL30,RpS3A
DME-975957	Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)	16	102	1.04	5.10e-10	7227.FBpp0070877,7227.FBpp0072312,7227.FBpp0072801,7227.FBpp0072957,7227.FBpp0073844,7227.FBpp0075612,7227.FBpp0075764,7227.FBpp0076359,7227.FBpp0077142,7227.FBpp0079606,7227.FBpp0081527,7227.FBpp0082465,7227.FBpp0084959,7227.FBpp0085585,7227.FBpp0291653,7227.FBpp0300615	RpL7A,RpL19,RpL8,RpL28,RpL37a,RpS12,RpL10Ab,RpL14,RpL27A,RpS27A,RpL34b,RpS5b,RpL32,RpS18,RpL30,RpS3A
DME-8953854	Metabolism of RNA	29	487	0.62	6.73e-09	7227.FBpp0070877,7227.FBpp0071449,7227.FBpp0071553,7227.FBpp0072168,7227.FBpp0072312,7227.FBpp0072801,7227.FBpp0072957,7227.FBpp0073844,7227.FBpp0075612,7227.FBpp0075764,7227.FBpp0076359,7227.FBpp0077142,7227.FBpp0078664,7227.FBpp0078996,7227.FBpp0079565,7227.FBpp0079606,7227.FBpp0080490,7227.FBpp0081527,7227.FBpp0081725,7227.FBpp0082062,7227.FBpp0082465,7227.FBpp0083860,7227.FBpp0084959,7227.FBpp0085585,7227.FBpp0086603,7227.FBpp0088015,7227.FBpp0291653,7227.FBpp0300615,7227.FBpp0305141	RpL7A,CG9344,LSm1,cN-IIIB,RpL19,RpL8,RpL28,RpL37a,RpS12,RpL10Ab,RpL14,RpL27A,Rpn11,x16,me31B,RpS27A,Prosbeta4,RpL34b,Rrp46,Prosalpha2,RpS5b,Rpn9,RpL32,RpS18,Rpn6,U2A,RpL30,RpS3A,Rpn8
DME-1430728	Metabolism	42	1053	0.45	5.71e-08	7227.FBpp0070963,7227.FBpp0071184,7227.FBpp0071296,7227.FBpp0072050,7227.FBpp0072168,7227.FBpp0072455,7227.FBpp0072746,7227.FBpp0073777,7227.FBpp0073806,7227.FBpp0073847,7227.FBpp0073949,7227.FBpp0074425,7227.FBpp0074800,7227.FBpp0075629,7227.FBpp0076270,7227.FBpp0076623,7227.FBpp0076826,7227.FBpp0077537,7227.FBpp0078625,7227.FBpp0078893,7227.FBpp0079343,7227.FBpp0079344,7227.FBpp0079346,7227.FBpp0079746,7227.FBpp0080051,7227.FBpp0082645,7227.FBpp0083686,7227.FBpp0085821,7227.FBpp0086628,7227.FBpp0086769,7227.FBpp0086974,7227.FBpp0087186,7227.FBpp0088126,7227.FBpp0088926,7227.FBpp0100182,7227.FBpp0110210,7227.FBpp0271901,7227.FBpp0289184,7227.FBpp0289447,7227.FBpp0300203,7227.FBpp0301731,7227.FBpp0305216	CG4586,Sptr,Hex-A,Tal,cN-IIIB,Gale,R,ND-B18,CG14407,Ahcy13,ND-20,CG7322,CG10424,AdenoK,Argk,CG8628,Ppat-Dpck,Got2,DhpD,CG9547,CG9468,CG9466,CG9463,dUTPase,ND-B22,ND-23,CG5377,CG15093,CG10131,CG6543,ox,wal,Cyp9b2,Sam-S,mt:ND5,Dhfr,ND-B17.2,Arf79F,GstT3,CG2118,lwr,Acsl
