#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0015629	actin cytoskeleton	10	98	1.18	5.34e-07	7227.FBpp0071448,7227.FBpp0072306,7227.FBpp0073682,7227.FBpp0074298,7227.FBpp0076320,7227.FBpp0080452,7227.FBpp0082535,7227.FBpp0084565,7227.FBpp0088904,7227.FBpp0089196	Act57B,zip,up,wupA,Prm,Mhc,Tm2,Mlc1,Tm1,chic
GO:0043292	contractile fiber	8	59	1.3	1.50e-06	7227.FBpp0072306,7227.FBpp0073682,7227.FBpp0074298,7227.FBpp0080452,7227.FBpp0082535,7227.FBpp0084565,7227.FBpp0088904,7227.FBpp0297625	zip,up,wupA,Mhc,Tm2,Mlc1,Tm1,tmod
GO:0030016	myofibril	7	54	1.28	1.11e-05	7227.FBpp0072306,7227.FBpp0073682,7227.FBpp0074298,7227.FBpp0080452,7227.FBpp0082535,7227.FBpp0088904,7227.FBpp0297625	zip,up,wupA,Mhc,Tm2,Tm1,tmod
GO:0005865	striated muscle thin filament	4	7	1.93	3.18e-05	7227.FBpp0073682,7227.FBpp0074298,7227.FBpp0082535,7227.FBpp0088904	up,wupA,Tm2,Tm1
GO:0099512	supramolecular fiber	9	140	0.98	3.18e-05	7227.FBpp0071448,7227.FBpp0072306,7227.FBpp0073682,7227.FBpp0074298,7227.FBpp0080452,7227.FBpp0082535,7227.FBpp0084565,7227.FBpp0088904,7227.FBpp0297625	Act57B,zip,up,wupA,Mhc,Tm2,Mlc1,Tm1,tmod
GO:0030017	sarcomere	6	50	1.25	4.48e-05	7227.FBpp0072306,7227.FBpp0073682,7227.FBpp0074298,7227.FBpp0080452,7227.FBpp0082535,7227.FBpp0088904	zip,up,wupA,Mhc,Tm2,Tm1
GO:0044391	ribosomal subunit	9	179	0.87	9.71e-05	7227.FBpp0074180,7227.FBpp0076207,7227.FBpp0077141,7227.FBpp0081527,7227.FBpp0082465,7227.FBpp0084959,7227.FBpp0088833,7227.FBpp0291653,7227.FBpp0291726	RpS5a,RpS17,mRpL27,RpL34b,RpS5b,RpL32,mRpS11,RpL30,RpL37A
GO:0032991	protein-containing complex	36	2565	0.32	0.00010	7227.FBpp0070333,7227.FBpp0071449,7227.FBpp0072306,7227.FBpp0072365,7227.FBpp0073484,7227.FBpp0073682,7227.FBpp0073777,7227.FBpp0074180,7227.FBpp0074298,7227.FBpp0074584,7227.FBpp0075348,7227.FBpp0075690,7227.FBpp0076207,7227.FBpp0076320,7227.FBpp0077141,7227.FBpp0078490,7227.FBpp0078664,7227.FBpp0079795,7227.FBpp0080051,7227.FBpp0080452,7227.FBpp0081527,7227.FBpp0081725,7227.FBpp0082465,7227.FBpp0083126,7227.FBpp0084565,7227.FBpp0084959,7227.FBpp0086666,7227.FBpp0086974,7227.FBpp0088363,7227.FBpp0088833,7227.FBpp0088904,7227.FBpp0099767,7227.FBpp0100178,7227.FBpp0271901,7227.FBpp0291653,7227.FBpp0291726	CG4406,CG9344,zip,Lsp1gamma,Lsp1alpha,up,ND-B18,RpS5a,wupA,COX6B,mrn,vih,RpS17,Prm,mRpL27,Ubc6,Rpn11,cana,ND-B22,Mhc,RpL34b,Rrp46,RpS5b,NP15.6,Mlc1,RpL32,Mdr50,ox,Lsp2,mRpS11,Tm1,rdx,mt:ATPase8,ND-B17.2,RpL30,RpL37A
GO:0005737	cytoplasm	45	3684	0.26	0.00012	7227.FBpp0070333,7227.FBpp0071449,7227.FBpp0072306,7227.FBpp0073682,7227.FBpp0073777,7227.FBpp0073847,7227.FBpp0074180,7227.FBpp0074298,7227.FBpp0074584,7227.FBpp0075272,7227.FBpp0075690,7227.FBpp0076207,7227.FBpp0076555,7227.FBpp0077141,7227.FBpp0078490,7227.FBpp0080051,7227.FBpp0080446,7227.FBpp0080452,7227.FBpp0081527,7227.FBpp0081725,7227.FBpp0082079,7227.FBpp0082465,7227.FBpp0082476,7227.FBpp0082535,7227.FBpp0083126,7227.FBpp0084565,7227.FBpp0084959,7227.FBpp0085855,7227.FBpp0086772,7227.FBpp0086974,7227.FBpp0087406,7227.FBpp0088121,7227.FBpp0088833,7227.FBpp0088904,7227.FBpp0089196,7227.FBpp0099600,7227.FBpp0099767,7227.FBpp0100178,7227.FBpp0110269,7227.FBpp0271901,7227.FBpp0290753,7227.FBpp0291653,7227.FBpp0291726,7227.FBpp0297625,7227.FBpp0304104	CG4406,CG9344,zip,up,ND-B18,Ahcy13,RpS5a,wupA,COX6B,Arl1,vih,RpS17,lark,mRpL27,Ubc6,ND-B22,Cyt-c-p,Mhc,RpL34b,Rrp46,GstD10,RpS5b,smp-30,Tm2,NP15.6,Mlc1,RpL32,GstE6,CG6337,ox,CG12896,Ady43A,mRpS11,Tm1,chic,Kaz1-ORFB,rdx,mt:ATPase8,Lsd-2,ND-B17.2,Rtnl1,RpL30,RpL37A,tmod,Clic
GO:0005616	larval serum protein complex	3	4	2.05	0.00014	7227.FBpp0072365,7227.FBpp0073484,7227.FBpp0088363	Lsp1gamma,Lsp1alpha,Lsp2
GO:0022626	cytosolic ribosome	7	104	1.0	0.00014	7227.FBpp0074180,7227.FBpp0076207,7227.FBpp0081527,7227.FBpp0082465,7227.FBpp0084959,7227.FBpp0291653,7227.FBpp0291726	RpS5a,RpS17,RpL34b,RpS5b,RpL32,RpL30,RpL37A
GO:0043232	intracellular non-membrane-bounded organelle	25	1455	0.41	0.00014	7227.FBpp0071448,7227.FBpp0071449,7227.FBpp0072306,7227.FBpp0073682,7227.FBpp0074180,7227.FBpp0074298,7227.FBpp0076207,7227.FBpp0076320,7227.FBpp0077141,7227.FBpp0078490,7227.FBpp0079795,7227.FBpp0080452,7227.FBpp0081527,7227.FBpp0081725,7227.FBpp0082465,7227.FBpp0082535,7227.FBpp0084565,7227.FBpp0084959,7227.FBpp0088833,7227.FBpp0088904,7227.FBpp0089196,7227.FBpp0110269,7227.FBpp0291653,7227.FBpp0291726,7227.FBpp0297625	Act57B,CG9344,zip,up,RpS5a,wupA,RpS17,Prm,mRpL27,Ubc6,cana,Mhc,RpL34b,Rrp46,RpS5b,Tm2,Mlc1,RpL32,mRpS11,Tm1,chic,Lsd-2,RpL30,RpL37A,tmod
GO:0030312	external encapsulating structure	5	45	1.22	0.00024	7227.FBpp0071150,7227.FBpp0076298,7227.FBpp0076299,7227.FBpp0076301,7227.FBpp0305434	Cp36,Cp18,Cp15,Cp16,Vm26Aa
GO:0005746	mitochondrial respirasome	6	85	1.02	0.00036	7227.FBpp0073777,7227.FBpp0074584,7227.FBpp0080051,7227.FBpp0083126,7227.FBpp0086974,7227.FBpp0271901	ND-B18,COX6B,ND-B22,NP15.6,ox,ND-B17.2
GO:0005856	cytoskeleton	12	427	0.62	0.00036	7227.FBpp0071448,7227.FBpp0072306,7227.FBpp0073682,7227.FBpp0074298,7227.FBpp0076320,7227.FBpp0079795,7227.FBpp0080452,7227.FBpp0082535,7227.FBpp0084565,7227.FBpp0088904,7227.FBpp0089196,7227.FBpp0297625	Act57B,zip,up,wupA,Prm,cana,Mhc,Tm2,Mlc1,Tm1,chic,tmod
GO:0098803	respiratory chain complex	6	85	1.02	0.00036	7227.FBpp0073777,7227.FBpp0074584,7227.FBpp0080051,7227.FBpp0083126,7227.FBpp0086974,7227.FBpp0271901	ND-B18,COX6B,ND-B22,NP15.6,ox,ND-B17.2
GO:0098800	inner mitochondrial membrane protein complex	7	142	0.86	0.00058	7227.FBpp0073777,7227.FBpp0074584,7227.FBpp0080051,7227.FBpp0083126,7227.FBpp0086974,7227.FBpp0100178,7227.FBpp0271901	ND-B18,COX6B,ND-B22,NP15.6,ox,mt:ATPase8,ND-B17.2
GO:0016459	myosin complex	4	29	1.31	0.00059	7227.FBpp0072306,7227.FBpp0076320,7227.FBpp0080452,7227.FBpp0084565	zip,Prm,Mhc,Mlc1
GO:0098798	mitochondrial protein complex	9	256	0.72	0.00059	7227.FBpp0073777,7227.FBpp0074584,7227.FBpp0077141,7227.FBpp0080051,7227.FBpp0083126,7227.FBpp0086974,7227.FBpp0088833,7227.FBpp0100178,7227.FBpp0271901	ND-B18,COX6B,mRpL27,ND-B22,NP15.6,ox,mRpS11,mt:ATPase8,ND-B17.2
GO:0005829	cytosol	12	495	0.56	0.0011	7227.FBpp0073847,7227.FBpp0074180,7227.FBpp0076207,7227.FBpp0080446,7227.FBpp0081527,7227.FBpp0082465,7227.FBpp0082476,7227.FBpp0084959,7227.FBpp0088121,7227.FBpp0110269,7227.FBpp0291653,7227.FBpp0291726	Ahcy13,RpS5a,RpS17,Cyt-c-p,RpL34b,RpS5b,smp-30,RpL32,Ady43A,Lsd-2,RpL30,RpL37A
GO:0042600	chorion	4	40	1.17	0.0016	7227.FBpp0071150,7227.FBpp0076298,7227.FBpp0076299,7227.FBpp0076301	Cp36,Cp18,Cp15,Cp16
GO:0005743	mitochondrial inner membrane	8	235	0.7	0.0017	7227.FBpp0073777,7227.FBpp0074584,7227.FBpp0080051,7227.FBpp0080446,7227.FBpp0083126,7227.FBpp0086974,7227.FBpp0100178,7227.FBpp0271901	ND-B18,COX6B,ND-B22,Cyt-c-p,NP15.6,ox,mt:ATPase8,ND-B17.2
GO:0005861	troponin complex	2	2	2.17	0.0019	7227.FBpp0073682,7227.FBpp0074298	up,wupA
GO:0005862	muscle thin filament tropomyosin	2	2	2.17	0.0019	7227.FBpp0082535,7227.FBpp0088904	Tm2,Tm1
GO:0043226	organelle	48	4694	0.18	0.0027	7227.FBpp0070333,7227.FBpp0071448,7227.FBpp0071449,7227.FBpp0072306,7227.FBpp0073682,7227.FBpp0073777,7227.FBpp0074180,7227.FBpp0074298,7227.FBpp0074584,7227.FBpp0075272,7227.FBpp0075348,7227.FBpp0075690,7227.FBpp0076207,7227.FBpp0076320,7227.FBpp0076555,7227.FBpp0077141,7227.FBpp0077221,7227.FBpp0078490,7227.FBpp0079795,7227.FBpp0080051,7227.FBpp0080446,7227.FBpp0080452,7227.FBpp0080967,7227.FBpp0081527,7227.FBpp0081725,7227.FBpp0081851,7227.FBpp0082465,7227.FBpp0082535,7227.FBpp0083126,7227.FBpp0084565,7227.FBpp0084959,7227.FBpp0086772,7227.FBpp0086974,7227.FBpp0087406,7227.FBpp0088121,7227.FBpp0088833,7227.FBpp0088904,7227.FBpp0089196,7227.FBpp0099600,7227.FBpp0099767,7227.FBpp0100178,7227.FBpp0110269,7227.FBpp0271901,7227.FBpp0290753,7227.FBpp0291653,7227.FBpp0291726,7227.FBpp0297625,7227.FBpp0304104	CG4406,Act57B,CG9344,zip,up,ND-B18,RpS5a,wupA,COX6B,Arl1,mrn,vih,RpS17,Prm,lark,mRpL27,Dot,Ubc6,cana,ND-B22,Cyt-c-p,Mhc,RPA2,RpL34b,Rrp46,Ugt35b,RpS5b,Tm2,NP15.6,Mlc1,RpL32,CG6337,ox,CG12896,Ady43A,mRpS11,Tm1,chic,Kaz1-ORFB,rdx,mt:ATPase8,Lsd-2,ND-B17.2,Rtnl1,RpL30,RpL37A,tmod,Clic
GO:0005747	mitochondrial respiratory chain complex I	4	50	1.07	0.0030	7227.FBpp0073777,7227.FBpp0080051,7227.FBpp0083126,7227.FBpp0271901	ND-B18,ND-B22,NP15.6,ND-B17.2
GO:1990904	ribonucleoprotein complex	11	491	0.52	0.0031	7227.FBpp0071449,7227.FBpp0074180,7227.FBpp0076207,7227.FBpp0077141,7227.FBpp0081527,7227.FBpp0082465,7227.FBpp0084959,7227.FBpp0088833,7227.FBpp0088904,7227.FBpp0291653,7227.FBpp0291726	CG9344,RpS5a,RpS17,mRpL27,RpL34b,RpS5b,RpL32,mRpS11,Tm1,RpL30,RpL37A
GO:0043229	intracellular organelle	47	4624	0.18	0.0033	7227.FBpp0070333,7227.FBpp0071448,7227.FBpp0071449,7227.FBpp0072306,7227.FBpp0073682,7227.FBpp0073777,7227.FBpp0074180,7227.FBpp0074298,7227.FBpp0074584,7227.FBpp0075272,7227.FBpp0075348,7227.FBpp0075690,7227.FBpp0076207,7227.FBpp0076320,7227.FBpp0076555,7227.FBpp0077141,7227.FBpp0077221,7227.FBpp0078490,7227.FBpp0079795,7227.FBpp0080051,7227.FBpp0080446,7227.FBpp0080452,7227.FBpp0080967,7227.FBpp0081527,7227.FBpp0081725,7227.FBpp0081851,7227.FBpp0082465,7227.FBpp0082535,7227.FBpp0083126,7227.FBpp0084565,7227.FBpp0084959,7227.FBpp0086772,7227.FBpp0086974,7227.FBpp0088121,7227.FBpp0088833,7227.FBpp0088904,7227.FBpp0089196,7227.FBpp0099600,7227.FBpp0099767,7227.FBpp0100178,7227.FBpp0110269,7227.FBpp0271901,7227.FBpp0290753,7227.FBpp0291653,7227.FBpp0291726,7227.FBpp0297625,7227.FBpp0304104	CG4406,Act57B,CG9344,zip,up,ND-B18,RpS5a,wupA,COX6B,Arl1,mrn,vih,RpS17,Prm,lark,mRpL27,Dot,Ubc6,cana,ND-B22,Cyt-c-p,Mhc,RPA2,RpL34b,Rrp46,Ugt35b,RpS5b,Tm2,NP15.6,Mlc1,RpL32,CG6337,ox,Ady43A,mRpS11,Tm1,chic,Kaz1-ORFB,rdx,mt:ATPase8,Lsd-2,ND-B17.2,Rtnl1,RpL30,RpL37A,tmod,Clic
GO:1990204	oxidoreductase complex	5	96	0.89	0.0033	7227.FBpp0073777,7227.FBpp0080051,7227.FBpp0083126,7227.FBpp0086974,7227.FBpp0271901	ND-B18,ND-B22,NP15.6,ox,ND-B17.2
GO:0022625	cytosolic large ribosomal subunit	4	59	1.0	0.0044	7227.FBpp0081527,7227.FBpp0084959,7227.FBpp0291653,7227.FBpp0291726	RpL34b,RpL32,RpL30,RpL37A
GO:0005623	cell	61	6736	0.13	0.0048	7227.FBpp0070333,7227.FBpp0070558,7227.FBpp0071150,7227.FBpp0071448,7227.FBpp0071449,7227.FBpp0072306,7227.FBpp0073682,7227.FBpp0073777,7227.FBpp0073847,7227.FBpp0074180,7227.FBpp0074298,7227.FBpp0074584,7227.FBpp0075272,7227.FBpp0075348,7227.FBpp0075690,7227.FBpp0076207,7227.FBpp0076298,7227.FBpp0076299,7227.FBpp0076301,7227.FBpp0076320,7227.FBpp0076555,7227.FBpp0077141,7227.FBpp0077221,7227.FBpp0078490,7227.FBpp0078664,7227.FBpp0079795,7227.FBpp0080051,7227.FBpp0080446,7227.FBpp0080452,7227.FBpp0080967,7227.FBpp0081527,7227.FBpp0081725,7227.FBpp0081851,7227.FBpp0082079,7227.FBpp0082465,7227.FBpp0082476,7227.FBpp0082535,7227.FBpp0083126,7227.FBpp0084565,7227.FBpp0084959,7227.FBpp0085503,7227.FBpp0085855,7227.FBpp0086666,7227.FBpp0086772,7227.FBpp0086974,7227.FBpp0087406,7227.FBpp0088121,7227.FBpp0088833,7227.FBpp0088904,7227.FBpp0089196,7227.FBpp0099600,7227.FBpp0099767,7227.FBpp0100178,7227.FBpp0110269,7227.FBpp0271901,7227.FBpp0290753,7227.FBpp0291653,7227.FBpp0291726,7227.FBpp0297625,7227.FBpp0304104,7227.FBpp0305434	CG4406,Rala,Cp36,Act57B,CG9344,zip,up,ND-B18,Ahcy13,RpS5a,wupA,COX6B,Arl1,mrn,vih,RpS17,Cp18,Cp15,Cp16,Prm,lark,mRpL27,Dot,Ubc6,Rpn11,cana,ND-B22,Cyt-c-p,Mhc,RPA2,RpL34b,Rrp46,Ugt35b,GstD10,RpS5b,smp-30,Tm2,NP15.6,Mlc1,RpL32,Tsp42Ea,GstE6,Mdr50,CG6337,ox,CG12896,Ady43A,mRpS11,Tm1,chic,Kaz1-ORFB,rdx,mt:ATPase8,Lsd-2,ND-B17.2,Rtnl1,RpL30,RpL37A,tmod,Clic,Vm26Aa
GO:0015934	large ribosomal subunit	5	109	0.83	0.0050	7227.FBpp0077141,7227.FBpp0081527,7227.FBpp0084959,7227.FBpp0291653,7227.FBpp0291726	mRpL27,RpL34b,RpL32,RpL30,RpL37A
GO:0015935	small ribosomal subunit	4	73	0.91	0.0084	7227.FBpp0074180,7227.FBpp0076207,7227.FBpp0082465,7227.FBpp0088833	RpS5a,RpS17,RpS5b,mRpS11
