#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
PMID:21126519	(2011) Tropomyosin is an interaction partner of the Drosophila coiled coil protein yuri gagarin.	10	20	1.87	2.70e-11	7227.FBpp0071448,7227.FBpp0072365,7227.FBpp0073484,7227.FBpp0073682,7227.FBpp0075491,7227.FBpp0080452,7227.FBpp0082535,7227.FBpp0088904,7227.FBpp0089196,7227.FBpp0290753	Act57B,Lsp1gamma,Lsp1alpha,up,Fbp1,Mhc,Tm2,Tm1,chic,Rtnl1
PMID:30323632	(2018) Diagnosis of fish and shellfish allergies.	9	20	1.82	7.42e-10	7227.FBpp0072306,7227.FBpp0074298,7227.FBpp0076270,7227.FBpp0076320,7227.FBpp0080452,7227.FBpp0082535,7227.FBpp0084565,7227.FBpp0088546,7227.FBpp0088904	zip,wupA,Argk,Prm,Mhc,Tm2,Mlc1,TpnC73F,Tm1
PMID:19298669	(2009) Analysis of tarantula skeletal muscle protein sequences and identification of transcriptional isoforms.	9	22	1.78	9.86e-10	7227.FBpp0072306,7227.FBpp0073682,7227.FBpp0074298,7227.FBpp0076270,7227.FBpp0076320,7227.FBpp0080452,7227.FBpp0082535,7227.FBpp0088546,7227.FBpp0088904	zip,up,wupA,Argk,Prm,Mhc,Tm2,TpnC73F,Tm1
PMID:25352808	(2014) Altered cross-bridge properties in skeletal muscle dystrophies.	8	21	1.75	2.58e-08	7227.FBpp0072306,7227.FBpp0073682,7227.FBpp0074298,7227.FBpp0080452,7227.FBpp0082535,7227.FBpp0084565,7227.FBpp0088546,7227.FBpp0088904	zip,up,wupA,Mhc,Tm2,Mlc1,TpnC73F,Tm1
PMID:24221941	(2014) A Drosophila melanogaster model of diastolic dysfunction and cardiomyopathy based on impaired troponin-T function.	7	12	1.94	3.75e-08	7227.FBpp0072306,7227.FBpp0073682,7227.FBpp0074298,7227.FBpp0080452,7227.FBpp0082535,7227.FBpp0088546,7227.FBpp0088904	zip,up,wupA,Mhc,Tm2,TpnC73F,Tm1
PMID:25125181	(2014) Understanding cardiac sarcomere assembly with zebrafish genetics.	8	23	1.71	3.75e-08	7227.FBpp0072306,7227.FBpp0073682,7227.FBpp0074298,7227.FBpp0080452,7227.FBpp0082535,7227.FBpp0084565,7227.FBpp0088546,7227.FBpp0088904	zip,up,wupA,Mhc,Tm2,Mlc1,TpnC73F,Tm1
PMID:26892246	(2016) Calpain inhibition rescues troponin T3 fragmentation, increases Cav1.1, and enhances skeletal muscle force in aging sedentary mice.	7	15	1.84	9.76e-08	7227.FBpp0072306,7227.FBpp0073682,7227.FBpp0074298,7227.FBpp0080452,7227.FBpp0082535,7227.FBpp0088546,7227.FBpp0088904	zip,up,wupA,Mhc,Tm2,TpnC73F,Tm1
PMID:10085296	(1999) Specific myosin heavy chain mutations suppress troponin I defects in Drosophila muscles.	7	15	1.84	9.76e-08	7227.FBpp0072306,7227.FBpp0073682,7227.FBpp0074298,7227.FBpp0080452,7227.FBpp0082535,7227.FBpp0088546,7227.FBpp0088904	zip,up,wupA,Mhc,Tm2,TpnC73F,Tm1
PMID:29319812	(2018) Deuterostome Genomics: Lineage-Specific Protein Expansions That Enabled Chordate Muscle Evolution.	7	17	1.79	1.52e-07	7227.FBpp0072306,7227.FBpp0073682,7227.FBpp0074298,7227.FBpp0082535,7227.FBpp0088546,7227.FBpp0088904,7227.FBpp0297625	zip,up,wupA,Tm2,TpnC73F,Tm1,tmod
PMID:28617826	(2017) CF2 transcription factor is involved in the regulation of Mef2 RNA levels, nuclei number and muscle fiber size.	7	17	1.79	1.52e-07	7227.FBpp0071448,7227.FBpp0072306,7227.FBpp0073682,7227.FBpp0074298,7227.FBpp0076320,7227.FBpp0080452,7227.FBpp0088904	Act57B,zip,up,wupA,Prm,Mhc,Tm1
PMID:31739584	(2019) Special Issue: The Actin-Myosin Interaction in Muscle: Background and Overview.	7	18	1.76	1.72e-07	7227.FBpp0072306,7227.FBpp0073682,7227.FBpp0074298,7227.FBpp0080452,7227.FBpp0082535,7227.FBpp0088546,7227.FBpp0088904	zip,up,wupA,Mhc,Tm2,TpnC73F,Tm1
