"","Description","daGAL4_plus1","daGAL4_plus2","daGAL4_plus3","daGAL4_plus4","daGAL4_plus5","daGAL4_Ab_ARC1","daGAL4_Ab_ARC2","daGAL4_Ab_ARC3","daGAL4_Ab_ARC4","daGAL4_Ab_ARC5","logFC","adj.P.Val","gene_name","symbol","cutoff1"
"4","Myosin heavy chain, isoform P OS=Drosophila melanogaster GN=Mhc PE=1 SV=1",6.914,7.637,8.099,7.583,7.387,7.625,7.745,7.908,8.45,11.222,1.066,0.183,"Myosin heavy chain, isoform P","Mhc","up"
"6","Myosin heavy chain, isoform U OS=Drosophila melanogaster GN=Mhc PE=1 SV=1",6.073,5.882,6.541,5.76,5.809,6.115,6.57,6.648,7.352,9.651,1.254,0.1,"Myosin heavy chain, isoform U","Mhc","up"
"7","Myosin heavy chain, isoform T OS=Drosophila melanogaster GN=Mhc PE=1 SV=1",3.838,4.27,4.636,4.078,4.148,4.445,4.387,4.448,4.902,7.945,1.032,0.196,"Myosin heavy chain, isoform T","Mhc","up"
"44","Zipper, isoform I OS=Drosophila melanogaster GN=zip PE=1 SV=1",5.15,3.156,4.518,3.423,4.101,4.705,5.53,6.274,6.765,7.468,2.079,0.02,"Zipper, isoform I","zip","up"
"45","Arginine kinase, isoform E OS=Drosophila melanogaster GN=Argk PE=1 SV=1",7.062,6.11,6.528,6.02,6.391,6.592,7.106,7.884,8.219,8.514,1.24,0.027,"Arginine kinase, isoform E","Argk","up"
"46","Arginine kinase OS=Drosophila melanogaster GN=Argk PE=2 SV=2",6.463,5.741,6.198,5.63,6.064,5.962,6.535,7.661,7.797,8.288,1.23,0.041,"Arginine kinase","Argk","up"
"106","Paramyosin, short form OS=Drosophila melanogaster GN=Prm PE=2 SV=2",5.249,3.896,4.692,4.163,4.83,5.042,5.342,6.264,6.434,8.722,1.795,0.045,"Paramyosin, short form","Prm","up"
"124","Actin-57B OS=Drosophila melanogaster GN=Act57B PE=1 SV=1",6.699,7.618,7.629,7.579,6.705,7.797,8.125,8.1,8.358,10.075,1.245,0.041,"Actin-57B","Act57B","up"
"154","Tropomyosin 2, isoform E OS=Drosophila melanogaster GN=Tm2 PE=1 SV=1",9.669,11.348,11.139,11.34,9.934,11.21,11.295,11.356,11.684,13.2,1.063,0.09,"Tropomyosin 2, isoform E","Tm2","up"
"329","Adenosylhomocysteinase OS=Drosophila melanogaster GN=Ahcy PE=3 SV=1",9.537,8.998,9.212,8.995,9.074,9.31,9.765,10.485,10.794,10.959,1.099,0.023,"Adenosylhomocysteinase","Ahcy","up"
"383","Lipid storage droplets surface-binding protein 2 OS=Drosophila melanogaster GN=Lsd-2 PE=1 SV=1",3.777,3.954,3.746,3.775,3.257,3.699,3.675,4.723,6.337,7.106,1.406,0.095,"Lipid storage droplets surface-binding protein 2","Lsd-2","up"
"417","Tropomyosin-1, isoforms 33/34 OS=Drosophila melanogaster GN=Tm1 PE=2 SV=2",5.426,6.622,6.366,6.451,5.365,6.722,6.88,7.095,7.742,9.495,1.541,0.041,"Tropomyosin-1, isoforms 33/34","Tm1","up"
"419","Larval serum protein 2, isoform B OS=Drosophila melanogaster GN=Lsp2 PE=4 SV=1",9.216,8.66,8.677,9.014,9.066,10.672,10.884,11.117,11.345,11.319,2.141,0,"Larval serum protein 2, isoform B","Lsp2","up"
"469","RE08101p OS=Drosophila melanogaster GN=Tm1 PE=1 SV=1",4.886,7.638,7.121,7.4,5.308,7.52,7.747,7.89,8.026,9.42,1.65,0.051,"RE08101p","Tm1","up"
"474","Upheld, isoform N OS=Drosophila melanogaster GN=up PE=1 SV=1",5.818,7.689,7.369,7.591,6.11,7.704,7.506,7.483,7.73,9.242,1.017,0.098,"Upheld, isoform N","up","up"
"621","Cytochrome c proximal, isoform B OS=Drosophila melanogaster GN=Cyt-c-p PE=2 SV=1",10.332,10.689,10.184,10.189,10.109,10.248,10.439,11.324,11.908,12.688,1.021,0.074,"Cytochrome c proximal, isoform B","Cyt-c-p","up"
"735","Paramyosin, isoform E OS=Drosophila melanogaster GN=Prm PE=1 SV=1",5.464,4.854,5.339,4.533,4.909,5.146,5.541,6.201,6.312,7.983,1.217,0.059,"Paramyosin, isoform E","Prm","up"
"757","MIP34848p1 OS=Drosophila melanogaster GN=smp-30 PE=1 SV=1",8.921,8.507,8.554,8.438,8.907,8.969,9.2,9.623,10.058,10.762,1.057,0.026,"MIP34848p1","smp-30","up"
"883","CG2233 OS=Drosophila melanogaster GN=CG2233 PE=1 SV=1",8.829,8.514,8.607,9.06,8.752,10.309,9.459,10.447,10.366,10.198,1.404,0.002,"CG2233","CG2233","up"
"1002","Alpha-mannosidase OS=Drosophila melanogaster GN=LManIII PE=1 SV=2",6.834,6.59,6.84,6.43,6.661,7.793,7.613,7.972,7.957,7.73,1.142,0,"Alpha-mannosidase","LManIII","up"
"1063","Profilin OS=Drosophila melanogaster GN=chic PE=2 SV=1",8.556,7.203,7.744,7.382,7.637,8.012,8.63,9.451,9.827,10.012,1.482,0.023,"Profilin","chic","up"
"1147","Ribosomal protein S5a, isoform B OS=Drosophila melanogaster GN=RpS5a PE=3 SV=1",4.296,3.943,4.49,4.107,4.061,4.181,4.737,5.419,6.513,7.871,1.565,0.06,"Ribosomal protein S5a, isoform B","RpS5a","up"
"1157","Cytochrome c oxidase subunit OS=Drosophila melanogaster GN=COX6B PE=1 SV=2",8.223,8.276,8.072,8.07,8.231,8.134,8.241,9.014,9.724,10.882,1.024,0.094,"Cytochrome c oxidase subunit","COX6B","up"
"1181","40S ribosomal protein S5b OS=Drosophila melanogaster GN=RpS5b PE=2 SV=1",8.515,7.231,7.94,7.55,7.691,8.451,8.688,8.998,9.407,9.413,1.206,0.012,"40S ribosomal protein S5b","RpS5b","up"
"1243","Reticulon-like protein OS=Drosophila melanogaster GN=Rtnl1 PE=1 SV=1",5.23,4.458,4.287,4.956,4.865,5.202,5.067,5.621,6.339,6.739,1.034,0.036,"Reticulon-like protein","Rtnl1","up"
"1248","Wings up A, isoform J OS=Drosophila melanogaster GN=wupA PE=1 SV=1",4.282,7.181,6.599,6.661,4.702,6.565,6.959,6.643,6.566,8.776,1.217,0.144,"Wings up A, isoform J","wupA","up"
"1298","60S ribosomal protein L32 OS=Drosophila melanogaster GN=RpL32 PE=1 SV=3",9.351,8.235,8.94,8.525,8.618,9.143,9.439,9.832,10.157,10.361,1.053,0.019,"60S ribosomal protein L32","RpL32","up"
"1360","Chorion protein S36 OS=Drosophila melanogaster GN=Cp36 PE=3 SV=2",7.16,6.072,7.149,6.864,6.628,7.684,7.794,7.994,7.985,7.917,1.1,0.006,"Chorion protein S36","Cp36","up"
"1385","Larval serum protein 1 gamma chain OS=Drosophila melanogaster GN=Lsp1gamma PE=2 SV=2",6.528,6.933,6.695,9.299,6.849,10.339,7.94,9.399,8.974,8.478,1.765,0.041,"Larval serum protein 1 gamma chain","Lsp1gamma","up"
"1455","CG5377 OS=Drosophila melanogaster GN=CG5377-RA PE=1 SV=1",8.268,7.879,8.02,7.806,7.992,8.336,8.681,9.176,9.366,9.597,1.038,0.012,"CG5377","CG5377-RA","up"
"1594","Aldose 1-epimerase OS=Drosophila melanogaster GN=Dmel\CG10467 PE=1 SV=1",7.427,7.149,7.181,7.044,7.235,7.273,7.554,8.368,8.923,9.427,1.102,0.041,"Aldose 1-epimerase","Dmel\CG10467","up"
"1614","RE25263p OS=Drosophila melanogaster GN=RpL30 PE=1 SV=1",7.357,6.419,6.771,6.301,7.06,7.049,7.191,8.544,9.382,10.047,1.661,0.042,"RE25263p","RpL30","up"
"1620","40S ribosomal protein S17 OS=Drosophila melanogaster GN=RpS17 PE=1 SV=2",8.442,6.885,7.607,7.193,7.428,8.148,8.587,9.225,9.768,10.725,1.78,0.021,"40S ribosomal protein S17","RpS17","up"
"1623","Wings up A, isoform I OS=Drosophila melanogaster GN=wupA PE=1 SV=1",4.709,6.85,7.051,6.919,4.702,6.784,6.93,7.15,7.314,8.694,1.328,0.087,"Wings up A, isoform I","wupA","up"
"1635","FI20012p1 OS=Drosophila melanogaster GN=tmod PE=1 SV=1",5.775,6.323,6.307,6.192,5.803,6.325,6.541,6.946,7.468,8.767,1.129,0.051,"FI20012p1","tmod","up"
"1641","Glutathione S transferase E6 OS=Drosophila melanogaster GN=GstE6 PE=1 SV=1",8.875,7.858,8.302,7.924,8.171,8.349,8.999,9.536,9.77,9.889,1.083,0.025,"Glutathione S transferase E6","GstE6","up"
"1808","AT12494p OS=Drosophila melanogaster GN=ND-B22 PE=1 SV=1",8.058,7.334,7.59,7.264,7.604,7.97,8.269,8.727,8.944,9.244,1.061,0.015,"AT12494p","ND-B22","up"
"1865","DI01187p OS=Drosophila melanogaster GN=CG12896-RA PE=2 SV=1",3.533,2.848,1.504,1.913,2.764,3.424,3.993,4.618,5.15,4.802,1.885,0.014,"DI01187p","CG12896-RA","up"
"1878","CG9273 protein OS=Drosophila melanogaster GN=RPA2 PE=1 SV=2",7.79,7.327,7.653,7.434,7.651,7.765,8.115,8.894,9.569,10.005,1.299,0.029,"CG9273 protein","RPA2","up"
"1975","ATP synthase protein 8 OS=Drosophila melanogaster GN=mt:ATPase8 PE=3 SV=1",8.39,7.999,8.153,7.85,8.25,8.248,8.68,9.294,9.628,10.069,1.055,0.027,"ATP synthase protein 8","mt:ATPase8","up"
