"names","logFC","cutoff.6"
"152078_at",0.593,"up"
"26-29-p",0.539,"no_change"
"2D9",-0.359,"no_change"
"312",-0.236,"no_change"
"34F4T",0.547,"no_change"
"38C.22",-0.35,"no_change"
"AANATL2",-0.28,"no_change"
"Aats-ala",0.15,"no_change"
"Aats-gln",0.31,"no_change"
"Ac76E",-0.366,"no_change"
"Acox57D-d",-0.313,"no_change"
"Acsl",0.598,"up"
"ade2",0.231,"no_change"
"AdenoK",0.646,"up"
"Adgf-A",0.529,"no_change"
"Adk3",0.559,"no_change"
"ADPS",-0.679,"down"
"AdSL",0.476,"no_change"
"Ahcy",1.099,"up"
"AIF",-0.269,"no_change"
"Akh",1.744,"up"
"Aldh-III",-0.209,"no_change"
"Alg-2",-0.442,"no_change"
"alien",0.243,"no_change"
"ALiX",0.221,"no_change"
"alph",0.331,"no_change"
"alpha-Cat",-0.234,"no_change"
"alpha-Est3",0.414,"no_change"
"alpha-Est5",0.656,"up"
"alpha-Est5",0.71,"up"
"AMPdeam",-0.649,"down"
"AMPdeam",-0.585,"down"
"Amun",0.508,"no_change"
"Ance-4",0.416,"no_change"
"Ank2",-0.479,"no_change"
"Ank2",-0.311,"no_change"
"anon-EST:fe2H6",-0.341,"no_change"
"anon-i1",0.321,"no_change"
"anon-SAGE:Wang-073",1.413,"up"
"anon-WO0172774.118",-0.241,"no_change"
"anon-WO0172774.138",0.596,"up"
"anon-WO0172774.52",0.656,"up"
"AnxB11",-0.443,"no_change"
"Aos1",0.444,"no_change"
"Apf",-0.27,"no_change"
"Aph4",0.24,"no_change"
"APP-BP1",0.189,"no_change"
"AQP",1.196,"up"
"aralar1",0.385,"no_change"
"Arf79F",0.603,"up"
"Argk",1.23,"up"
"Argk",1.24,"up"
"ari-1",-0.347,"no_change"
"Arl1",1.072,"up"
"Arp1",0.263,"no_change"
"Arp10",0.271,"no_change"
"Arp3",0.219,"no_change"
"Arpc1",0.672,"up"
"Ars2",-0.198,"no_change"
"Art1",0.638,"up"
"aru",-0.453,"no_change"
"Asap",-0.471,"no_change"
"asf1",0.708,"up"
"Ask1",-0.387,"no_change"
"atilla",-0.223,"no_change"
"ATPsynG",-0.239,"no_change"
"ATPsynO",0.54,"no_change"
"Atx2",0.361,"no_change"
"Bap60",-0.169,"no_change"
"bark",-0.459,"no_change"
"BCAS2",-0.264,"no_change"
"BcDNA:GH06032",-0.193,"no_change"
"BcDNA:GH27779",-0.415,"no_change"
"BcDNA:GM03875",1.201,"up"
"BcDNA:GM20557",-0.46,"no_change"
"BcDNA:RE15216",-0.478,"no_change"
"BcDNA:RE52392",0.947,"up"
"BcDNA:RE55923",-0.534,"no_change"
"BcDNA:RE63412",0.979,"up"
"BcDNA.LD34475",0.947,"up"
"bdl",-0.365,"no_change"
"BEAF-32",-0.607,"down"
"ben",0.426,"no_change"
"BEST:CK00246",-0.224,"no_change"
"BEST:GH05015",0.353,"no_change"
"BEST:GH25016",-0.342,"no_change"
"BEST:LD16579",-0.437,"no_change"
"beta-PheRS",0.424,"no_change"
"beta-Spec",-0.23,"no_change"
"beta-Spec",-0.571,"no_change"
"betaTub56D",0.309,"no_change"
"BG:DS07473.1",-0.391,"no_change"
"BG:DS09217.4",-0.342,"no_change"
"bic",0.661,"up"
"bnb",-0.22,"no_change"
"bol",0.415,"no_change"
"boss",-0.413,"no_change"
"BP1001",-0.454,"no_change"
"bsf",0.207,"no_change"
"Bsg",-0.582,"no_change"
"Bsg",-0.183,"no_change"
"bt",-0.33,"no_change"
"bt",-0.37,"no_change"
"Bub3",0.79,"up"
"c11.1",-0.482,"no_change"
"Ca-alpha1D",-0.186,"no_change"
"Caf1",0.66,"up"
"CAH1",-0.459,"no_change"
"CalpA",0.573,"no_change"
"Calr",-0.185,"no_change"
"Calx",-0.321,"no_change"
"CanA1",-0.38,"no_change"
"Cand1",0.155,"no_change"
"CAP",0.348,"no_change"
"CAP",-0.429,"no_change"
"CBP",0.562,"no_change"
"Cbp80",0.333,"no_change"
"CCT2",0.478,"no_change"
"CCT4",0.611,"up"
"CCT5",0.362,"no_change"
"CCT6",0.673,"up"
"CCT7",0.722,"up"
"CCT8",0.642,"up"
"Cctgamma",0.5,"no_change"
"Ccz1",-0.401,"no_change"
"CDase",-0.375,"no_change"
"Cdk1",0.686,"up"
"CdsA",-0.372,"no_change"
"CG10038",0.579,"no_change"
"CG10098",-0.251,"no_change"
"CG10131",0.73,"up"
"CG10139",-0.277,"no_change"
"CG10217-RA",0.271,"no_change"
"CG10306",0.814,"up"
"CG10407",1.099,"up"
"CG10424",0.914,"up"
"CG10500",-0.497,"no_change"
"CG10514",-0.918,"down"
"CG1090",-0.321,"no_change"
"CG10914",-0.472,"no_change"
"CG10962-RB",-0.444,"no_change"
"CG1105",-0.38,"no_change"
"CG11089",0.377,"no_change"
"CG11151",0.492,"no_change"
"CG11200",0.614,"up"
"CG11208",0.525,"no_change"
"CG11474",-0.17,"no_change"
"CG11752",0.584,"no_change"
"CG11837",-0.347,"no_change"
"CG11839",-0.376,"no_change"
"CG11883",-0.345,"no_change"
"CG11899",0.399,"no_change"
"CG11999",0.722,"up"
"CG12128",-0.339,"no_change"
"CG12237",-0.477,"no_change"
"CG1234",-0.49,"no_change"
"CG12384",1.159,"up"
"CG12484",-0.259,"no_change"
"CG12531",-0.613,"down"
"CG12746",-0.649,"down"
"CG12814",-0.247,"no_change"
"CG12896-RA",1.885,"up"
"CG12947",-0.816,"down"
"CG1311",-0.403,"no_change"
"CG13185",-0.276,"no_change"
"CG13220",-0.351,"no_change"
"CG13364",-0.23,"no_change"
"CG1358-RB",-0.311,"no_change"
"CG13623",-0.504,"no_change"
"CG13631-RA",-0.448,"no_change"
"CG14043",-0.66,"down"
"CG14100",-0.437,"no_change"
"CG14232",-0.51,"no_change"
"CG14309",0.522,"no_change"
"CG14407",0.616,"up"
"CG14526",0.545,"no_change"
"CG14715",0.979,"up"
"CG14722",-0.439,"no_change"
"CG1486",-0.265,"no_change"
"CG15014",-0.304,"no_change"
"CG15093",0.628,"up"
"CG15096",0.434,"no_change"
"CG15111-RB",-0.476,"no_change"
"CG15203",-0.791,"down"
"CG1561",-0.485,"no_change"
"CG15894",-0.606,"down"
"CG15908",-0.291,"no_change"
"CG1637",0.018,"no_change"
"CG1637",-0.309,"no_change"
"CG16742",-0.309,"no_change"
"CG16749",0.565,"no_change"
"CG1704",-0.272,"no_change"
"CG17109",0.309,"no_change"
"CG17271-RB",-0.695,"down"
"CG17278",-0.396,"no_change"
"CG17556-RA",0.614,"up"
"CG17560",0.533,"no_change"
"CG17598",-0.936,"down"
"CG17683",-0.15,"no_change"
"CG17726",-0.779,"down"
"CG17734",-0.411,"no_change"
"CG17931",-0.486,"no_change"
"CG1814-RA",0.666,"up"
"CG18190-RB",1.145,"up"
"CG18259-RA",-0.388,"no_change"
"CG18327",-0.501,"no_change"
"CG18508-RA",-0.503,"no_change"
"CG18542-RA",-0.394,"no_change"
"CG18549",-0.791,"down"
"CG18769",-0.554,"no_change"
"CG1890",0.873,"up"
"CG1910",-0.308,"no_change"
"CG1983",-0.335,"no_change"
"CG2003-RA",-0.432,"no_change"
"CG2004",0.421,"no_change"
"CG2061",-0.426,"no_change"
"CG2118",-1.156,"down"
"CG2118",0.946,"up"
"CG2186",-0.936,"down"
"CG2200",0.462,"no_change"
"CG2246-RA",0.312,"no_change"
"CG2258",-0.411,"no_change"
"CG2658",-0.209,"no_change"
"CG2681-RA",-0.501,"no_change"
"CG2691",-0.307,"no_change"
"CG2767",0.361,"no_change"
"CG2852",0.858,"up"
"CG2921",-1.413,"down"
"CG2926",-0.821,"down"
"CG2930",-0.213,"no_change"
"CG2974",0.389,"no_change"
"CG2982",-0.316,"no_change"
"CG30069",-0.364,"no_change"
"CG30109",-0.445,"no_change"
"CG30122",-0.476,"no_change"
"CG30219",-0.649,"down"
