#SUBMITTED ID	FBID_KEY	ANNOTATION_SYMBOL	GO_BIOLOGICAL_PROCESS	GO_CELLULAR_COMPONENT	GO_MOLECULAR_FUNCTION	H_SAPIENS_ORTHOLOGS	M_MUSCULUS_ORTHOLOGS	NAME	PATHWAY	SUBUNIT_STRUCTURE	SUMMARY_PHYSICAL_INTERACTIONS	SYMBOL	UNIPROT_FUNCTION
FBgn0013679	FBgn0013679	CG34092	aerobic respiration ; GO:0009060 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000153359	mitochondrial respiratory chain complex I ; GO:0005747 | part_of inferred from biological aspect of ancestor with PANTHER:PTN000153361 <newline> mitochondrial respiratory chain complex I ; GO:0005747 | part_of inferred from sequence or structural similarity with UniProtKB:P03886	NADH dehydrogenase activity ; GO:0003954 | contributes_to inferred from biological aspect of ancestor with PANTHER:PTN000153359	Hsap\ND1	Mmus\ND1	mitochondrial NADH-ubiquinone oxidoreductase chain 1	-	-	-	mt:ND1	Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) that is believed to belong to the minimal assembly required for catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone (By similarity).
FBgn0013680	FBgn0013680	CG34063	mitochondrial electron transport, NADH to ubiquinone ; GO:0006120 | inferred from electronic annotation with InterPro:IPR003917, InterPro:IPR010933 involved_in	mitochondrial respiratory chain complex I ; GO:0005747 | part_of inferred from mutant phenotype <newline> mitochondrial respiratory chain complex I ; GO:0005747 | part_of inferred from sequence or structural similarity with UniProtKB:P03891	NADH dehydrogenase (ubiquinone) activity ; GO:0008137 | inferred from electronic annotation with InterPro:IPR003917, InterPro:IPR010933 enables	Hsap\ND2 <newline> Hsap\ND5	Mmus\ND2	mitochondrial NADH-ubiquinone oxidoreductase chain 2	-	-	-	mt:ND2	Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) that is believed to belong to the minimal assembly required for catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone (By similarity).
FBgn0013681	FBgn0013681	CG34076	-	mitochondrial respiratory chain complex I ; GO:0005747 | part_of inferred from sequence or structural similarity with UniProtKB:P03897	NADH dehydrogenase (ubiquinone) activity ; GO:0008137 | enables inferred from biological aspect of ancestor with PANTHER:PTN000114844	Hsap\ND3	Mmus\ND3	mitochondrial NADH-ubiquinone oxidoreductase chain 3	-	-	-	mt:ND3	Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) that is believed to belong to the minimal assembly required for catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone (By similarity).
FBgn0262952	FBgn0262952	CG34085	ATP synthesis coupled electron transport ; GO:0042773 | involved_in inferred from electronic annotation with InterPro:IPR003918 <newline> aerobic respiration ; GO:0009060 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000511780 <newline> electron transport coupled proton transport ; GO:0015990 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000511780	mitochondrial respiratory chain complex I ; GO:0005747 | part_of inferred from sequence or structural similarity with UniProtKB:P03905	NADH dehydrogenase (ubiquinone) activity ; GO:0008137 | inferred from electronic annotation with InterPro:IPR003918 enables <newline> ubiquinone binding ; GO:0048039 | enables inferred from biological aspect of ancestor with PANTHER:PTN000511780 <newline> NADH dehydrogenase activity ; GO:0003954 | contributes_to inferred from biological aspect of ancestor with PANTHER:PTN000511780	Hsap\ND4	Mmus\ND4	mitochondrial NADH-ubiquinone oxidoreductase chain 4	-	-	-	mt:ND4	Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) that is believed to belong to the minimal assembly required for catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone (By similarity).
FBgn0013683	FBgn0013683	CG34086	ATP synthesis coupled electron transport ; GO:0042773 | inferred from electronic annotation with InterPro:IPR001133 involved_in	-	NADH dehydrogenase (ubiquinone) activity ; GO:0008137 | enables inferred from biological aspect of ancestor with PANTHER:PTN000153441	Hsap\ND4L	Mmus\ND4L	mitochondrial NADH-ubiquinone oxidoreductase chain 4L	-	-	-	mt:ND4L	Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) that is believed to belong to the minimal assembly required for catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone (By similarity).
FBgn0013684	FBgn0013684	CG34083	ATP synthesis coupled electron transport ; GO:0042773 | inferred from electronic annotation with InterPro:IPR010934, InterPro:IPR018393 involved_in <newline> electron transport coupled proton transport ; GO:0015990 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000511978	mitochondrial respiratory chain complex I ; GO:0005747 | part_of inferred from sequence or structural similarity with UniProtKB:P03915 <newline> mitochondrial respiratory chain complex I ; GO:0005747 | part_of inferred from biological aspect of ancestor with PANTHER:PTN000511979	NADH dehydrogenase (ubiquinone) activity ; GO:0008137 | inferred from electronic annotation with InterPro:IPR010934, InterPro:IPR018393 enables <newline> NADH dehydrogenase activity ; GO:0003954 | enables inferred from biological aspect of ancestor with PANTHER:PTN000511978	Hsap\ND5	Mmus\ND5	mitochondrial NADH-ubiquinone oxidoreductase chain 5	-	-	-	mt:ND5	Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) that is believed to belong to the minimal assembly required for catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone (By similarity).
FBgn0013685	FBgn0013685	CG34089	-	-	NADH dehydrogenase (ubiquinone) activity ; GO:0008137 | inferred from electronic annotation with InterPro:IPR001457 enables	Hsap\ND6	Mmus\ND6	mitochondrial NADH-ubiquinone oxidoreductase chain 6	-	-	-	mt:ND6	Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) that is believed to belong to the minimal assembly required for catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone (By similarity).
FBgn0030718	FBgn0030718	CG9172	mitochondrial respiratory chain complex I assembly ; GO:0032981 | involved_in inferred from sequence or structural similarity with UniProtKB:O75251 <newline> determination of adult lifespan ; GO:0008340 | involved_in inferred from mutant phenotype <newline> electron transport coupled proton transport ; GO:0015990 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000242188 <newline> regulation of terminal button organization ; GO:2000331 | involved_in inferred from mutant phenotype <newline> mitochondrial respiratory chain complex I assembly ; GO:0032981 | involved_in inferred from mutant phenotype <newline> mitochondrial respiratory chain complex I assembly ; GO:0032981 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000242190 <newline> aerobic respiration ; GO:0009060 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000242188 <newline> response to reactive oxygen species ; GO:0000302 | involved_in inferred from mutant phenotype	mitochondrial respiratory chain complex I ; GO:0005747 | part_of inferred from sequence or structural similarity with UniProtKB:O75251 <newline> mitochondrial respiratory chain complex I ; GO:0005747 | part_of inferred from biological aspect of ancestor with PANTHER:PTN000242190	4 iron, 4 sulfur cluster binding ; GO:0051539 | inferred from electronic annotation with InterPro:IPR006138 enables <newline> quinone binding ; GO:0048038 | inferred from electronic annotation with InterPro:IPR006138 enables <newline> NADH dehydrogenase activity ; GO:0003954 | contributes_to inferred from sequence or structural similarity with UniProtKB:O75251 <newline> NADH dehydrogenase (ubiquinone) activity ; GO:0008137 | enables inferred from biological aspect of ancestor with PANTHER:PTN000242188	Hsap\NDUFS7	Mmus\Ndufs7	NADH dehydrogenase (ubiquinone) 20 kDa subunit	-	-	ND-20L <newline> ND-B17.2 <newline> ND-39 <newline> CG12909 <newline> AnxB10 <newline> promL	ND-20	-
FBgn0039669	FBgn0039669	CG2014	mitochondrial respiratory chain complex I assembly ; GO:0032981 | involved_in inferred from sequence or structural similarity with UniProtKB:O75251 <newline> mitochondrial respiratory chain complex I assembly ; GO:0032981 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000242190 <newline> electron transport coupled proton transport ; GO:0015990 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000242188 <newline> aerobic respiration ; GO:0009060 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000242188 <newline> inter-male aggressive behavior ; GO:0002121 | involved_in inferred from mutant phenotype	mitochondrial respiratory chain complex I ; GO:0005747 | part_of inferred from sequence or structural similarity with UniProtKB:O75251 <newline> mitochondrial respiratory chain complex I ; GO:0005747 | part_of inferred from biological aspect of ancestor with PANTHER:PTN000242190	4 iron, 4 sulfur cluster binding ; GO:0051539 | inferred from electronic annotation with InterPro:IPR006138 enables <newline> quinone binding ; GO:0048038 | inferred from electronic annotation with InterPro:IPR006138 enables <newline> NADH dehydrogenase (ubiquinone) activity ; GO:0008137 | enables inferred from biological aspect of ancestor with PANTHER:PTN000242188 <newline> NADH dehydrogenase activity ; GO:0003954 | contributes_to inferred from sequence or structural similarity with UniProtKB:O75251	Hsap\NDUFS7	Mmus\Ndufs7	NADH dehydrogenase (ubiquinone) 20 kDa subunit-like	-	-	ND-B17.2 <newline> ND-39 <newline> ND-20	ND-20L	-
FBgn0017567	FBgn0017567	CG3944	mitochondrial respiratory chain complex I assembly ; GO:0032981 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000091257 <newline> mitochondrial electron transport, NADH to ubiquinone ; GO:0006120 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000091257 <newline> aerobic respiration ; GO:0009060 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000091255 <newline> mitochondrial ATP synthesis coupled electron transport ; GO:0042775 | involved_in inferred from mutant phenotype	mitochondrial respiratory chain complex I ; GO:0005747 | part_of inferred from biological aspect of ancestor with PANTHER:PTN000091257 <newline> mitochondrion ; GO:0005739 | located_in inferred from high throughput direct assay	4 iron, 4 sulfur cluster binding ; GO:0051539 | inferred from electronic annotation with InterPro:IPR010226 enables <newline> NADH dehydrogenase activity ; GO:0003954 | contributes_to inferred from biological aspect of ancestor with PANTHER:PTN000091255 <newline> NADH dehydrogenase (ubiquinone) activity ; GO:0008137 | contributes_to inferred from sequence or structural similarity with UniProtKB:O00217	Hsap\MIR7113 <newline> Hsap\NDUFS8	Mmus\Ndufs8	NADH dehydrogenase (ubiquinone) 23 kDa subunit	-	Part of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) (PubMed:28683319). This is a component of the iron-sulfur (IP) fragment of the enzyme (PubMed:28683319).	ND-75 <newline> ND-51 <newline> ND-18	ND-23	Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) that is believed to belong to the minimal assembly required for catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone.
