#submitted_item	validated_id	current_symbol
bt	FBgn0005666	bt
bt	FBgn0005666	bt
sls	FBgn0086906	sls
sls	FBal0015717	sls[1]
Mhc	FBgn0264695	Mhc
Rfabg	FBgn0087002	apolpp
Mhc	FBgn0264695	Mhc
Mhc	FBgn0264695	Mhc
Unc-89	FBgn0053519	Unc-89
Msp300	FBgn0261836	Msp300
FASN1	FBgn0283427	FASN1
shot	FBgn0013733	shot
Strn-Mlck	FBgn0265045	Strn-Mlck
alpha-Spec	FBgn0250789	Î±-Spec
Ca-P60A	FBgn0263006	SERCA
SERCA	FBgn0263006	SERCA
RyR	FBgn0011286	RyR
RyR	FBgn0011286	RyR
beta-Spec	FBgn0250788	Î²-Spec
beta-Spec	FBgn0250788	Î²-Spec
Msp300	FBgn0261836	Msp300
ACC	FBgn0033246	ACC
CG13492	FBgn0034662	CG13492
Atpalpha	FBgn0002921	AtpÎ±
Atpalpha	FBal0009413	AtpÎ±[01453a]
Atpalpha	FBgn0002921	AtpÎ±
Atpalpha	FBal0009413	AtpÎ±[01453a]
cher	FBgn0014141	cher
GlyP	FBgn0004507	GlyP
Hsp83	FBgn0001233	Hsp83
futsch	FBgn0259108	futsch
Zasp52	FBgn0265991	Zasp52
Strn-Mlck	FBgn0265045	Strn-Mlck
Dhc64C	FBgn0261797	Dhc64C
tral	FBgn0041775	tral
Acon	FBgn0010100	mAcon1
PyK	FBgn0267385	PyK
Nc73EF	FBgn0010352	Ogdh
blw	FBgn0011211	blw
Actn	FBgn0000667	Actn
ATPsynbeta	FBgn0010217	ATPsynÎ²
ATPsynbeta	FBgn0019644	ATPsynB
zip	FBgn0287873	zip
zip	FBgn0004055	uzip
Nc73EF	FBgn0010352	Ogdh
CG34417	FBgn0085446	CG34417
Chc	FBgn0000319	Chc
PCB	FBgn0027580	PCB
zip	FBgn0287873	zip
zip	FBgn0004055	uzip
Argk	FBgn0000116	Argk1
Argk	FBgn0000116	Argk1
CG9674	FBgn0036663	CG9674
Yp1	FBgn0004045	Yp1
FASN3	FBgn0287184	FASN3
EF2	FBgn0000559	eEF2
Yp2	FBgn0005391	Yp2
Eno	FBgn0000579	Eno
Zasp52	FBgn0265991	Zasp52
Hsc70Cb	FBgn0026418	Hsc70Cb
Hsc70-5	FBgn0001220	Hsc70-5
Prm	FBgn0003149	Prm
Nup358	FBgn0039302	Nup358
Ald	FBgn0000063	Mps1
Ald	FBgn0000064	Ald1
Ald	FBgn0039425	Ald2
Pgk	FBgn0250906	Pgk
Dp1	FBgn0027835	Dp1
Dp1	FBgn0011763	Dp
Act88F	FBgn0000047	Act88F
CG43078	FBgn0262508	CG43078
UQCR-C2	FBgn0250814	UQCR-C2
Ppn	FBgn0003137	Ppn
Act79B	FBgn0000045	Act79B
Hsc70-4	FBgn0266599	Hsc70-4
porin	FBgn0004363	porin
Gpdh	FBgn0001128	Gpdh1
PMCA	FBgn0259214	PMCA
kst	FBgn0004167	kst
poe	FBgn0011230	poe
Hsp60	FBgn0011244	Hsp60B
Hsp60	FBgn0015245	Hsp60A
Hsp60	FBgn0031728	Hsp60C
Hsc70Cb	FBgn0026418	Hsc70Cb
PMCA	FBgn0259214	PMCA
Pdi	FBgn0286818	Pdi
rhea	FBgn0260442	rhea
rhea	FBgn0035909	ergic53
Gapdh2	FBgn0001092	Gapdh2
CG8036	FBgn0037607	CG8036
Gpo-1	FBgn0022160	Gpo1
kdn	FBgn0261955	kdn
kdn	FBal0005683	kdn[PC64]
lost	FBgn0263594	lost
TppII	FBgn0020370	TppII
bsf	FBgn0284256	bsf
betaTub56D	FBgn0284243	Î²Tub56D
LanA	FBgn0002526	LanA
cora	FBgn0010434	cora
Yp3	FBgn0004047	Yp3
yl	FBgn0004649	yl
Mtor	FBgn0013756	Mtor
Mtor	FBgn0021796	Tor
ATPCL	FBgn0020236	ATPCL
zormin	FBgn0052311	zormin
eIF4G1	FBgn0023213	eIF4G1
nocte	FBgn0261710	nocte
nocte	FBal0191615	nocte[1]
Cat	FBgn0000261	Cat
Cat	FBab0002301	Df(3L)Cat
