hgnc_symbol,hgnc_id,go_name,go_id,go_domain,ncon_gene,ncon_go,global_padj,gene_padj,pval,sim,sem_sim,cilow_global_padj,ciupp_global_padj,cilow_gene_padj,ciupp_gene_padj,cilow_pval,ciupp_pval
MCCC1,6936,mitochondrial matrix,GO:0005759,cellular component,11,10,8.698e-02,1.803e-02,4.770e-03,9.428e-01,9.792e-03,8.294e-02,9.123e-02,1.226e-02,2.650e-02,2.412e-03,9.430e-03
MCCC1,6936,methylcrotonoyl-CoA carboxylase activity,GO:0004485,molecular function,11,2,8.790e-02,1.814e-02,4.988e-03,9.441e-01,5.051e-03,8.550e-02,9.036e-02,1.239e-02,2.657e-02,3.341e-03,7.447e-03
MCCC1,6936,mitochondrion,GO:0005739,cellular component,11,16,8.922e-02,3.450e-02,2.382e-02,8.102e-01,1.177e-02,8.462e-02,9.407e-02,3.051e-02,3.901e-02,1.967e-02,2.884e-02
MCCC1,6936,methylcrotonoyl-CoA carboxylase complex,GO:1905202,cellular component,11,3,8.932e-02,3.104e-02,1.840e-02,8.483e-01,2.689e-02,8.527e-02,9.356e-02,2.785e-02,3.459e-02,1.187e-02,2.852e-02
MCCC1,6936,CoA carboxylase activity,GO:0016421,molecular function,11,6,9.651e-02,3.951e-02,2.777e-02,7.881e-01,4.063e-02,8.627e-02,1.080e-01,2.755e-02,5.665e-02,1.424e-02,5.416e-02
MCCC1,6936,protein binding,GO:0005515,molecular function,11,157,1.636e-01,9.033e-02,9.033e-02,6.122e-01,1.833e-02,1.372e-01,1.950e-01,6.850e-02,1.191e-01,6.850e-02,1.191e-01
HNRNPA2B1,5033,spliceosomal complex,GO:0005681,cellular component,21,13,8.790e-02,8.340e-02,1.118e-02,8.871e-01,2.546e-02,8.550e-02,9.036e-02,7.864e-02,8.844e-02,4.452e-03,2.809e-02
HNRNPA2B1,5033,N6-methyladenosine-containing RNA binding,GO:1990247,molecular function,21,2,8.790e-02,8.340e-02,1.476e-02,8.780e-01,1.253e-02,8.550e-02,9.036e-02,7.864e-02,8.844e-02,1.140e-02,1.911e-02
HNRNPA2B1,5033,miRNA transport,GO:1990428,biological process,21,3,8.790e-02,8.340e-02,1.508e-02,8.761e-01,1.158e-02,8.550e-02,9.036e-02,7.864e-02,8.844e-02,1.206e-02,1.886e-02
HNRNPA2B1,5033,"mRNA splicing, via spliceosome",GO:0000398,biological process,21,6,8.790e-02,8.403e-02,1.932e-02,8.434e-01,9.664e-03,8.550e-02,9.036e-02,7.886e-02,8.955e-02,1.678e-02,2.224e-02
HNRNPA2B1,5033,mRNA processing,GO:0006397,biological process,21,10,8.790e-02,8.403e-02,2.101e-02,8.292e-01,4.396e-03,8.550e-02,9.036e-02,7.886e-02,8.955e-02,1.971e-02,2.239e-02
HNRNPA2B1,5033,RNA transport,GO:0050658,biological process,21,14,9.100e-02,8.700e-02,2.927e-02,7.799e-01,3.800e-03,8.586e-02,9.645e-02,8.575e-02,8.826e-02,2.746e-02,3.120e-02
HNRNPA2B1,5033,primary miRNA processing,GO:0031053,biological process,21,3,1.099e-01,9.007e-02,4.436e-02,7.191e-01,3.389e-02,8.326e-02,1.452e-01,8.384e-02,9.676e-02,2.547e-02,7.727e-02
HNRNPA2B1,5033,catalytic step 2 spliceosome,GO:0071013,cellular component,21,5,1.129e-01,1.027e-01,4.716e-02,7.091e-01,4.343e-02,7.736e-02,1.649e-01,7.334e-02,1.438e-01,2.344e-02,9.490e-02
HNRNPA2B1,5033,mRNA export from nucleus,GO:0006406,biological process,21,5,1.179e-01,9.855e-02,5.116e-02,6.991e-01,9.428e-03,1.091e-01,1.274e-01,8.770e-02,1.107e-01,4.378e-02,5.978e-02
