#node	identifier	domain_summary_url	annotation	other_names_and_aliases
AQP	7227.FBpp0086879	https://smart.embl.de/smart/DDvec.cgi?smart=276:TRANS(4|26)+TRANS(39|61)+TRANS(66|85)+TRANS(194|216)+TRANS(236|255)+	Aquaporin; Water transmembrane transporter activity. It is involved in the biological process described with: water transport; Belongs to the MIP/aquaporin (TC 1.A.8) family	36456,AAF58409.2,AB036345,ACZ94413.1,AQP,AQP-PA,AQP-PB,AQP-RA,AQP-RB,AQP-dr,Aquaporin,BAB03660.1,CG12251,CG12251-PA,CG12251-PB,CG12251-RA,CG12251-RB,DmelCG12251,Dmel_CG12251,E1JH55,FBan0012251,FBgn0033807,FBpp0086879,FBpp0289514,FBtr0087766,FBtr0300286,NM_001169669,NM_001169669.1,NM_079004,NM_079004.4,NP_001163140,NP_001163140.1,NP_523728,NP_523728.1,Q7KY01,Q7KY01_DROME,UPI000008409A,UPI00001E0C47,aquaporin,aquaporin, isoform B,dme:Dmel_CG12251
Aats-trp	7227.FBpp0081460	https://smart.embl.de/smart/DDvec.cgi?smart=430:Pfam_tRNA-synt_1b(112|403)+	Tryptophanyl-tRNA synthetase; Belongs to the class-I aminoacyl-tRNA synthetase family	45399,6.1.1.2,69654,85D-WRS,AA820699,AAF20166.1,AAF20167.1,AAF54352.1,AAG22136.1,AAL68116.1,ACH92318.1,AF125156,AF125157,AI106951,AI455498,AI543251,AI946287,AY075249,Aats-trp,Aats-trp-PA,Aats-trp-PB,Aats-trp-RA,Aats-trp-RB,BF486891,BT044253,CG9735,CG9735-PA,CG9735-PB,CG9735-RA,CG9735-RB,CZ478826,DmelCG9735,Dmel_CG9735,EC 6.1.1.2,FBan0009735,FBgn0010803,FBgn0037673,FBpp0081460,FBpp0081461,FBtr0081980,FBtr0081981,FI06027p,G00589,NM_080087,NM_080087.2,NM_169264,NM_169264.1,NP_524826,NP_524826.1,NP_731327,NP_731327.1,Q0KI98,Q0KI98_DROME,Q9U4Y0,Q9U4Y1,TrpRS,Tryptophanyl-tRNA synthetase,UPI0000083888,WRS,WRS-85D,dme:Dmel_CG9735,l(3)03559,l(3)03560,l(3)3559,tryptophanyl-tRNA synthetase,wars
Acsl	7227.FBpp0305216	https://smart.embl.de/smart/DDvec.cgi?smart=728:Pfam_AMP-binding(124|595)+Pfam_AMP-binding_C(604|697)+	Acyl-CoA synthetase long-chain, isoform J; Long-chain fatty acid-CoA ligase activity. It is involved in the biological process described with: nervous system development; positive regulation of sequestering of triglyceride; segmentation; early endosome to recycling endosome transport; negative regulation of synaptic growth at neuromuscular junction; long-chain fatty acid metabolic process; synaptic transmission; axon guidance; neurogenesis; negative regulation of BMP signaling pathway	46068,6.2.1.3,7447,A0A0B4KFE4,A0A0B4KFE4_DROME,A1Z7H2,A1Z7H3,AAF59061.2,AAG22300.2,AAK93475.1,AAM11311.1,AAM68830.1,AAO41416.1,AAX52717.1,AAX52718.1,AAX52719.1,AAX52720.1,AAX52721.1,AAX52722.1,AB082069,AEX57187.1,AF006647,AI238038,AI294048,AI531368,AI946131,AW944076,AW944234,AX260211,AY052051,AY094958,AZ301000,Acsl,Acsl-PA,Acsl-PB,Acsl-PC,Acsl-PD,Acsl-PE,Acsl-PF,Acsl-PG,Acsl-PH,Acsl-PI,Acsl-PJ,Acsl-RA,Acsl-RB,Acsl-RC,Acsl-RD,Acsl-RE,Acsl-RF,Acsl-RG,Acsl-RH,Acsl-RI,Acsl-RJ,Acyl-CoA synthetase long-chain,Acyl-CoA synthetase long-chain, isoform I,Acyl-CoA synthetase long-chain, isoform J,BI611549,BT003752,BT132993,CG8732,CG8732-PA,CG8732-PB,CG8732-PC,CG8732-PD,CG8732-PE,CG8732-PF,CG8732-PG,CG8732-PH,CG8732-PI,CG8732-PJ,CG8732-RA,CG8732-RB,CG8732-RC,CG8732-RD,CG8732-RE,CG8732-RF,CG8732-RG,CG8732-RH,CG8732-RI,CG8732-RJ,CZ473939,CZ478430,CZ480451,DmelCG8732,Dmel_CG8732,EC 6.2.1.3,FACS,FBan0008732,FBgn0010609,FBgn0022182,FBgn0033318,FBgn0046428,FBgn0065770,FBgn0263120,FBpp0087779,FBpp0087780,FBpp0087781,FBpp0099845,FBpp0099846,FBpp0099847,FBpp0099848,FBpp0099849,FBpp0099850,FBpp0305216,FBtr0088699,FBtr0088700,FBtr0088701,FBtr0100426,FBtr0100427,FBtr0100428,FBtr0100429,FBtr0100430,FBtr0100431,FBtr0333001,FCS,Fatty acyl CoA synthetase,Fatty acyl-CoA synthetase,G00494,H1UUA9,Long-chain acyl-CoA synthetase,NM_001014507,NM_001014507.1,NM_001014508,NM_001014508.1,NM_001014509,NM_001014509.1,NM_001014510,NM_001014510.1,NM_001014511,NM_001014511.1,NM_001014512,NM_001014512.1,NM_143777,NM_143777.2,NM_170615,NM_170615.1,NM_170616,NM_170616.1,NP_001014507,NP_001014507.1,NP_001014508,NP_001014508.1,NP_001014509,NP_001014509.1,NP_001014510,NP_001014510.1,NP_001014511,NP_001014511.1,NP_001014512,NP_001014512.1,NP_001260810.1,NP_652034,NP_652034.2,NP_724695,NP_724695.1,NP_724696,NP_724696.1,Q86NS4,Q8T3L1,Q960I0,Q9V4W4,UPI0000076024,UPI000008034B,UPI00004ED4D3,anon-WO0172774.173,dAcsl,dFAC,dme:Dmel_CG8732,fatty acyl coenzyme A (CoA) synthetase,l(2)05847,l(2)44DEa,l(2)44DEa-PA,l(2)44DEa-PB,l(2)44DEa-PC,l(2)44DEa-PD,l(2)44DEa-PE,l(2)44DEa-PF,l(2)44DEa-PG,l(2)44DEa-PH,l(2)44DEa-PI,l(2)44DEa-RA,l(2)44DEa-RB,l(2)44DEa-RC,l(2)44DEa-RD,l(2)44DEa-RE,l(2)44DEa-RF,l(2)44DEa-RG,l(2)44DEa-RH,l(2)44DEa-RI,l(2)7447,l(2)SH0465,l(2)SH2 0465,l(2)k05304,lethal (2) 44DEa,lethal (2) SH0465
AdenoK	7227.FBpp0075629	https://smart.embl.de/smart/DDvec.cgi?smart=345:Pfam_PfkB(31|342)+	Adenosine kinase activity; phosphotransferase activity, alcohol group as acceptor. It is involved in the biological process described with: AMP biosynthetic process; purine ribonucleoside salvage	2.7.1.20,39479,64825,AAF49852.1,AAF49853.1,AAL28257.1,AAO39563.1,AI238742,AI293900,AW941803,AY060709,AdenoK,AdenoK-PA,AdenoK-PB,AdenoK-PC,Adenosine kinase, isoform A,Adenosine kinase, isoform C,BT003559,CG11255,CG11255-PA,CG11255-PB,CG11255-RA,CG11255-RB,CL528055,DmAdk2,DmelCG11255,Dmel_CG11255,EC 2.7.1.20,FBan0011255,FBgn0036337,FBpp0075629,FBpp0075630,FBtr0075895,FBtr0075896,GH14845p,NM_140367,NM_140367.3,NM_168532,NM_168532.2,NP_001287054,NP_001287054.1,NP_648624,NP_648624.1,NP_729863,NP_729863.1,Q86NZ5,Q9VU38,Q9VU39,Q9VU39_DROME,UPI000007BFF7,UPI00000828FC,adenosine kinase, isoform C,dme:Dmel_CG11255
Ahcy13	7227.FBpp0073847	https://smart.embl.de/smart/DDvec.cgi?smart=432:AdoHcyase_NAD(191|352)+	Adenosylhomocysteinase; Adenosylhomocysteine is a competitive inhibitor of S- adenosyl-L-methionine-dependent methyl transferase reactions; therefore adenosylhomocysteinase may play a key role in the control of methylations via regulation of the intracellular concentration of adenosylhomocysteine	3.3.1.1,32471,58824,AA695242,AAF48453.1,AAM27497.1,AY102668,Adenosylhomocysteinase,Adenosylhomocysteinase at 13,AdoHcyase,Ahcy,Ahcy13,Ahcy13-PA,Ahcy13-PB,Ahcy13-PC,Ahcy13-RA,Ahcy13-RB,CAA64892.1,CG11654,CG11654-PA,CG11654-PB,CG11654-RA,CG11654-RB,DmelCG11654,EC 3.3.1.1,FBan0011654,FBgn0014455,FBpp0073847,FBpp0304841,FBtr0074030,FBtr0332590,NM_078609,NM_078609.3,NP_001285268,NP_001285268.1,NP_511164,NP_511164.2,Q27580,Q8MZI1,Q9VXV5,S-Adenosyl-L-homocysteine hydrolase,S-adenosyl-L-homocysteine hydrolase,SAHH,SAHH_DROME,UPI000007EE9C,X95636,adenosylhomocysteinase, isoform C,ahcY,dme:Dmel_CG11654
Akh	7227.FBpp0073069	https://smart.embl.de/smart/DDvec.cgi?smart=79:SIGNAL(1|22)+Pfam_Adipokin_hormo(23|77)+	Adipokinetic hormone (Akh) is a peptide hormone secreted by the corpora cardiaca. Akh signals to the G-protein coupled receptor AkhR to regulate circulating hemolymph carbohydrates and stored lipid and glycogen in the fat body	38495,AAB00099.1,AAF47846.1,ACK77621.2,AKH,AKH_DROME,Adipokinetic hormone,Adipokinetic hormone-like,Akh,Akh-PA,Akh-RA,B7FNL4,BT053704,CG1171,CG1171-PA,CG1171-RA,DmelCG1171,Drm-AKH,FBan0001171,FBgn0004086,FBgn0004508,FBgn0004552,FBpp0073069,FBtr0073213,Hrth,Hypertrehalosaemic hormone,Hypertrehaloseaemic-hormone,L23764,NM_079194,NM_079194.2,NP_523918,NP_523918.1,P17975,P61855,Q9VZH6,UPI00001245F2,adipo- kinetic hormone,adipokinetic hormone,akh,dAKH,dAkh,dme:Dmel_CG1171
Arf79F	7227.FBpp0289184	https://smart.embl.de/smart/DDvec.cgi?smart=182:ARF(1|181)+	ADP-ribosylation factor 1; GTP-binding protein involved in protein trafficking; has a role in Golgi organization and may modulate vesicle budding and uncoating within the Golgi apparatus (Probable). Has a role in eye development. Required for cleavage furrow ingression in embryonic cells	40506,65734,A4V2B1,A8JNX4,AA697122,AA820950,AAB27066.1,AAF51871.1,AAF51872.1,AAF51873.1,AAF51874.1,AAL25414.1,AAN12207.1,ABW08583.1,ABW08584.2,AC005720,ADP ribosylation factor 79F,ADP ribosylation factor at 79F,ADP ribosylation factor at 79F, isoform F,ADP-ribosylation factor 1,AI455558,AI945226,ARF-1,ARF1,ARF1_DROME,AY060375,Arf,Arf1,Arf79F,Arf79F-PA,Arf79F-PB,Arf79F-PC,Arf79F-PE,Arf79F-PF,Arf79F-PH,Arf79F-PI,Arf79F-PJ,Arf79F-RA,Arf79F-RB,Arf79F-RC,Arf79F-RE,Arf79F-RF,Arf79F-RH,Arf79F-RI,Arf79F-RJ,Arf79f,BZ665534,CG8385,CG8385-PA,CG8385-PB,CG8385-PC,CG8385-PE,CG8385-PF,CG8385-PH,CG8385-PI,CG8385-PJ,CG8385-RA,CG8385-RB,CG8385-RC,CG8385-RE,CG8385-RF,CG8385-RH,CG8385-RI,CG8385-RJ,CL705830,CZ470655,CZ470656,CZ471876,Darf1,Dm Arf79F,DmelCG8385,FBan0008385,FBgn0010348,FBpp0078222,FBpp0078224,FBpp0078225,FBpp0078226,FBpp0111771,FBpp0289184,FBpp0289185,FBpp0304364,FBtr0078571,FBtr0078573,FBtr0078574,FBtr0078575,FBtr0112858,FBtr0299906,FBtr0299907,FBtr0332054,NM_001104197,NM_001104197.2,NM_001104198,NM_001104198.2,NM_057607,NM_057607.5,NM_168970,NM_168970.3,NM_168971,NM_168971.3,NM_168972,NM_168972.3,NM_168973,NM_168973.3,NP_001097667,NP_001097667.1,NP_001097668,NP_001097668.2,NP_001262225.1,NP_476955,NP_476955.1,NP_730757,NP_730757.1,NP_730758,NP_730758.1,NP_730759,NP_730759.1,NP_730760,NP_730760.1,P35676,P61209,Q9VNQ2,S62079,UPI0000124967,dARF79F,dARFI,dme:Dmel_CG8385,unnamed
Argk	7227.FBpp0076270	https://smart.embl.de/smart/DDvec.cgi?smart=562:Pfam_ATP-gua_PtransN(226|293)+Pfam_ATP-gua_Ptrans(353|562)+	Arginine kinase activity. It is involved in the biological process described with: phosphorylation; Belongs to the ATP:guanido phosphotransferase family	2.7.3.3,39041,64445,A8JNP1,A8JNP2,AA694669,AAA68172.1,AAA68173.1,AAF50325.2,AAF50326.2,AAL39244.1,AAN11982.1,AAN11983.1,ABW08501.1,ABW08502.2,AI134260,AI134638,AI402280,AK,AK-1,ARK,AW940421,AY069099,ArgK,Arginine kinase,Argk,Argk-PA,Argk-PB,Argk-PC,Argk-PD,Argk-PE,Argk-PG,Argk-PH,Argk-RA,Argk-RB,Argk-RC,Argk-RD,Argk-RE,Argk-RG,BG633525,CG32031,CG32031-PA,CG32031-PB,CG32031-PC,CG32031-PD,CG32031-PE,CG32031-PG,CG32031-RA,CG32031-RB,CG32031-RC,CG32031-RD,CG32031-RE,CG32031-RG,CG4929,CG5173,CL528268,CZ470400,CZ475247,CZ475248,CZ475957,CZ478742,CZ487889,DmelCG32031,EC 2.7.3.3,FBan0032031,FBgn0000116,FBgn0035958,FBgn0052031,FBpp0076270,FBpp0076271,FBpp0076272,FBpp0076273,FBpp0111703,FBpp0303940,FBtr0076543,FBtr0076544,FBtr0076545,FBtr0076546,FBtr0112791,FBtr0331550,KARG_DROME,NM_001104085,NM_001104085.1,NM_001104086,NM_001104086.1,NM_079264,NM_079264.2,NM_168311,NM_168311.2,NM_168312,NM_168312.1,NM_168313,NM_168313.2,NP_001097555,NP_001097555.1,NP_001097556,NP_001097556.2,NP_001286989.1,NP_523988,NP_523988.2,NP_729446,NP_729446.1,NP_729447,NP_729447.1,NP_729448,NP_729448.1,P48610,Q8IQB9,Q8IQC0,Q8T0S2,Q9VST5,Q9VST6,U26939,U26940,UPI000007B57F,UPI0000080A66,UPI00000845A6,UPI00000845A7,UPI00015D9A42,arginine kinase,arginine kinase, isoform G,dme:Dmel_CG32031,insect intestinal mucin iim22
Arl1	7227.FBpp0075272	https://smart.embl.de/smart/DDvec.cgi?smart=180:ARF(1|180)+	ADP-ribosylation factor-like protein 1; GTP-binding protein involved in protein trafficking; may modulate vesicle budding and uncoating within the Golgi apparatus	39745,65056,72CDd,AAA28365.1,AAF49556.2,AAN71215.1,ADP ribosylation factor-like 1,ADP-ribosylation factor-like protein 1,AI946889,ARL1,ARL1_DROME,Arf,Arf-like 1,Arf72A,Arf72A-PA,Arf72A-RA,Arflike at 72A,Arl1,Arl1-PA,BI354322,BT001460,BcDNA:GM20805,CG 6025,CG6025,CG6025-PA,CG6025-RA,CZ487245,DmelCG6025,FBan0006025,FBgn0000115,FBgn0016902,FBgn0064936,FBpp0075272,FBtr0075517,M61127,NM_079374,NM_079374.3,NP_524098,NP_524098.2,P25160,Q9VUW7,UPI0000001B05,arf72A,arf[72A],arl,dARL1p,dArl1,dme:Dmel_CG6025,l(3)72Ae,l(3)72CDd,unnamed
Arpc1	7227.FBpp0080146	https://smart.embl.de/smart/DDvec.cgi?smart=377:WD40(44|83)+WD40(89|128)+WD40(138|174)+WD40(199|238)+WD40(321|362)+	Actin-related protein 2/3 complex, subunit 1 (Arpc1) is one of seven components of the highly conserved Arp2/3 complex. The Arp2/3 complex is required for many cellular and developmental processes requiring F-actin polymerization, including germline ring canal growth, embryonic cellularization, myoblast fusion, and endocytosis	34793,34Dd,60826,AA140648,AAF44823,AAF53339.1,AAL14007.1,AAN10852.1,AI534073,AJ133649,ARC-P41,ARPC1,ARPC1/p41,AW944461,AY058778,Actin-related protein 2/3 complex subunit,Arc41,ArcP41,ArpC1,Arpc1,Arpc1-PA,Arpc1-PB,BG:DS00941.7,CAB38634.1,CG8978,CG8978-PA,CG8978-PB,CG8978-RA,CG8978-RB,D-sop2,DSop2,DmelCG8978,Dmel_CG8978,Dsop2,FBan0008978,FBgn0001961,FBpp0080146,FBpp0080147,FBtr0080569,FBtr0080570,NM_057248,NM_057248.4,NM_165063,NM_165063.2,NP_476596,NP_476596.1,NP_723845,NP_723845.1,O97182,O97182_DROME,Sop2,Sop2-PA,Sop2-PB,Sop2-RA,Sop2-RB,Spo2,Suppressor of,Suppressor of Profilin 2,Suppressor of profilin 2,UPI0000083F90,arc41,arpc1,br32,dme:Dmel_CG8978,l(2)34Dd,l(2)Sop2,l(2)br32,lethal(2)34Dd,p41,p42,profilin 2,sop,sop2,sop2/arc41
