"","Description","daGAL4_plus1","daGAL4_plus2","daGAL4_plus3","daGAL4_plus4","daGAL4_plus5","daGAL4_Ab_ARC1","daGAL4_Ab_ARC2","daGAL4_Ab_ARC3","daGAL4_Ab_ARC4","daGAL4_Ab_ARC5","logFC","adj.P.Val","gene_name","symbol","cutoff1"
"1","Bent, isoform I OS=Drosophila melanogaster GN=bt PE=1 SV=1",10.702,10.998,10.638,10.744,10.849,10.469,10.493,10.401,10.302,10.418,-0.37,0.011,"Bent, isoform I","bt","no_change"
"2","Bent, isoform H OS=Drosophila melanogaster GN=bt PE=1 SV=1",8.556,9.004,8.623,8.703,8.833,8.455,8.557,8.39,8.233,8.436,-0.33,0.027,"Bent, isoform H","bt","no_change"
"3","Sallimus, isoform P OS=Drosophila melanogaster GN=sls PE=4 SV=1",13.656,14.187,13.642,13.856,13.84,13.535,13.622,13.529,13.302,13.728,-0.293,0.067,"Sallimus, isoform P","sls","no_change"
"4","Myosin heavy chain, isoform P OS=Drosophila melanogaster GN=Mhc PE=1 SV=1",6.914,7.637,8.099,7.583,7.387,7.625,7.745,7.908,8.45,11.222,1.066,0.183,"Myosin heavy chain, isoform P","Mhc","up"
"5","Apolipophorins OS=Drosophila melanogaster GN=Rfabg PE=1 SV=2",14.252,14.153,14.143,14.124,14.139,14.05,14.123,14.224,14.41,14.571,0.113,0.352,"Apolipophorins","Rfabg","no_change"
"6","Myosin heavy chain, isoform U OS=Drosophila melanogaster GN=Mhc PE=1 SV=1",6.073,5.882,6.541,5.76,5.809,6.115,6.57,6.648,7.352,9.651,1.254,0.1,"Myosin heavy chain, isoform U","Mhc","up"
"7","Myosin heavy chain, isoform T OS=Drosophila melanogaster GN=Mhc PE=1 SV=1",3.838,4.27,4.636,4.078,4.148,4.445,4.387,4.448,4.902,7.945,1.032,0.196,"Myosin heavy chain, isoform T","Mhc","up"
"8","Obscurin OS=Drosophila melanogaster GN=Unc-89 PE=1 SV=1",13.5,13.581,13.49,13.416,13.515,13.252,13.316,13.32,13.355,13.505,-0.151,0.072,"Obscurin","Unc-89","no_change"
"9","Muscle-specific protein 300 kDa, isoform B OS=Drosophila melanogaster GN=Msp300 PE=1 SV=1",12.958,13.159,12.903,12.9,13.094,12.759,12.876,12.819,12.804,12.972,-0.157,0.097,"Muscle-specific protein 300 kDa, isoform B","Msp300","no_change"
"10","Fatty acid synthase 1, isoform C OS=Drosophila melanogaster GN=FASN1 PE=1 SV=2",13.096,12.857,13.007,12.775,13.068,12.897,12.966,13.198,13.485,13.788,0.306,0.148,"Fatty acid synthase 1, isoform C","FASN1","no_change"
"11","Short stop, isoform H OS=Drosophila melanogaster GN=shot PE=1 SV=1",10.883,11.056,10.941,10.945,11.047,10.862,10.723,10.695,10.74,10.713,-0.228,0.019,"Short stop, isoform H","shot","no_change"
"12","Stretchin-Mlck, isoform R OS=Drosophila melanogaster GN=Strn-Mlck PE=1 SV=2",12.849,12.649,12.572,12.512,12.294,12.473,12.443,12.875,13.146,13.208,0.254,0.24,"Stretchin-Mlck, isoform R","Strn-Mlck","no_change"
"13","Alpha spectrin, isoform C OS=Drosophila melanogaster GN=alpha-Spec PE=4 SV=1",12.463,12.785,12.535,12.581,12.49,12.605,12.66,12.705,12.811,12.977,0.181,0.118,"Alpha spectrin, isoform C","alpha-Spec","no_change"
"14","Calcium-transporting ATPase sarcoplasmic/endoplasmic reticulum type OS=Drosophila melanogaster GN=Ca-P60A PE=1 SV=2",7.529,7.367,7.435,7.339,7.437,7.332,7.424,7.57,7.348,7.345,-0.018,0.839,"Calcium-transporting ATPase sarcoplasmic/endoplasmic reticulum type","Ca-P60A","no_change"
"15","Calcium-transporting ATPase OS=Drosophila melanogaster GN=SERCA PE=1 SV=1",6.876,6.954,6.74,6.658,6.934,6.676,6.738,6.374,6.212,6.41,-0.35,0.034,"Calcium-transporting ATPase","SERCA","no_change"
"16","Ryanodine receptor, isoform E OS=Drosophila melanogaster GN=RyR PE=1 SV=1",6.761,6.409,6.453,6.407,6.733,6.561,6.46,6.618,6.823,6.665,0.073,0.564,"Ryanodine receptor, isoform E","RyR","no_change"
"17","Ryanodine receptor OS=Drosophila melanogaster GN=RyR PE=1 SV=3",7.376,6.999,7.229,7.199,7.202,7.088,7.391,7.275,7.336,7.299,0.077,0.457,"Ryanodine receptor","RyR","no_change"
"18","Spectrin beta chain OS=Drosophila melanogaster GN=beta-Spec PE=1 SV=2",7.456,8.214,7.874,8.043,7.821,7.636,7.486,7.154,7.176,7.101,-0.571,0.022,"Spectrin beta chain","beta-Spec","no_change"
"19","Spectrin beta chain OS=Drosophila melanogaster GN=beta-Spec PE=3 SV=1",7.174,7.92,7.264,7.445,7.252,7.401,7.468,7.082,7.029,6.924,-0.23,0.253,"Spectrin beta chain","beta-Spec","no_change"
"20","Muscle-specific protein 300 kDa, isoform G OS=Drosophila melanogaster GN=Msp300 PE=1 SV=1",11.652,11.859,11.738,11.719,11.807,11.571,11.522,11.37,11.342,11.373,-0.32,0.012,"Muscle-specific protein 300 kDa, isoform G","Msp300","no_change"
"21","Acetyl-CoA carboxylase, isoform A OS=Drosophila melanogaster GN=ACC PE=1 SV=1",12.61,12.527,12.565,12.457,12.623,12.481,12.472,12.582,12.699,12.786,0.047,0.617,"Acetyl-CoA carboxylase, isoform A","ACC","no_change"
"22","Uncharacterized protein OS=Drosophila melanogaster GN=CG13492 PE=4 SV=3",11.465,11.696,11.544,11.618,11.541,11.529,11.64,11.609,11.635,11.674,0.044,0.554,"Uncharacterized protein","CG13492","no_change"
"23","Sodium/potassium-transporting ATPase subunit alpha OS=Drosophila melanogaster GN=Atpalpha PE=1 SV=3",4.26,3.251,4.17,3.675,3.859,4.215,3.968,3.86,4.115,4.567,0.302,0.232,"Sodium/potassium-transporting ATPase subunit alpha","Atpalpha","no_change"
"24","Sodium/potassium-transporting ATPase subunit alpha OS=Drosophila melanogaster GN=Atpalpha PE=1 SV=1",4.772,5.069,4.604,5.013,5.148,4.606,4.902,4.389,4.239,4.468,-0.4,0.049,"Sodium/potassium-transporting ATPase subunit alpha","Atpalpha","no_change"
"25","Cheerio, isoform M OS=Drosophila melanogaster GN=cher PE=1 SV=1",12.677,12.714,12.705,12.697,12.746,12.582,12.637,12.58,12.574,12.679,-0.098,0.114,"Cheerio, isoform M","cher","no_change"
"26","Glycogen phosphorylase OS=Drosophila melanogaster GN=GlyP PE=2 SV=2",12.6,12.363,12.271,12.44,12.503,12.723,12.575,12.909,13.167,13.414,0.522,0.026,"Glycogen phosphorylase","GlyP","no_change"
"27","Heat shock protein 83 OS=Drosophila melanogaster GN=Hsp83 PE=1 SV=1",12.907,12.851,12.888,12.866,12.758,12.831,13.036,13.104,13.146,13.084,0.186,0.055,"Heat shock protein 83","Hsp83","no_change"
"28","Futsch, isoform F OS=Drosophila melanogaster GN=futsch PE=1 SV=1",12.175,12.287,12.284,12.266,12.284,12.125,12.105,11.965,11.89,11.921,-0.258,0.017,"Futsch, isoform F","futsch","no_change"
"29","PDZ and LIM domain protein Zasp OS=Drosophila melanogaster GN=Zasp52 PE=1 SV=2",9.877,9.652,9.798,9.71,9.817,9.679,9.901,10.057,10.299,10.816,0.38,0.113,"PDZ and LIM domain protein Zasp","Zasp52","no_change"
"30","Stretchin-Mlck, isoform S OS=Drosophila melanogaster GN=Strn-Mlck PE=1 SV=1",11.838,12.091,11.944,11.904,12.007,11.693,11.714,11.529,11.491,11.573,-0.357,0.009,"Stretchin-Mlck, isoform S","Strn-Mlck","no_change"
"31","Dynein heavy chain 64C, isoform I OS=Drosophila melanogaster GN=Dhc64C PE=1 SV=1",12.117,11.958,12.027,11.932,12.019,12.033,12.109,12.196,12.246,12.299,0.166,0.069,"Dynein heavy chain 64C, isoform I","Dhc64C","no_change"
"32","Trailer hitch, isoform H OS=Drosophila melanogaster GN=tral PE=1 SV=1",11.171,10.831,11.266,11.108,10.854,11.341,11.549,11.487,11.743,11.431,0.464,0.015,"Trailer hitch, isoform H","tral","no_change"
"33","Aconitate hydratase, mitochondrial OS=Drosophila melanogaster GN=Acon PE=1 SV=2",12.553,12.388,12.44,12.283,12.421,12.472,12.554,12.67,12.848,13.211,0.334,0.064,"Aconitate hydratase, mitochondrial","Acon","no_change"
"34","Pyruvate kinase OS=Drosophila melanogaster GN=PyK PE=2 SV=2",12.302,12.357,12.276,12.256,12.316,12.21,12.284,12.39,12.592,13.044,0.203,0.253,"Pyruvate kinase","PyK","no_change"
"35","Neural conserved at 73EF, isoform I OS=Drosophila melanogaster GN=Nc73EF PE=1 SV=1",9.831,9.775,9.868,9.809,9.832,9.694,9.732,9.655,9.647,9.681,-0.141,0.039,"Neural conserved at 73EF, isoform I","Nc73EF","no_change"
"36","ATP synthase subunit alpha, mitochondrial OS=Drosophila melanogaster GN=blw PE=1 SV=2",13.456,13.629,13.327,13.321,13.406,13.379,13.412,13.398,13.498,13.689,0.047,0.66,"ATP synthase subunit alpha, mitochondrial","blw","no_change"
"37","Alpha-actinin, sarcomeric OS=Drosophila melanogaster GN=Actn PE=1 SV=2",12.48,12.585,12.366,12.355,12.657,12.143,12.131,12.25,12.297,12.705,-0.183,0.212,"Alpha-actinin, sarcomeric","Actn","no_change"
"38","ATP synthase subunit beta OS=Drosophila melanogaster GN=ATPsynbeta PE=1 SV=1",12.377,12.117,12.237,12.055,12.225,12.252,12.299,12.483,12.922,13.509,0.491,0.095,"ATP synthase subunit beta","ATPsynbeta","no_change"
"39","Myosin heavy chain, non-muscle OS=Drosophila melanogaster GN=zip PE=1 SV=2",6.326,6.158,6.442,6.188,6.71,6.109,6.137,5.843,6.085,6.367,-0.257,0.114,"Myosin heavy chain, non-muscle","zip","no_change"
