"X.SUBMITTED.ID","H_SAPIENS_ORTHOLOGS","M_MUSCULUS_ORTHOLOGS","cx","logFC","adj.P.Val","symbol_clean","significant","detected"
"FBgn0001989","Hsap\NDUFB6","Mmus\Ndufb6","Cx1_all",-0.017,0.83,"ND-B17",FALSE,TRUE
"FBgn0010217","Hsap\KDM6B <newline> Hsap\ATP5F1B <newline> Hsap\JARID2 <newline> Hsap\KDM5B <newline> Hsap\KDM5C <newline> Hsap\KDM6A <newline> Hsap\KDM5A <newline> Hsap\ATP5PB","Mmus\Atp5b <newline> Mmus\Kdm5b <newline> Mmus\Kdm5d <newline> Mmus\Kdm6a <newline> Mmus\Uty <newline> Mmus\Kdm6b <newline> Mmus\Kdm5a <newline> Mmus\Kdm5c <newline> Mmus\Jarid2 <newline> Mmus\Atp5f1","Cx5",0.491,0.095,"ATPsynbeta",FALSE,TRUE
"FBgn0011211","Hsap\ATP5F1A","Mmus\Atp5a1","Cx5",0.047,0.66,"blw",FALSE,TRUE
"FBgn0011227","Hsap\UQCR10","Mmus\Uqcr10","Cx3",1.942,0.026,"ox",TRUE,TRUE
"FBgn0011361","Hsap\NDUFAB1","Mmus\Ndufab1","Cx1_all",0.308,0.144,"ND-ACP",FALSE,TRUE
"FBgn0011455","Hsap\NDUFB5","Mmus\Ndufb5","Cx1_all",0.382,0.033,"ND-SGDH",TRUE,TRUE
"FBgn0013674","Hsap\COX1","Mmus\COX1","Cx4",0.105,0.636,"mt:CoI",FALSE,TRUE
"FBgn0013675","Hsap\COX2 <newline> Hsap\MTCO2P12","Mmus\COX2","Cx4",0.325,0.143,"mt:CoII",FALSE,TRUE
"FBgn0013676","Hsap\COX3","Mmus\COX3","Cx4",NA,NA,NA,NA,FALSE
"FBgn0013678","Hsap\CYTB","Mmus\CYTB","Cx3",-0.986,0.001,"mt:Cyt-b",TRUE,TRUE
"FBgn0013679","Hsap\ND1","Mmus\ND1","Cx1_all",NA,NA,NA,NA,FALSE
"FBgn0013680","Hsap\ND2 <newline> Hsap\ND5","Mmus\ND2","Cx1_all",NA,NA,NA,NA,FALSE
"FBgn0013681","Hsap\ND3","Mmus\ND3","Cx1_all",-0.015,0.871,"mt:ND3",FALSE,TRUE
"FBgn0013683","Hsap\ND4L","Mmus\ND4L","Cx1_all",NA,NA,NA,NA,FALSE
"FBgn0013684","Hsap\ND5","Mmus\ND5","Cx1_all",1.366,0.038,"mt:ND5",TRUE,TRUE
"FBgn0013685","Hsap\ND6","Mmus\ND6","Cx1_all",NA,NA,NA,NA,FALSE
"FBgn0014028","Hsap\SDHB","Mmus\Sdhb","Cx2",0.526,0.059,"SdhB",FALSE,TRUE
"FBgn0015031","Hsap\COX6C","Mmus\Cox6c","Cx4",0.26,0.124,"cype",FALSE,TRUE
"FBgn0017566","Hsap\NDUFS1","Mmus\Ndufs1","Cx1_all",0.537,0.028,"ND-75",TRUE,TRUE
"FBgn0017567","Hsap\MIR7113 <newline> Hsap\NDUFS8","Mmus\Ndufs8","Cx1_all",0.639,0.023,"ND-23",TRUE,TRUE
"FBgn0019624","Hsap\COX5A","Mmus\Cox5a","Cx4",0.017,0.917,"COX5A",FALSE,TRUE
"FBgn0019957","Hsap\NDUFA10 <newline> Hsap\DGUOK <newline> Hsap\DCK <newline> Hsap\TK2","Mmus\Ndufa10 <newline> Mmus\Dguok <newline> Mmus\Dck <newline> Mmus\Tk2","Cx1_all",0.216,0.08,"ND-42",FALSE,TRUE
"FBgn0021906","Hsap\UQCRFS1 <newline> Hsap\UQCRFS1P1","Mmus\Uqcrfs1","Cx3",0.306,0.327,"RFeSP",FALSE,TRUE
"FBgn0021967","Hsap\NDUFB10","Mmus\Ndufb10","Cx1_all",0.079,0.377,"ND-PDSW",FALSE,TRUE
"FBgn0025839","Hsap\NDUFA7","Mmus\Ndufa7","Cx1_all",0.001,0.988,"ND-B14.5A",FALSE,TRUE
"FBgn0027785","Hsap\NDUFB11","Mmus\Ndufb11 <newline> Mmus\1700029P11Rik","Cx1_all",1.807,0.065,"NP15.6",FALSE,TRUE
"FBgn0029868","Hsap\YJEFN3 <newline> Hsap\NDUFA13","Mmus\Ndufa13","Cx1_all",-0.043,0.587,"ND-B16.6",FALSE,TRUE
"FBgn0029888","Hsap\NDUFB8","Mmus\Ndufb8","Cx1_all",0.162,0.089,"ND-ASHI",FALSE,TRUE
"FBgn0029971","Hsap\NDUFB1","-","Cx1_all",NA,NA,NA,NA,FALSE
"FBgn0030292","Hsap\NDUFV3","Mmus\Ndufv3","Cx1_all",0.584,0.031,"CG11752",TRUE,TRUE
"FBgn0030605","Hsap\NDUFB7","Mmus\Ndufb7","Cx1_all",1.66,0.018,"ND-B18",TRUE,TRUE
"FBgn0030718","Hsap\NDUFS7","Mmus\Ndufs7","Cx1_all",0.744,0.027,"ND-20",TRUE,TRUE
"FBgn0030733","Hsap\UQCRB","Mmus\Uqcrb","Cx3",0.632,0.084,"UQCR-14",FALSE,TRUE
"FBgn0030853","Hsap\NDUFV2","Mmus\Ndufv2","Cx1_all",0.061,0.428,"ND-24",FALSE,TRUE
"FBgn0030975","Hsap\SDHB","Mmus\Sdhb","Cx2",NA,NA,NA,NA,FALSE
"FBgn0031021","Hsap\NDUFS4","Mmus\Ndufs4","Cx1_all",0.634,0.044,"ND-18",TRUE,TRUE
"FBgn0031066","Hsap\COX6B2 <newline> Hsap\COX6B1 <newline> Hsap\COA6 <newline> Hsap\NLRP5 <newline> Hsap\KRAS","Mmus\Cox6b2 <newline> Mmus\Coa6 <newline> Mmus\Cox6b1","Cx4",0.28,0.023,"vib",TRUE,TRUE
"FBgn0031066","Hsap\COX6B2 <newline> Hsap\COX6B1 <newline> Hsap\COA6 <newline> Hsap\NLRP5 <newline> Hsap\KRAS","Mmus\Cox6b2 <newline> Mmus\Coa6 <newline> Mmus\Cox6b1","Cx4",1.024,0.094,"COX6B",FALSE,TRUE
