#node	identifier	domain_summary_url	annotation	other_names_and_aliases
AQP	7227.FBpp0086879	https://smart.embl.de/smart/DDvec.cgi?smart=276:TRANS(4|26)+TRANS(39|61)+TRANS(66|85)+TRANS(194|216)+TRANS(236|255)+	Aquaporin; Water transmembrane transporter activity. It is involved in the biological process described with: water transport; Belongs to the MIP/aquaporin (TC 1.A.8) family	36456,AAF58409.2,AB036345,ACZ94413.1,AQP,AQP-PA,AQP-PB,AQP-RA,AQP-RB,AQP-dr,Aquaporin,BAB03660.1,CG12251,CG12251-PA,CG12251-PB,CG12251-RA,CG12251-RB,DmelCG12251,Dmel_CG12251,E1JH55,FBan0012251,FBgn0033807,FBpp0086879,FBpp0289514,FBtr0087766,FBtr0300286,NM_001169669,NM_001169669.1,NM_079004,NM_079004.4,NP_001163140,NP_001163140.1,NP_523728,NP_523728.1,Q7KY01,Q7KY01_DROME,UPI000008409A,UPI00001E0C47,aquaporin,aquaporin, isoform B,dme:Dmel_CG12251
Act57B	7227.FBpp0071448	https://smart.embl.de/smart/DDvec.cgi?smart=376:ACTIN(6|376)+	Actin-57B; Actins are highly conserved proteins that are involved in various types of cell motility and are ubiquitously expressed in all eukaryotic cells	37368,63011,AA816722,AAA28319.1,AAF46640.1,AAL90273,ACT3_DROME,ACU24740.1,ACV91653.1,ACZ94491.1,AW941569,AY089535,Act57,Act57A,Act57B,Act57B-PA,Act57B-PC,Act57B-RA,Act57B-RC,Act57b,Actin,Actin 57B,Actin-57B,Actin57B,BEST:RE38067,BT099500,BT099815,C,C6TP14,C8VV69,CG10067,CG10067-PA,CG10067-PC,CG10067-RA,CG10067-RC,CG30294,CG30294-RA,CK133782,DmelCG10067,E1JGP0,F-actin,FBan0010067,FBgn0000044,FBgn0019861,FBgn0050294,FBgn0065030,FBpp0071448,FBpp0290168,FBtr0071519,FBtr0300946,K00672,K00673,M,NM_001169748,NM_001169748.1,NM_079076,NM_079076.3,NP_001163219,NP_001163219.1,NP_523800,NP_523800.1,P53501,Q9W2Q0,T10,UPI0000000EDE,UPI00000796C8,W91841,act 57A,act57A,actin 57B,anon-EST:CL2c12,dme:Dmel_CG10067,muscle actin 57B
Ady43A	7227.FBpp0088121	https://smart.embl.de/smart/DDvec.cgi?smart=366:Pfam_PfkB(61|366)+	GM02629p; Adenosine kinase activity; phosphotransferase activity, alcohol group as acceptor	2.7.1.20,44750,69246,AAF59279.1,AAM27498.1,AJ236864,AY102669,Adk43A,Ady,Ady43A,Ady43A-PA,Ady43A-RA,CG1851,CG1851-PA,CG1851-RA,CL525995,DmelCG1851,Dmel_CG1851,EC 2.7.1.20,FBan0001851,FBgn0026602,FBgn0033152,FBpp0088121,FBtr0089050,GM02629p,NM_143738,NM_143738.3,NP_651995,NP_651995.1,Q7JWW6,Q7JWW6_DROME,UPI00000834B3,ady43A,dme:Dmel_CG1851
Ahcy13	7227.FBpp0073847	https://smart.embl.de/smart/DDvec.cgi?smart=432:AdoHcyase_NAD(191|352)+	Adenosylhomocysteinase; Adenosylhomocysteine is a competitive inhibitor of S- adenosyl-L-methionine-dependent methyl transferase reactions; therefore adenosylhomocysteinase may play a key role in the control of methylations via regulation of the intracellular concentration of adenosylhomocysteine	3.3.1.1,32471,58824,AA695242,AAF48453.1,AAM27497.1,AY102668,Adenosylhomocysteinase,Adenosylhomocysteinase at 13,AdoHcyase,Ahcy,Ahcy13,Ahcy13-PA,Ahcy13-PB,Ahcy13-PC,Ahcy13-RA,Ahcy13-RB,CAA64892.1,CG11654,CG11654-PA,CG11654-PB,CG11654-RA,CG11654-RB,DmelCG11654,EC 3.3.1.1,FBan0011654,FBgn0014455,FBpp0073847,FBpp0304841,FBtr0074030,FBtr0332590,NM_078609,NM_078609.3,NP_001285268,NP_001285268.1,NP_511164,NP_511164.2,Q27580,Q8MZI1,Q9VXV5,S-Adenosyl-L-homocysteine hydrolase,S-adenosyl-L-homocysteine hydrolase,SAHH,SAHH_DROME,UPI000007EE9C,X95636,adenosylhomocysteinase, isoform C,ahcY,dme:Dmel_CG11654
Akh	7227.FBpp0073069	https://smart.embl.de/smart/DDvec.cgi?smart=79:SIGNAL(1|22)+Pfam_Adipokin_hormo(23|77)+	Adipokinetic hormone (Akh) is a peptide hormone secreted by the corpora cardiaca. Akh signals to the G-protein coupled receptor AkhR to regulate circulating hemolymph carbohydrates and stored lipid and glycogen in the fat body	38495,AAB00099.1,AAF47846.1,ACK77621.2,AKH,AKH_DROME,Adipokinetic hormone,Adipokinetic hormone-like,Akh,Akh-PA,Akh-RA,B7FNL4,BT053704,CG1171,CG1171-PA,CG1171-RA,DmelCG1171,Drm-AKH,FBan0001171,FBgn0004086,FBgn0004508,FBgn0004552,FBpp0073069,FBtr0073213,Hrth,Hypertrehalosaemic hormone,Hypertrehaloseaemic-hormone,L23764,NM_079194,NM_079194.2,NP_523918,NP_523918.1,P17975,P61855,Q9VZH6,UPI00001245F2,adipo- kinetic hormone,adipokinetic hormone,akh,dAKH,dAkh,dme:Dmel_CG1171
Argk	7227.FBpp0076270	https://smart.embl.de/smart/DDvec.cgi?smart=562:Pfam_ATP-gua_PtransN(226|293)+Pfam_ATP-gua_Ptrans(353|562)+	Arginine kinase activity. It is involved in the biological process described with: phosphorylation; Belongs to the ATP:guanido phosphotransferase family	2.7.3.3,39041,64445,A8JNP1,A8JNP2,AA694669,AAA68172.1,AAA68173.1,AAF50325.2,AAF50326.2,AAL39244.1,AAN11982.1,AAN11983.1,ABW08501.1,ABW08502.2,AI134260,AI134638,AI402280,AK,AK-1,ARK,AW940421,AY069099,ArgK,Arginine kinase,Argk,Argk-PA,Argk-PB,Argk-PC,Argk-PD,Argk-PE,Argk-PG,Argk-PH,Argk-RA,Argk-RB,Argk-RC,Argk-RD,Argk-RE,Argk-RG,BG633525,CG32031,CG32031-PA,CG32031-PB,CG32031-PC,CG32031-PD,CG32031-PE,CG32031-PG,CG32031-RA,CG32031-RB,CG32031-RC,CG32031-RD,CG32031-RE,CG32031-RG,CG4929,CG5173,CL528268,CZ470400,CZ475247,CZ475248,CZ475957,CZ478742,CZ487889,DmelCG32031,EC 2.7.3.3,FBan0032031,FBgn0000116,FBgn0035958,FBgn0052031,FBpp0076270,FBpp0076271,FBpp0076272,FBpp0076273,FBpp0111703,FBpp0303940,FBtr0076543,FBtr0076544,FBtr0076545,FBtr0076546,FBtr0112791,FBtr0331550,KARG_DROME,NM_001104085,NM_001104085.1,NM_001104086,NM_001104086.1,NM_079264,NM_079264.2,NM_168311,NM_168311.2,NM_168312,NM_168312.1,NM_168313,NM_168313.2,NP_001097555,NP_001097555.1,NP_001097556,NP_001097556.2,NP_001286989.1,NP_523988,NP_523988.2,NP_729446,NP_729446.1,NP_729447,NP_729447.1,NP_729448,NP_729448.1,P48610,Q8IQB9,Q8IQC0,Q8T0S2,Q9VST5,Q9VST6,U26939,U26940,UPI000007B57F,UPI0000080A66,UPI00000845A6,UPI00000845A7,UPI00015D9A42,arginine kinase,arginine kinase, isoform G,dme:Dmel_CG32031,insect intestinal mucin iim22
Arl1	7227.FBpp0075272	https://smart.embl.de/smart/DDvec.cgi?smart=180:ARF(1|180)+	ADP-ribosylation factor-like protein 1; GTP-binding protein involved in protein trafficking; may modulate vesicle budding and uncoating within the Golgi apparatus	39745,65056,72CDd,AAA28365.1,AAF49556.2,AAN71215.1,ADP ribosylation factor-like 1,ADP-ribosylation factor-like protein 1,AI946889,ARL1,ARL1_DROME,Arf,Arf-like 1,Arf72A,Arf72A-PA,Arf72A-RA,Arflike at 72A,Arl1,Arl1-PA,BI354322,BT001460,BcDNA:GM20805,CG 6025,CG6025,CG6025-PA,CG6025-RA,CZ487245,DmelCG6025,FBan0006025,FBgn0000115,FBgn0016902,FBgn0064936,FBpp0075272,FBtr0075517,M61127,NM_079374,NM_079374.3,NP_524098,NP_524098.2,P25160,Q9VUW7,UPI0000001B05,arf72A,arf[72A],arl,dARL1p,dArl1,dme:Dmel_CG6025,l(3)72Ae,l(3)72CDd,unnamed
CG10407	7227.FBpp0082691	https://smart.embl.de/smart/DDvec.cgi?smart=259:JHBP(32|259)+	Uncharacterized protein, isoform A; It is involved in the biological process described with: multicellular organism reproduction	41949,67002,AAF55266.1,ACJ49255.1,ACO72854.1,AI946990,B7ZWP8,BT050590,BT082017,C1C588,CG10407,CG10407-PA,CG10407-PB,CG10407-RA,DmelCG10407,Dmel_CG10407,FBan0010407,FBgn0038395,FBpp0082691,FBtr0083237,NM_142262,NM_142262.2,NP_001262622,NP_001262622.1,NP_650519,NP_650519.1,Q9VEZ6,Q9VEZ6_DROME,UPI0000080BDB,Uncharacterized protein, isoform A,Uncharacterized protein, isoform B,cg10407,dme:Dmel_CG10407,uncharacterized protein, isoform B
CG11381	7227.FBpp0070196	https://smart.embl.de/smart/DDvec.cgi?smart=436:SIGNAL(1|21)+	annotation not available	31067,57630,AAF45593.2,AAL49281.1,ADR66766.1,AY071659,BI580214,BT125792,CAB58085.1,CG11381,CG11381-PA,CG11381-RA,DmelCG11381,Dmel_CG11381,FBan0011381,FBgn0029568,FBpp0070196,FBtr0070203,NM_130538,NM_130538.2,NP_569894,NP_569894.2,Q8SYB4,Q9NF34,Q9W5A7,Q9W5A7_DROME,RE05851p,UPI000008009C,dme:Dmel_CG11381,uncharacterized protein
CG12384	7227.FBpp0087252	https://smart.embl.de/smart/DDvec.cgi?smart=96:Pfam_DAP(9|96)+	annotation not available	36224,AA694790,AAF58654.2,AAL39295.1,AAN71533.1,AAR31119.1,AFH08019,AI386777,AI945939,AW940642,AY069150,BI611232,BI628832,BT001778,BT011048,BcDNA:GH16986,BcDNA:RH17411,CG12384,CG12384-PA,CG12384-PB,CG12384-RA,CG12384-RB,CZ489404,CZ489405,DmelCG12384,Dmel_CG12384,FBan0012384,FBgn0033624,FBgn0064838,FBgn0064965,FBpp0087252,FBpp0293241,FBtr0088155,FBtr0304698,GEO09647p1,NM_001259336,NM_001259336.1,NM_136832,NM_136832.3,NP_001246265,NP_001246265.1,NP_610676,NP_610676.2,Q7JRC0,Q7JRC0_DROME,RH17411p,RH57585p,UPI0000083D1F,UPI000237F4BE,dme:Dmel_CG12384,uncharacterized protein
