#queryIndex	queryItem	stringId	preferredName	annotation
1	FBgn0264695	7227.FBpp0080452	Mhc	Myosin heavy chain is the motor protein that provides the force for muscle contraction through its ATP-dependent interaction with actin filaments. It functions with essential and regulatory light chains
2	FBgn0264695	7227.FBpp0080452	Mhc	Myosin heavy chain is the motor protein that provides the force for muscle contraction through its ATP-dependent interaction with actin filaments. It functions with essential and regulatory light chains
3	FBgn0264695	7227.FBpp0080452	Mhc	Myosin heavy chain is the motor protein that provides the force for muscle contraction through its ATP-dependent interaction with actin filaments. It functions with essential and regulatory light chains
4	FBgn0265434	7227.FBpp0072306	zip	Myosin heavy chain, non-muscle; Nonmuscle myosin appears to be responsible for cellularization. Required for morphogenesis and cytokinesis. Necessary for auditory transduction: plays a role in Johnston's organ organization by acting in scolopidial apical attachment. Interaction with the myosin ck may be important for this function; Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family
5	FBgn0000116	7227.FBpp0076270	Argk	Arginine kinase activity. It is involved in the biological process described with: phosphorylation; Belongs to the ATP:guanido phosphotransferase family
6	FBgn0000116	7227.FBpp0076270	Argk	Arginine kinase activity. It is involved in the biological process described with: phosphorylation; Belongs to the ATP:guanido phosphotransferase family
7	FBgn0003149	7227.FBpp0076320	Prm	Paramyosin, long form; Paramyosin is a muscle protein found only in invertebrates. It dimerizes into a coiled-coil that occupies the interior of the thick filament. Its role is thought to be structural, although it can be phosphorylated and this is important for muscle function
8	FBgn0003149	7227.FBpp0076320	Prm	Paramyosin, long form; Paramyosin is a muscle protein found only in invertebrates. It dimerizes into a coiled-coil that occupies the interior of the thick filament. Its role is thought to be structural, although it can be phosphorylated and this is important for muscle function
9	FBgn0003149	7227.FBpp0076320	Prm	Paramyosin, long form; Paramyosin is a muscle protein found only in invertebrates. It dimerizes into a coiled-coil that occupies the interior of the thick filament. Its role is thought to be structural, although it can be phosphorylated and this is important for muscle function
10	FBgn0003149	7227.FBpp0076320	Prm	Paramyosin, long form; Paramyosin is a muscle protein found only in invertebrates. It dimerizes into a coiled-coil that occupies the interior of the thick filament. Its role is thought to be structural, although it can be phosphorylated and this is important for muscle function
11	FBgn0003149	7227.FBpp0076320	Prm	Paramyosin, long form; Paramyosin is a muscle protein found only in invertebrates. It dimerizes into a coiled-coil that occupies the interior of the thick filament. Its role is thought to be structural, although it can be phosphorylated and this is important for muscle function
12	FBgn0003149	7227.FBpp0076320	Prm	Paramyosin, long form; Paramyosin is a muscle protein found only in invertebrates. It dimerizes into a coiled-coil that occupies the interior of the thick filament. Its role is thought to be structural, although it can be phosphorylated and this is important for muscle function
13	FBgn0003149	7227.FBpp0076320	Prm	Paramyosin, long form; Paramyosin is a muscle protein found only in invertebrates. It dimerizes into a coiled-coil that occupies the interior of the thick filament. Its role is thought to be structural, although it can be phosphorylated and this is important for muscle function
14	FBgn0003149	7227.FBpp0076320	Prm	Paramyosin, long form; Paramyosin is a muscle protein found only in invertebrates. It dimerizes into a coiled-coil that occupies the interior of the thick filament. Its role is thought to be structural, although it can be phosphorylated and this is important for muscle function
15	FBgn0003149	7227.FBpp0076320	Prm	Paramyosin, long form; Paramyosin is a muscle protein found only in invertebrates. It dimerizes into a coiled-coil that occupies the interior of the thick filament. Its role is thought to be structural, although it can be phosphorylated and this is important for muscle function
16	FBgn0000044	7227.FBpp0071448	Act57B	Actin-57B; Actins are highly conserved proteins that are involved in various types of cell motility and are ubiquitously expressed in all eukaryotic cells
17	FBgn0004117	7227.FBpp0082535	Tm2	Tropomyosin-2; Tropomyosin, in association with the troponin complex, plays a central role in the calcium dependent regulation of muscle contraction. May also regulate motor systems required to maintain nuclear integrity and apico-basal polarity during embryogenesis
18	FBgn0004117	7227.FBpp0082535	Tm2	Tropomyosin-2; Tropomyosin, in association with the troponin complex, plays a central role in the calcium dependent regulation of muscle contraction. May also regulate motor systems required to maintain nuclear integrity and apico-basal polarity during embryogenesis
19	FBgn0004117	7227.FBpp0082535	Tm2	Tropomyosin-2; Tropomyosin, in association with the troponin complex, plays a central role in the calcium dependent regulation of muscle contraction. May also regulate motor systems required to maintain nuclear integrity and apico-basal polarity during embryogenesis
20	FBgn0004117	7227.FBpp0082535	Tm2	Tropomyosin-2; Tropomyosin, in association with the troponin complex, plays a central role in the calcium dependent regulation of muscle contraction. May also regulate motor systems required to maintain nuclear integrity and apico-basal polarity during embryogenesis
21	FBgn0014455	7227.FBpp0073847	Ahcy13	Adenosylhomocysteinase; Adenosylhomocysteine is a competitive inhibitor of S- adenosyl-L-methionine-dependent methyl transferase reactions; therefore adenosylhomocysteinase may play a key role in the control of methylations via regulation of the intracellular concentration of adenosylhomocysteine
22	FBgn0030608	7227.FBpp0110269	Lsd-2	Lipid storage droplet-2
23	FBgn0003721	7227.FBpp0088904	Tm1	Tropomyosin-1, isoforms 9A/A/B; Tropomyosin, in association with the troponin complex, plays a central role in the calcium dependent regulation of muscle contraction; Belongs to the tropomyosin family
24	FBgn0002565	7227.FBpp0088363	Lsp2	Larval serum protein 2; Larval storage protein (LSP) which may serve as a store of amino acids for synthesis of adult proteins
25	FBgn0003721	7227.FBpp0088904	Tm1	Tropomyosin-1, isoforms 9A/A/B; Tropomyosin, in association with the troponin complex, plays a central role in the calcium dependent regulation of muscle contraction; Belongs to the tropomyosin family
26	FBgn0004169	7227.FBpp0073682	up	Upheld (Up) is the striated muscle protein Troponin T. Troponins T, C and I form a regulatory complex with Tropomyosin that is found at regular intervals along the thin (F-actin) filaments of the muscle sarcomere
27	FBgn0284248	7227.FBpp0080446	Cyt-c-p	Cytochrome c-2; Electron carrier protein. The oxidized form of the cytochrome c heme group can accept an electron from the heme group of the cytochrome c1 subunit of cytochrome reductase. Cytochrome c then transfers this electron to the cytochrome oxidase complex, the final protein carrier in the mitochondrial electron-transport chain
28	FBgn0003149	7227.FBpp0076320	Prm	Paramyosin, long form; Paramyosin is a muscle protein found only in invertebrates. It dimerizes into a coiled-coil that occupies the interior of the thick filament. Its role is thought to be structural, although it can be phosphorylated and this is important for muscle function
29	FBgn0003149	7227.FBpp0076320	Prm	Paramyosin, long form; Paramyosin is a muscle protein found only in invertebrates. It dimerizes into a coiled-coil that occupies the interior of the thick filament. Its role is thought to be structural, although it can be phosphorylated and this is important for muscle function
30	FBgn0003149	7227.FBpp0076320	Prm	Paramyosin, long form; Paramyosin is a muscle protein found only in invertebrates. It dimerizes into a coiled-coil that occupies the interior of the thick filament. Its role is thought to be structural, although it can be phosphorylated and this is important for muscle function
31	FBgn0003149	7227.FBpp0076320	Prm	Paramyosin, long form; Paramyosin is a muscle protein found only in invertebrates. It dimerizes into a coiled-coil that occupies the interior of the thick filament. Its role is thought to be structural, although it can be phosphorylated and this is important for muscle function
32	FBgn0003149	7227.FBpp0076320	Prm	Paramyosin, long form; Paramyosin is a muscle protein found only in invertebrates. It dimerizes into a coiled-coil that occupies the interior of the thick filament. Its role is thought to be structural, although it can be phosphorylated and this is important for muscle function
33	FBgn0003149	7227.FBpp0076320	Prm	Paramyosin, long form; Paramyosin is a muscle protein found only in invertebrates. It dimerizes into a coiled-coil that occupies the interior of the thick filament. Its role is thought to be structural, although it can be phosphorylated and this is important for muscle function
34	FBgn0003149	7227.FBpp0076320	Prm	Paramyosin, long form; Paramyosin is a muscle protein found only in invertebrates. It dimerizes into a coiled-coil that occupies the interior of the thick filament. Its role is thought to be structural, although it can be phosphorylated and this is important for muscle function
35	FBgn0003149	7227.FBpp0076320	Prm	Paramyosin, long form; Paramyosin is a muscle protein found only in invertebrates. It dimerizes into a coiled-coil that occupies the interior of the thick filament. Its role is thought to be structural, although it can be phosphorylated and this is important for muscle function
36	FBgn0003149	7227.FBpp0076320	Prm	Paramyosin, long form; Paramyosin is a muscle protein found only in invertebrates. It dimerizes into a coiled-coil that occupies the interior of the thick filament. Its role is thought to be structural, although it can be phosphorylated and this is important for muscle function
37	FBgn0038257	7227.FBpp0082476	smp-30	Senescence marker protein-30, isoform C; Calcium ion binding. It is involved in the biological process described with: cold acclimation; regulation of cell proliferation involved in imaginal disc-derived wing morphogenesis; negative regulation of imaginal disc-derived wing size
38	FBgn0029990	7227.FBpp0305502	CG2233	annotation not available
39	FBgn0032066	7227.FBpp0079346	CG9463	Alpha-mannosidase; Zinc ion binding; alpha-mannosidase activity; carbohydrate binding. It is involved in the biological process described with: mannose metabolic process
