Fly GeneID,Fly Gene ID,FlyBaseID,Fly Symbol, Species,Human GeneID,HGNCID,Human Symbol,DIOPT Score,Weighted Score,Rank,Best Score,Best Score Reverse,Prediction Derived From
Mhc,35007,FBgn0264695,Mhc,Human,4625,7577,MYH7,12,11.86,high,Yes,Yes,"eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam"
Mhc,35007,FBgn0264695,Mhc,Human,4625,7577,MYH7,12,11.86,high,Yes,Yes,"eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam"
Mhc,35007,FBgn0264695,Mhc,Human,4625,7577,MYH7,12,11.86,high,Yes,Yes,"eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam"
zip,38001,FBgn0265434,zip,Human,4628,7568,MYH10,13,12.81,high,Yes,Yes,"eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam"
Argk,39041,FBgn0000116,Argk,Human,1158,1994,CKM,11,10.73,high,Yes,Yes,"Compara, eggNOG, Hieranoid, Inparanoid, Isobase, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, RoundUp, TreeFam"
Argk,39041,FBgn0000116,Argk,Human,1158,1994,CKM,11,10.73,high,Yes,Yes,"Compara, eggNOG, Hieranoid, Inparanoid, Isobase, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, RoundUp, TreeFam"
Prm,39002,FBgn0003149,Prm,Human,4622,7574,MYH4,3,2.71,moderate,Yes,No,"eggNOG, orthoMCL, Phylome"
Prm,39002,FBgn0003149,Prm,Human,4625,7577,MYH7,3,2.71,moderate,Yes,No,"eggNOG, orthoMCL, Phylome"
Prm,39002,FBgn0003149,Prm,Human,4619,7567,MYH1,3,2.71,moderate,Yes,No,"eggNOG, orthoMCL, Phylome"
Prm,39002,FBgn0003149,Prm,Human,57644,15906,MYH7B,3,2.71,moderate,Yes,No,"eggNOG, orthoMCL, Phylome"
