#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0005198	structural molecule activity	18	489	0.74	1.21e-06	7227.FBpp0071150,7227.FBpp0071448,7227.FBpp0073110,7227.FBpp0074180,7227.FBpp0076207,7227.FBpp0076298,7227.FBpp0076766,7227.FBpp0076768,7227.FBpp0077141,7227.FBpp0080452,7227.FBpp0081527,7227.FBpp0082465,7227.FBpp0082535,7227.FBpp0084959,7227.FBpp0088833,7227.FBpp0088904,7227.FBpp0291653,7227.FBpp0291726	Cp36,Act57B,Cpr64Aa,RpS5a,RpS17,Cp18,Lcp65Ag1,Cpr65Au,mRpL27,Mhc,RpL34b,RpS5b,Tm2,RpL32,mRpS11,Tm1,RpL30,RpL37A
GO:0003735	structural constituent of ribosome	9	171	0.89	0.00034	7227.FBpp0074180,7227.FBpp0076207,7227.FBpp0077141,7227.FBpp0081527,7227.FBpp0082465,7227.FBpp0084959,7227.FBpp0088833,7227.FBpp0291653,7227.FBpp0291726	RpS5a,RpS17,mRpL27,RpL34b,RpS5b,RpL32,mRpS11,RpL30,RpL37A
GO:0003779	actin binding	7	128	0.91	0.0023	7227.FBpp0072306,7227.FBpp0074298,7227.FBpp0080452,7227.FBpp0082535,7227.FBpp0088904,7227.FBpp0089196,7227.FBpp0297625	zip,wupA,Mhc,Tm2,Tm1,chic,tmod
GO:0003774	motor activity	5	65	1.06	0.0054	7227.FBpp0072306,7227.FBpp0076320,7227.FBpp0079795,7227.FBpp0080452,7227.FBpp0084565	zip,Prm,cana,Mhc,Mlc1
GO:0003954	NADH dehydrogenase activity	4	43	1.14	0.0113	7227.FBpp0073777,7227.FBpp0080051,7227.FBpp0100182,7227.FBpp0271901	ND-B18,ND-B22,mt:ND5,ND-B17.2
GO:0008092	cytoskeletal protein binding	9	319	0.62	0.0113	7227.FBpp0072306,7227.FBpp0074298,7227.FBpp0079795,7227.FBpp0080452,7227.FBpp0082535,7227.FBpp0088904,7227.FBpp0089196,7227.FBpp0271746,7227.FBpp0297625	zip,wupA,cana,Mhc,Tm2,Tm1,chic,CG18190,tmod
GO:0008307	structural constituent of muscle	3	18	1.39	0.0113	7227.FBpp0080452,7227.FBpp0082535,7227.FBpp0088904	Mhc,Tm2,Tm1
GO:0051015	actin filament binding	4	45	1.12	0.0113	7227.FBpp0072306,7227.FBpp0080452,7227.FBpp0082535,7227.FBpp0088904	zip,Mhc,Tm2,Tm1
GO:0005213	structural constituent of chorion	2	4	1.87	0.0151	7227.FBpp0071150,7227.FBpp0076298	Cp36,Cp18
GO:0008137	NADH dehydrogenase (ubiquinone) activity	3	25	1.25	0.0176	7227.FBpp0073777,7227.FBpp0100182,7227.FBpp0271901	ND-B18,mt:ND5,ND-B17.2
GO:0009055	electron transfer activity	4	64	0.97	0.0176	7227.FBpp0074584,7227.FBpp0080446,7227.FBpp0086974,7227.FBpp0271901	COX6B,Cyt-c-p,ox,ND-B17.2
GO:0019843	rRNA binding	3	30	1.17	0.0176	7227.FBpp0074180,7227.FBpp0082465,7227.FBpp0088833	RpS5a,RpS5b,mRpS11
GO:0061631	ubiquitin conjugating enzyme activity	2	5	1.77	0.0176	7227.FBpp0075690,7227.FBpp0078490	vih,Ubc6
GO:0019904	protein domain specific binding	4	78	0.88	0.0257	7227.FBpp0070558,7227.FBpp0075272,7227.FBpp0078490,7227.FBpp0087252	Rala,Arl1,Ubc6,CG12384
